source_domain,field,candidate,n,n_within_0_01pp,match_rate,mean_absolute_error_pp,max_absolute_error_pp
arxiv,rps_doc_frac_chars_top_2gram,calc_rps_doc_frac_chars_top_2gram_pct,1419,1419,1.0,2.481969236290624e-07,5.00000000069889e-07
arxiv,rps_doc_frac_chars_top_3gram,calc_rps_doc_frac_chars_top_3gram_pct,1419,1419,1.0,2.541597963734534e-07,4.999090303936526e-07
arxiv,rps_doc_frac_no_alph_words,calc_complement_of_ascii_english_letter_character_fraction_pct,1419,1419,1.0,2.5302837152337515e-07,4.99737076609108e-07
arxiv,rps_doc_frac_no_alph_words,calc_rps_doc_frac_no_alph_words_pct,1419,2,0.0014094432699083862,8.179165979608625,22.519737785276078
arxiv,rps_doc_frac_unique_words,calc_rps_doc_frac_unique_words_pct,1419,1334,0.9400986610288936,0.0029817299472012127,0.6238857058823442
arxiv,rps_lines_ending_with_terminal_punctution_mark,calc_terminal_mean_all_lines_pct,1419,0,0.0,18.357152877200935,74.84257871064467
arxiv,rps_lines_ending_with_terminal_punctution_mark,calc_terminal_mean_nonempty_lines_pct,1419,0,0.0,13.748071225519455,48.8436632747456
arxiv,rps_lines_numerical_chars_fraction,calc_numerical_char_weighted_pct,1419,10,0.007047216349541931,1.3960516130624017,27.897210805114504
arxiv,rps_lines_numerical_chars_fraction,calc_numerical_mean_all_lines_pct,1419,4,0.0028188865398167725,0.8035518423486054,7.421465012544399
arxiv,rps_lines_numerical_chars_fraction,calc_numerical_mean_nonempty_lines_pct,1419,1418,0.9992952783650458,3.598165164888198e-05,0.049261080733443166
arxiv,rps_lines_uppercase_letter_fraction,calc_uppercase_char_weighted_pct,1419,0,0.0,16.591007747712695,71.55548710615533
arxiv,rps_lines_uppercase_letter_fraction,calc_uppercase_mean_all_lines_pct,1419,0,0.0,17.393662479681467,74.13450042759695
arxiv,rps_lines_uppercase_letter_fraction,calc_uppercase_mean_nonempty_lines_pct,1419,0,0.0,17.393662479681467,74.13450042759695
book,rps_doc_frac_chars_top_2gram,calc_rps_doc_frac_chars_top_2gram_pct,171,171,1.0,2.6291102027795816e-07,4.950416995219697e-07
book,rps_doc_frac_chars_top_3gram,calc_rps_doc_frac_chars_top_3gram_pct,171,171,1.0,2.5513425058897186e-07,4.952511627742684e-07
book,rps_doc_frac_no_alph_words,calc_complement_of_ascii_english_letter_character_fraction_pct,171,171,1.0,2.492751902022588e-07,4.999656653126294e-07
book,rps_doc_frac_no_alph_words,calc_rps_doc_frac_no_alph_words_pct,171,0,0.0,5.660356625717802,18.992390567390125
book,rps_doc_frac_unique_words,calc_rps_doc_frac_unique_words_pct,171,26,0.15204678362573099,0.37121820817469814,5.247274256918146
book,rps_lines_ending_with_terminal_punctution_mark,calc_terminal_mean_all_lines_pct,171,0,0.0,50.425122878848924,85.24969856395558
book,rps_lines_ending_with_terminal_punctution_mark,calc_terminal_mean_nonempty_lines_pct,171,0,0.0,29.165302101321164,73.27810435389118
book,rps_lines_numerical_chars_fraction,calc_numerical_char_weighted_pct,171,7,0.04093567251461988,2.6021436955731816,19.522023043983175
book,rps_lines_numerical_chars_fraction,calc_numerical_mean_all_lines_pct,171,7,0.04093567251461988,1.469209332930829,11.482249805690323
book,rps_lines_numerical_chars_fraction,calc_numerical_mean_nonempty_lines_pct,171,160,0.935672514619883,0.015199164535190407,0.5604554096965626
book,rps_lines_uppercase_letter_fraction,calc_uppercase_char_weighted_pct,171,0,0.0,43.69816058031367,57.160769022634646
book,rps_lines_uppercase_letter_fraction,calc_uppercase_mean_all_lines_pct,171,0,0.0,43.458842466790834,50.48111740446029
