field,candidate_aggregation,n_compared,n_missing_or_invalid_stored,stored_min,stored_max,stored_n_gt_1,stored_n_gt_100,calculated_min,calculated_max,match_tolerance_percentage_points,n_within_tolerance,fraction_within_tolerance,mean_absolute_error,median_absolute_error,max_absolute_error
rps_doc_frac_unique_words,public_document_formula_x100,51230,0,5.088363331179848,100.0,51230,0,5.127408,100.0,0.01,32322,0.6309193831739215,0.4741001643478511,3.9393938777720905e-07,26.578705063348416
rps_doc_frac_no_alph_words,public_word_level_formula_x100,51230,0,4.347826086956516,100.0,51230,0,0.0,100.0,0.01,521,0.010169822369705251,6.750684178755194,5.6436390035688735,51.59574468085107
rps_doc_frac_no_alph_words,complement_of_ascii_english_letter_character_fraction_candidate_x100,51230,0,4.347826086956516,100.0,51230,0,4.3478259999999995,100.0,0.01,51230,1.0,2.46909627315051e-07,2.483221521742962e-07,5.000000058430487e-07
rps_doc_frac_chars_top_2gram,public_top_ngram_formula_x100,51230,0,0.0,135.13338722716247,39916,2,0.0,135.133387,0.01,43424,0.8476283427679094,0.07614190652836252,2.7288269083269867e-07,0.999692
rps_doc_frac_chars_top_3gram,public_top_ngram_formula_x100,51230,0,0.0,201.6814874696847,31423,2,0.0,201.681487,0.01,37673,0.7353699004489557,0.13366537616494115,2.834224601677704e-07,0.99926
rps_lines_uppercase_letter_fraction,mean_all_lines,51230,0,0.0,86.95652173913044,50885,0,0.0,86.956522,0.01,4118,0.08038258832715206,15.117740896193338,13.916490145178422,74.6983408235294
rps_lines_uppercase_letter_fraction,mean_nonempty_lines,51230,0,0.0,86.95652173913044,50885,0,0.0,86.956522,0.01,4118,0.08038258832715206,15.117740896193338,13.916490145178422,74.6983408235294
rps_lines_uppercase_letter_fraction,character_weighted_all_lines,51230,0,0.0,86.95652173913044,50885,0,0.0,86.95652173913044,0.01,1440,0.028108530158110483,15.310757246903675,12.754222770366678,72.27668845315903
rps_lines_ending_with_terminal_punctution_mark,mean_all_lines,51230,0,0.0,100.0,50668,0,0.0,100.0,0.01,15482,0.30220573882490726,16.895048651394855,16.07142857142857,100.0
rps_lines_ending_with_terminal_punctution_mark,mean_nonempty_lines,51230,0,0.0,100.0,50668,0,0.0,100.0,0.01,15889,0.31015030255709547,13.27576907800814,13.295522777959732,100.0
rps_lines_numerical_chars_fraction,mean_all_lines,51230,0,0.0,72.34424037417816,27821,0,0.0,68.53664889473684,0.01,25307,0.4939878977161819,0.4634606081819906,0.01669153748419535,34.03590913955735
rps_lines_numerical_chars_fraction,mean_nonempty_lines,51230,0,0.0,72.34424037417816,27821,0,0.0,72.3442405,0.01,50715,0.9899472965059536,0.0017440358765775025,1.620523115697381e-08,5.227708182747872
rps_lines_numerical_chars_fraction,character_weighted_normalized_lines,51230,0,0.0,72.34424037417816,27821,0,0.0,63.522049023584636,0.01,9287,0.1812804997072028,1.0617893089505699,0.3121574133800525,61.77455206517531
