blind_id,source_domain,q_equal_tertile,q_equal,q_huber,reviewer_a_overall_quality,reviewer_b_overall_quality,human_consensus
Q11-0380,stackexchange,2,0.512145152310782,0.512077024927118,4,4,4.0
Q11-0580,c4,3,0.745399245418481,0.755110490861901,4,4,4.0
Q11-0565,c4,2,0.577241846063851,0.596088007216514,3,4,3.5
Q11-0120,wikipedia,2,0.48767299328046,0.46257859558399,2,3,2.5
Q11-0468,wikipedia,3,0.660877752684771,0.669007140391594,4,5,4.5
Q11-0792,github,1,0.326825188832126,0.308099847491812,2,1,1.5
Q11-0250,stackexchange,1,0.467418823964956,0.468049148502606,3,4,3.5
Q11-0113,stackexchange,2,0.507235455535161,0.505617229477933,5,5,5.0
Q11-0569,c4,3,0.650670307494019,0.653820127527306,4,4,4.0
Q11-0590,c4,1,0.509895170671974,0.505749881993781,1,4,2.5
Q11-0548,commoncrawl,1,0.390436530746944,0.38034340065636,2,3,2.5
Q11-0111,c4,1,0.525492728836189,0.525790468497062,3,2,2.5
Q11-0624,commoncrawl,3,0.683929000578434,0.685525677311597,4,5,4.5
Q11-0353,github,2,0.427001986527029,0.399764128535265,1,1,1.0
Q11-0164,commoncrawl,3,0.667177541588548,0.670885691168385,5,5,5.0
Q11-0511,c4,2,0.551168651989671,0.59126932630913,3,4,3.5
Q11-0407,commoncrawl,2,0.554721280721027,0.55296108495469,4,4,4.0
Q11-0438,arxiv,2,0.532410314049833,0.541325864778587,2,2,2.0
Q11-0396,wikipedia,1,0.373789709764364,0.353103627810986,2,2,2.0
Q11-0574,wikipedia,2,0.515122813226096,0.51305729337288,4,4,4.0
Q11-0378,stackexchange,3,0.551958485198913,0.554427939050937,1,2,1.5
Q11-0675,commoncrawl,2,0.546658455604942,0.551850561046605,2,1,1.5
Q11-0721,arxiv,3,0.565217727612966,0.585104670037397,2,3,2.5
Q11-0529,github,3,0.446511417491043,0.44495682644809,2,2,2.0
