blind_id,sample_type,教育用途_共识均值,可读性_共识均值,连贯性_共识均值,信息传递_共识均值,整体质量_共识均值,reviewer_a_整体质量,reviewer_b_整体质量
Q11-0380,representative,3.5,5.0,4.0,3.5,4.0,4,4
Q11-0580,representative,2.5,5.0,4.0,5.0,4.0,4,4
Q11-0565,representative,1.0,4.5,5.0,5.0,3.5,3,4
Q11-0120,representative,2.5,2.5,3.0,2.0,2.5,2,3
Q11-0468,representative,5.0,3.5,4.0,4.5,4.5,4,5
Q11-0792,representative,3.0,1.0,1.0,1.5,1.5,2,1
Q11-0250,representative,5.0,3.5,3.5,4.0,3.5,3,4
Q11-0113,representative,5.0,4.0,5.0,5.0,5.0,5,5
Q11-0569,representative,4.0,3.5,4.5,4.0,4.0,4,4
Q11-0553,diagnostic,4.0,4.5,4.5,5.0,4.0,4,4
Q11-0590,representative,3.0,2.5,2.0,4.0,2.5,1,4
Q11-0548,representative,2.0,2.5,2.5,4.0,2.5,2,3
Q11-0111,representative,1.0,4.5,3.5,5.0,2.5,3,2
Q11-0624,representative,3.0,5.0,4.0,5.0,4.5,4,5
Q11-0353,representative,1.0,1.0,1.0,2.5,1.0,1,1
Q11-0648,diagnostic,1.0,1.0,1.5,2.5,2.0,2,2
Q11-0491,diagnostic,1.0,2.5,1.5,1.0,1.0,1,1
Q11-0164,representative,4.0,4.0,5.0,5.0,5.0,5,5
Q11-0511,representative,1.5,4.0,3.0,3.5,3.5,3,4
Q11-0407,representative,2.5,4.0,4.0,5.0,4.0,4,4
Q11-0438,representative,2.5,1.0,1.5,2.5,2.0,2,2
Q11-0666,diagnostic,1.0,2.0,1.5,3.5,1.5,2,1
Q11-0089,diagnostic,2.5,1.0,1.0,3.0,2.0,2,2
Q11-0396,representative,1.0,2.0,1.0,2.5,2.0,2,2
Q11-0574,representative,2.5,4.5,5.0,4.5,4.0,4,4
Q11-0378,representative,2.0,2.0,1.0,2.0,1.5,1,2
Q11-0675,representative,1.0,2.0,1.0,2.5,1.5,2,1
Q11-0721,representative,3.5,1.0,3.0,2.0,2.5,2,3
Q11-0486,diagnostic,1.0,5.0,4.0,5.0,3.5,3,4
Q11-0529,representative,2.5,2.0,2.0,1.5,2.0,2,2
