dataset,source_domain,candidate,score_role,n_records,n_scored,scored_rate,domain_score,mean_sample_score,median_sample_score,mean_indicator_coverage,ci_low,ci_high,bootstrap_repetitions,ci_method
a1,arxiv,q_equal,operational_primary,1419,1419,1.0,0.5320965357791057,0.5309537345094659,0.5330069311205279,1.0,0.5303271234035491,0.5337712049484253,2000,"95% percentile bootstrap; 5,000-bin empirical score histogram (step 0.0002)"
a1,arxiv,q_huber,sensitivity,1419,1419,1.0,0.5613319908558356,0.557533357775328,0.5645852969892697,1.0,0.5587501093745232,0.5638743057847023,2000,"95% percentile bootstrap; 5,000-bin empirical score histogram (step 0.0002)"
a1,book,q_equal,operational_primary,171,171,1.0,0.4316026991517443,0.43039891389824364,0.43281336569774514,1.0,0.42312069833278654,0.44069116860628127,2000,"95% percentile bootstrap; 5,000-bin empirical score histogram (step 0.0002)"
a1,book,q_huber,sensitivity,171,171,1.0,0.42874874466340707,0.4295801511175182,0.4219371913919705,1.0,0.4166682198643684,0.44231095165014267,2000,"95% percentile bootstrap; 5,000-bin empirical score histogram (step 0.0002)"
a1,c4,q_equal,operational_primary,10000,10000,1.0,0.5705254959740866,0.5676765941466457,0.573914629266596,1.0,0.5686645656824112,0.5723332583904266,2000,"95% percentile bootstrap; 5,000-bin empirical score histogram (step 0.0002)"
a1,c4,q_huber,sensitivity,10000,10000,1.0,0.5767322748885473,0.5710061148897193,0.5838645691712347,1.0,0.5747235760092735,0.5785818085074425,2000,"95% percentile bootstrap; 5,000-bin empirical score histogram (step 0.0002)"
a1,commoncrawl,q_equal,operational_primary,9640,9640,1.0,0.5340113140988176,0.5297443554504307,0.5382295961592337,0.9999811391927574,0.5323690488934517,0.5356416761875152,2000,"95% percentile bootstrap; 5,000-bin empirical score histogram (step 0.0002)"
a1,commoncrawl,q_huber,sensitivity,9640,9640,1.0,0.5359722946905645,0.5308705368066702,0.541441395827789,0.9999811391927574,0.5341207027435303,0.5378116250038147,2000,"95% percentile bootstrap; 5,000-bin empirical score histogram (step 0.0002)"
a1,github,q_equal,operational_primary,10000,10000,1.0,0.40449680208832284,0.4041537047762419,0.4048845433400613,1.0,0.4031180918216705,0.4057907149195671,2000,"95% percentile bootstrap; 5,000-bin empirical score histogram (step 0.0002)"
a1,github,q_huber,sensitivity,10000,10000,1.0,0.3894803356606058,0.3901391714373694,0.3885928458969641,1.0,0.3880361646413803,0.3909398004412651,2000,"95% percentile bootstrap; 5,000-bin empirical score histogram (step 0.0002)"
a1,stackexchange,q_equal,operational_primary,10000,10000,1.0,0.5173367560072943,0.5150076849077941,0.5188299368070368,1.0,0.5159537687897682,0.5186818644404412,2000,"95% percentile bootstrap; 5,000-bin empirical score histogram (step 0.0002)"
a1,stackexchange,q_huber,sensitivity,10000,10000,1.0,0.5183681310908792,0.5153367245547095,0.5207245020449456,1.0,0.5169330433011055,0.519771882891655,2000,"95% percentile bootstrap; 5,000-bin empirical score histogram (step 0.0002)"
a1,wikipedia,q_equal,operational_primary,10000,10000,1.0,0.48349146724793535,0.48305780593002084,0.48307434000834265,0.9999363636363636,0.4819977954030037,0.4849605768918991,2000,"95% percentile bootstrap; 5,000-bin empirical score histogram (step 0.0002)"
a1,wikipedia,q_huber,sensitivity,10000,10000,1.0,0.4787129620836854,0.4774208555151423,0.4786771498190099,0.9999363636363636,0.4769694611430168,0.4804027646780014,2000,"95% percentile bootstrap; 5,000-bin empirical score histogram (step 0.0002)"
a2,arxiv,q_equal,operational_primary,17523,17523,1.0,0.5309591176048425,0.5296808960417848,0.53157244214558,1.0,0.5304746761918068,0.5314777508378029,2000,"95% percentile bootstrap; 5,000-bin empirical score histogram (step 0.0002)"
a2,arxiv,q_huber,sensitivity,17523,17523,1.0,0.5599738811018025,0.556024730548217,0.5627045335698551,1.0,0.5591986939311028,0.5607526257634163,2000,"95% percentile bootstrap; 5,000-bin empirical score histogram (step 0.0002)"
a3,github,q_equal,operational_primary,203752,203752,1.0,0.40393716747452935,0.40372936944616167,0.4050262163955184,0.9999997769123963,0.4036353811621666,0.4042311757802963,2000,"95% percentile bootstrap; 5,000-bin empirical score histogram (step 0.0002)"
a3,github,q_huber,sensitivity,203752,203752,1.0,0.38887178212072904,0.3896643545527362,0.3883957687317441,0.9999997769123963,0.3885551869869232,0.38919114619493483,2000,"95% percentile bootstrap; 5,000-bin empirical score histogram (step 0.0002)"
