"dataset","source_domain","raw_id","a1_raw_source_path","a1_content_available","verified_field_count","verification_basis"
"A2","arxiv","BkiUa_fxK3YB9i3RIi-e","arxiv/part-6777d8857c6e-000486.jsonl","true","7","exact ID + source_domain + 7 numeric RPS fields (prior scan; tolerance 1e-9)"
"A2","arxiv","BkiUa_U4ubnjoqNEqKRH","arxiv/part-6777d8857c6e-000486.jsonl","true","7","exact ID + source_domain + 7 numeric RPS fields (prior scan; tolerance 1e-9)"
"A2","arxiv","BkiUa_w4eIXgu1N6fxNl","arxiv/part-6777d8857c6e-000486.jsonl","true","7","exact ID + source_domain + 7 numeric RPS fields (prior scan; tolerance 1e-9)"
"A2","arxiv","BkiUa_zxK02iP15vePe7","arxiv/part-6777d8857c6e-000486.jsonl","true","7","exact ID + source_domain + 7 numeric RPS fields (prior scan; tolerance 1e-9)"
"A2","arxiv","BkiUa-M4eIfiUWJpLSxL","arxiv/part-6777d8857c6e-000486.jsonl","true","7","exact ID + source_domain + 7 numeric RPS fields (prior scan; tolerance 1e-9)"
"A2","arxiv","BkiUa-w4dbjiVD3oEZAS","arxiv/part-6777d8857c6e-000486.jsonl","true","7","exact ID + source_domain + 7 numeric RPS fields (prior scan; tolerance 1e-9)"
"A2","arxiv","BkiUa0w25V5hd-428LQo","arxiv/part-6777d8857c6e-000486.jsonl","true","7","exact ID + source_domain + 7 numeric RPS fields (prior scan; tolerance 1e-9)"
"A2","arxiv","BkiUa0zxK0iCl4WD2OeI","arxiv/part-6777d8857c6e-000486.jsonl","true","7","exact ID + source_domain + 7 numeric RPS fields (prior scan; tolerance 1e-9)"
"A2","arxiv","BkiUa1LxK6-gDz87Nvcz","arxiv/part-6777d8857c6e-000486.jsonl","true","7","exact ID + source_domain + 7 numeric RPS fields (prior scan; tolerance 1e-9)"
"A2","arxiv","BkiUa245qsNCPV6Yix3b","arxiv/part-6777d8857c6e-000486.jsonl","true","7","exact ID + source_domain + 7 numeric RPS fields (prior scan; tolerance 1e-9)"
"A2","arxiv","BkiUa2fxK7Tt6CA5E15f","arxiv/part-6777d8857c6e-000486.jsonl","true","7","exact ID + source_domain + 7 numeric RPS fields (prior scan; tolerance 1e-9)"
"A2","arxiv","BkiUa2HxK6-gDz87NwQm","arxiv/part-6777d8857c6e-000486.jsonl","true","7","exact ID + source_domain + 7 numeric RPS fields (prior scan; tolerance 1e-9)"
