indicator,a1_completeness,domain_rank_stability,valid_bootstrap_rho_count,undefined_bootstrap_rho_count,stability_fallback_reason,weight
fineweb_edu,1.0,1.0,1000,0,none,0.04549200040313836
fluency_en,1.0,1.0,1000,0,none,0.04549200040313836
modernbert_cleanliness,1.0,1.0,1000,0,none,0.04549200040313836
modernbert_readability,1.0,1.0,1000,0,none,0.04549200040313836
modernbert_reasoning,0.9997462424360726,1.0,1000,0,none,0.04548622806732141
modernbert_professionalism,0.999902400936951,1.0,1000,0,none,0.04548978036066074
dsir_books,1.0,1.0,1000,0,none,0.04549200040313836
dsir_wiki,1.0,1.0,1000,0,none,0.04549200040313836
dsir_math,1.0,1.0,1000,0,none,0.04549200040313836
qurater,1.0,0.9821428571428572,1000,0,none,0.0450839921577637
ad_en,1.0,1.0,1000,0,none,0.04549200040313836
rps_doc_word_count,1.0,1.0,1000,0,none,0.04549200040313836
rps_doc_num_sentences,1.0,1.0,1000,0,none,0.04549200040313836
rps_doc_unigram_entropy,1.0,1.0,1000,0,none,0.04549200040313836
rps_doc_frac_unique_words,1.0,1.0,1000,0,none,0.04549200040313836
rps_doc_frac_no_alph_words,1.0,1.0,1000,0,none,0.04549200040313836
rps_doc_frac_chars_top_2gram,1.0,1.0,1000,0,none,0.04549200040313836
rps_doc_frac_chars_top_3gram,1.0,1.0,1000,0,none,0.04549200040313836
rps_lines_uppercase_letter_fraction,1.0,1.0,1000,0,none,0.04549200040313836
rps_lines_ending_with_terminal_punctution_mark,1.0,1.0,1000,0,none,0.04549200040313836
rps_lines_numerical_chars_fraction,1.0,0.9821428571428572,1000,0,none,0.0450839921577637
rps_doc_mean_word_length,1.0,1.0,1000,0,none,0.04549200040313836
