dataset,source_domain,q_equal_tertile,broad_unicode_flag,N_h,n_h,inclusion_probability,design_weight
A1,arxiv,1,0,471,25,0.05307855626326964,18.84
A1,arxiv,1,1,2,2,1.0,1.0
A1,arxiv,2,0,473,25,0.052854122621564484,18.92
A1,arxiv,2,1,0,0,,
A1,arxiv,3,0,472,25,0.05296610169491525,18.88
A1,arxiv,3,1,1,1,1.0,1.0
A1,book,1,0,51,25,0.49019607843137253,2.04
A1,book,1,1,6,6,1.0,1.0
A1,book,2,0,52,25,0.4807692307692308,2.08
A1,book,2,1,5,5,1.0,1.0
A1,book,3,0,49,25,0.5102040816326531,1.96
A1,book,3,1,8,8,1.0,1.0
A1,c4,1,0,3310,25,0.0075528700906344415,132.4
A1,c4,1,1,24,24,1.0,1.0
A1,c4,2,0,3305,25,0.007564296520423601,132.2
A1,c4,2,1,28,25,0.8928571428571429,1.12
A1,c4,3,0,3311,25,0.007550588945937783,132.44
A1,c4,3,1,22,22,1.0,1.0
A1,commoncrawl,1,0,3101,25,0.008061915511125443,124.04
A1,commoncrawl,1,1,113,25,0.22123893805309736,4.52
A1,commoncrawl,2,0,3118,25,0.008017960230917255,124.72
A1,commoncrawl,2,1,95,25,0.2631578947368421,3.8
A1,commoncrawl,3,0,3154,25,0.007926442612555484,126.16
A1,commoncrawl,3,1,59,25,0.423728813559322,2.36
A1,github,1,0,3328,25,0.007512019230769231,133.12
A1,github,1,1,6,6,1.0,1.0
A1,github,2,0,3330,25,0.0075075075075075074,133.2
A1,github,2,1,3,3,1.0,1.0
A1,github,3,0,3328,25,0.007512019230769231,133.12
A1,github,3,1,5,5,1.0,1.0
A1,stackexchange,1,0,3317,25,0.007536930961712391,132.68
A1,stackexchange,1,1,17,17,1.0,1.0
A1,stackexchange,2,0,3318,25,0.007534659433393611,132.72
A1,stackexchange,2,1,15,15,1.0,1.0
A1,stackexchange,3,0,3328,25,0.007512019230769231,133.12
A1,stackexchange,3,1,5,5,1.0,1.0
A1,wikipedia,1,0,3321,25,0.007527853056308341,132.84
A1,wikipedia,1,1,13,13,1.0,1.0
A1,wikipedia,2,0,3308,25,0.007557436517533253,132.32
A1,wikipedia,2,1,25,25,1.0,1.0
A1,wikipedia,3,0,3322,25,0.007525586995785672,132.88
A1,wikipedia,3,1,11,11,1.0,1.0
