scenario,dataset,candidate,n_compared,n_unmatched_or_unscored,median_abs_score_change,p95_abs_score_change,max_abs_score_change,spearman_record_rank_vs_all_a1
unicode_strict_clean_a1,a1,q_equal,51230,0,0.0,0.0,0.0,1.0
unicode_strict_clean_a1,a1,q_huber,51230,0,0.00013651894692756628,0.00034774543074131967,0.0010050722026839765,0.9999983701944994
unicode_strict_clean_a1,a2,q_equal,17523,0,0.0,0.0,0.0,1.0
unicode_strict_clean_a1,a2,q_huber,17523,0,0.00030967217114508117,0.0006183726277392051,0.0011055450246217902,0.9999926936374951
unicode_strict_clean_a1,a3,q_equal,203752,0,0.0,0.0,0.0,1.0
unicode_strict_clean_a1,a3,q_huber,203752,0,0.00020367870112458775,0.0003679835747458781,0.00100054153180551,0.9999983852306878
unicode_broad_clean_a1,a1,q_equal,51230,0,0.0,0.0,0.0,1.0
unicode_broad_clean_a1,a1,q_huber,51230,0,9.457749665919835e-05,0.0002164302985192989,0.0006519006052378984,0.9999992222455055
unicode_broad_clean_a1,a2,q_equal,17523,0,0.0,0.0,0.0,1.0
unicode_broad_clean_a1,a2,q_huber,17523,0,0.00017258086040783382,0.0003153573457723266,0.00054586317032701,0.9999938287515897
unicode_broad_clean_a1,a3,q_equal,203752,0,0.0,0.0,0.0,1.0
unicode_broad_clean_a1,a3,q_huber,203752,0,9.939206747766605e-05,0.0002143690556298594,0.0006525926102654012,0.9999988788392267
unit_flagged_a1_excluded,a1,q_equal,51230,0,0.0,0.0,0.0,1.0
unit_flagged_a1_excluded,a1,q_huber,51230,0,1.0133076422391696e-07,6.402038508213082e-07,1.2213684748019205e-06,0.999999999937168
unit_flagged_a1_excluded,a2,q_equal,17523,0,0.0,0.0,0.0,1.0
unit_flagged_a1_excluded,a2,q_huber,17523,0,4.6822596999618327e-07,7.98823160153006e-07,1.2823613886325802e-06,0.9999999995740201
unit_flagged_a1_excluded,a3,q_equal,203752,0,0.0,0.0,0.0,1.0
unit_flagged_a1_excluded,a3,q_huber,203752,0,1.7112501993210572e-07,6.417926401880436e-07,1.1851697010456519e-06,0.9999999999711304
weight_alpha_0.25,a1,q_equal,51230,0,0.0,0.0,0.0,1.0
weight_alpha_0.25,a1,q_huber,51230,0,4.907414504451424e-05,0.00014786808793285642,0.0005119194392904092,0.9999997074014924
weight_alpha_0.25,a2,q_equal,17523,0,0.0,0.0,0.0,1.0
weight_alpha_0.25,a2,q_huber,17523,0,5.5190136521332533e-05,0.00021247993299411394,0.00044792950937733167,0.9999985190101995
weight_alpha_0.25,a3,q_equal,203752,0,0.0,0.0,0.0,1.0
weight_alpha_0.25,a3,q_huber,203752,0,5.0519883650679276e-05,0.00014099431840630672,0.00044792950937733167,0.9999995235709561
weight_alpha_0.5,a1,q_equal,51230,0,0.0,0.0,0.0,1.0
weight_alpha_0.5,a1,q_huber,51230,0,0.0,0.0,0.0,1.0
weight_alpha_0.5,a2,q_equal,17523,0,0.0,0.0,0.0,1.0
weight_alpha_0.5,a2,q_huber,17523,0,0.0,0.0,0.0,1.0
weight_alpha_0.5,a3,q_equal,203752,0,0.0,0.0,0.0,1.0
weight_alpha_0.5,a3,q_huber,203752,0,0.0,0.0,0.0,1.0
weight_alpha_1,a1,q_equal,51230,0,0.0,0.0,0.0,1.0
weight_alpha_1,a1,q_huber,51230,0,9.761468909275095e-05,0.00029412695054631383,0.001017012972102549,0.999998888825748
weight_alpha_1,a2,q_equal,17523,0,0.0,0.0,0.0,1.0
weight_alpha_1,a2,q_huber,17523,0,0.00010982371895451593,0.00042296099083465304,0.000889886350588398,0.9999943768451415
weight_alpha_1,a3,q_equal,203752,0,0.0,0.0,0.0,1.0
