scenario,dataset,source_domain,candidate,n,domain_score,all_a1_domain_score,delta_from_all_a1,a1_recalibrated_domain_delta,domain_delta_calibration_n,domain_delta_calibration_source
unicode_strict_clean_a1,a1,arxiv,q_equal,1419,0.5321021754042565,0.5320965357791057,5.639625150877237e-06,0.042546921693670275,1416,A1 without narrow Cf/Cc integrity flags
unicode_strict_clean_a1,a1,arxiv,q_huber,1419,0.5610524841494584,0.5613319908558356,-0.0002795067063772194,0.0660642583779932,1416,A1 without narrow Cf/Cc integrity flags
unicode_strict_clean_a1,a1,book,q_equal,171,0.4317234929528393,0.4316026991517443,0.00012079380109497606,0.07732267054871765,154,A1 without narrow Cf/Cc integrity flags
unicode_strict_clean_a1,a1,book,q_huber,171,0.428509291086959,0.42874874466340707,-0.00023945357644805654,0.11128872452457288,154,A1 without narrow Cf/Cc integrity flags
unicode_strict_clean_a1,a1,c4,q_equal,10000,0.5705242020552408,0.5705254959740866,-1.2939188458460649e-06,0.12300941461938955,9935,A1 without narrow Cf/Cc integrity flags
unicode_strict_clean_a1,a1,c4,q_huber,10000,0.5766610377025483,0.5767322748885473,-7.123718599899576e-05,0.13144163651302593,9935,A1 without narrow Cf/Cc integrity flags
unicode_strict_clean_a1,a1,commoncrawl,q_equal,9640,0.5340210557215972,0.5340113140988176,9.741622779557702e-06,0.10925984084018592,9388,A1 without narrow Cf/Cc integrity flags
unicode_strict_clean_a1,a1,commoncrawl,q_huber,9640,0.535949436040509,0.5359722946905645,-2.2858650055468388e-05,0.1173369730325506,9388,A1 without narrow Cf/Cc integrity flags
unicode_strict_clean_a1,a1,github,q_equal,10000,0.40449681099299717,0.40449680208832284,8.904674331233764e-09,0.08651535747773535,9989,A1 without narrow Cf/Cc integrity flags
unicode_strict_clean_a1,a1,github,q_huber,10000,0.38967475817848474,0.3894803356606058,0.00019442251787893383,0.09636596091246663,9989,A1 without narrow Cf/Cc integrity flags
unicode_strict_clean_a1,a1,stackexchange,q_equal,10000,0.5173380040917284,0.5173367560072943,1.2480844340245767e-06,0.09045946844835029,9969,A1 without narrow Cf/Cc integrity flags
unicode_strict_clean_a1,a1,stackexchange,q_huber,10000,0.5183227489881457,0.5183681310908792,-4.538210273352661e-05,0.09463468731866322,9969,A1 without narrow Cf/Cc integrity flags
unicode_strict_clean_a1,a1,wikipedia,q_equal,10000,0.48349082081726813,0.48349146724793535,-6.46430667217146e-07,0.10012073036064364,9951,A1 without narrow Cf/Cc integrity flags
unicode_strict_clean_a1,a1,wikipedia,q_huber,10000,0.4786736884716891,0.4787129620836854,-3.927361199629331e-05,0.114817495360427,9951,A1 without narrow Cf/Cc integrity flags
unicode_strict_clean_a1,a2,arxiv,q_equal,17523,0.5309637014541142,0.5309591176048425,4.58384927171096e-06,0.042546921693670275,1416,A1 without narrow Cf/Cc integrity flags
unicode_strict_clean_a1,a2,arxiv,q_huber,17523,0.5596907595139964,0.5599738811018025,-0.0002831215878060789,0.0660642583779932,1416,A1 without narrow Cf/Cc integrity flags
unicode_strict_clean_a1,a3,github,q_equal,203752,0.4039371787505761,0.40393716747452935,1.127604676298688e-08,0.08651535747773535,9989,A1 without narrow Cf/Cc integrity flags
unicode_strict_clean_a1,a3,github,q_huber,203752,0.3890652124651002,0.38887178212072904,0.00019343034437113715,0.09636596091246663,9989,A1 without narrow Cf/Cc integrity flags
unicode_broad_clean_a1,a1,arxiv,q_equal,1419,0.5321021754042565,0.5320965357791057,5.639625150877237e-06,0.042546921693670275,1416,A1 without broad Unicode integrity flags
unicode_broad_clean_a1,a1,arxiv,q_huber,1419,0.5612832361062718,0.5613319908558356,-4.875474956378412e-05,0.06599185960072025,1416,A1 without broad Unicode integrity flags
unicode_broad_clean_a1,a1,book,q_equal,171,0.4317234929528393,0.4316026991517443,0.00012079380109497606,0.07732267054871765,152,A1 without broad Unicode integrity flags
unicode_broad_clean_a1,a1,book,q_huber,171,0.42866589956467216,0.42874874466340707,-8.28450987349072e-05,0.11163334479244601,152,A1 without broad Unicode integrity flags
unicode_broad_clean_a1,a1,c4,q_equal,10000,0.5705236232602093,0.5705254959740866,-1.8727138773044771e-06,0.1230246388491062,9926,A1 without broad Unicode integrity flags
unicode_broad_clean_a1,a1,c4,q_huber,10000,0.5766734722635736,0.5767322748885473,-5.880262497370836e-05,0.13155897077876513,9926,A1 without broad Unicode integrity flags
unicode_broad_clean_a1,a1,commoncrawl,q_equal,9640,0.5340168401826961,0.5340113140988176,5.526083878493182e-06,0.10933704864813486,9373,A1 without broad Unicode integrity flags
unicode_broad_clean_a1,a1,commoncrawl,q_huber,9640,0.5359728935937849,0.5359722946905645,5.989032203501665e-07,0.1174355543234492,9373,A1 without broad Unicode integrity flags
unicode_broad_clean_a1,a1,github,q_equal,10000,0.40449766415134825,0.40449680208832284,8.620630254085881e-07,0.08641783317065373,9986,A1 without broad Unicode integrity flags
unicode_broad_clean_a1,a1,github,q_huber,10000,0.38955625223162293,0.3894803356606058,7.591657101713167e-05,0.09633151547482602,9986,A1 without broad Unicode integrity flags
unicode_broad_clean_a1,a1,stackexchange,q_equal,10000,0.5173371268191307,0.5173367560072943,3.708118363476842e-07,0.09048982661145086,9963,A1 without broad Unicode integrity flags
unicode_broad_clean_a1,a1,stackexchange,q_huber,10000,0.5183630776258692,0.5183681310908792,-5.053465010007585e-06,0.09452199453143373,9963,A1 without broad Unicode integrity flags
unicode_broad_clean_a1,a1,wikipedia,q_equal,10000,0.48349082081726813,0.48349146724793535,-6.46430667217146e-07,0.10012073036064364,9951,A1 without broad Unicode integrity flags
unicode_broad_clean_a1,a1,wikipedia,q_huber,10000,0.478681110118627,0.4787129620836854,-3.1851965058393716e-05,0.11499664776919032,9951,A1 without broad Unicode integrity flags
unicode_broad_clean_a1,a2,arxiv,q_equal,17523,0.5309637014541142,0.5309591176048425,4.58384927171096e-06,0.042546921693670275,1416,A1 without broad Unicode integrity flags
unicode_broad_clean_a1,a2,arxiv,q_huber,17523,0.5599226208451196,0.5599738811018025,-5.126025668289458e-05,0.06599185960072025,1416,A1 without broad Unicode integrity flags
unicode_broad_clean_a1,a3,github,q_equal,203752,0.4039382750020071,0.40393716747452935,1.107527477728354e-06,0.08641783317065373,9986,A1 without broad Unicode integrity flags
unicode_broad_clean_a1,a3,github,q_huber,203752,0.3889460862020311,0.38887178212072904,7.430408130204569e-05,0.09633151547482602,9986,A1 without broad Unicode integrity flags
unit_flagged_a1_excluded,a1,arxiv,q_equal,1419,0.5320965357791057,0.5320965357791057,0.0,0.042772343580223186,1419,A1 without any unit_suspect_* flag
unit_flagged_a1_excluded,a1,arxiv,q_huber,1419,0.5613314984439253,0.5613319908558356,-4.924119103577596e-07,0.06606860512169098,1419,A1 without any unit_suspect_* flag
unit_flagged_a1_excluded,a1,book,q_equal,171,0.4316026991517443,0.4316026991517443,0.0,0.08176180550085387,171,A1 without any unit_suspect_* flag
unit_flagged_a1_excluded,a1,book,q_huber,171,0.4287486192914489,0.42874874466340707,-1.2537195814843471e-07,0.11353300079370972,171,A1 without any unit_suspect_* flag
unit_flagged_a1_excluded,a1,c4,q_equal,10000,0.5705254959740866,0.5705254959740866,0.0,0.1229753931254563,10000,A1 without any unit_suspect_* flag
unit_flagged_a1_excluded,a1,c4,q_huber,10000,0.5767321992963854,0.5767322748885473,-7.559216186336926e-08,0.13132632540619252,10000,A1 without any unit_suspect_* flag
unit_flagged_a1_excluded,a1,commoncrawl,q_equal,9640,0.5340113140988176,0.5340113140988176,0.0,0.10943809426202179,9640,A1 without any unit_suspect_* flag
unit_flagged_a1_excluded,a1,commoncrawl,q_huber,9640,0.5359722377551837,0.5359722946905645,-5.6935380854383766e-08,0.11742595430876011,9640,A1 without any unit_suspect_* flag
unit_flagged_a1_excluded,a1,github,q_equal,10000,0.40449680208832284,0.40449680208832284,0.0,0.08651636395330399,10000,A1 without any unit_suspect_* flag
unit_flagged_a1_excluded,a1,github,q_huber,10000,0.38948057332602026,0.3894803356606058,2.3766541445979783e-07,0.09640160716612224,10000,A1 without any unit_suspect_* flag
unit_flagged_a1_excluded,a1,stackexchange,q_equal,10000,0.5173382094365611,0.5173367560072943,1.453429266717876e-06,0.09045238015264988,9998,A1 without any unit_suspect_* flag
unit_flagged_a1_excluded,a1,stackexchange,q_huber,10000,0.5183688346817856,0.5183681310908792,7.035909064256884e-07,0.09455485951369202,9998,A1 without any unit_suspect_* flag
unit_flagged_a1_excluded,a1,wikipedia,q_equal,10000,0.48349146724793535,0.48349146724793535,0.0,0.09988050192720736,10000,A1 without any unit_suspect_* flag
unit_flagged_a1_excluded,a1,wikipedia,q_huber,10000,0.4787130576040841,0.4787129620836854,9.55203987018649e-08,0.11468360795452553,10000,A1 without any unit_suspect_* flag
