indicator,a1_completeness,domain_rank_stability,valid_bootstrap_rho_count,undefined_bootstrap_rho_count,stability_fallback_reason,weight,primary_weight,weight_change_clean_minus_primary
fineweb_edu,1.0,1.0,1000,0,none,0.04549662905970459,0.04549200040313836,4.628656566231515e-06
fluency_en,1.0,1.0,1000,0,none,0.04549662905970459,0.04549200040313836,4.628656566231515e-06
modernbert_cleanliness,1.0,0.9821428571428572,1000,0,none,0.04508857930087642,0.04549200040313836,-0.000403421102261943
modernbert_readability,1.0,1.0,1000,0,none,0.04549662905970459,0.04549200040313836,4.628656566231515e-06
modernbert_reasoning,0.9997441045628125,1.0,1000,0,none,0.045490807497361056,0.04548622806732141,4.579430039647336e-06
modernbert_professionalism,0.9999212629424038,1.0,1000,0,none,0.04549483788909467,0.04548978036066074,5.057528433931313e-06
dsir_books,1.0,1.0,1000,0,none,0.04549662905970459,0.04549200040313836,4.628656566231515e-06
dsir_wiki,1.0,1.0,1000,0,none,0.04549662905970459,0.04549200040313836,4.628656566231515e-06
dsir_math,1.0,1.0,1000,0,none,0.04549662905970459,0.04549200040313836,4.628656566231515e-06
qurater,1.0,0.9821428571428572,1000,0,none,0.04508857930087642,0.0450839921577637,4.587143112716463e-06
ad_en,1.0,1.0,1000,0,none,0.04549662905970459,0.04549200040313836,4.628656566231515e-06
rps_doc_word_count,1.0,1.0,1000,0,none,0.04549662905970459,0.04549200040313836,4.628656566231515e-06
rps_doc_num_sentences,1.0,1.0,1000,0,none,0.04549662905970459,0.04549200040313836,4.628656566231515e-06
rps_doc_unigram_entropy,1.0,1.0,1000,0,none,0.04549662905970459,0.04549200040313836,4.628656566231515e-06
rps_doc_frac_unique_words,1.0,1.0,1000,0,none,0.04549662905970459,0.04549200040313836,4.628656566231515e-06
rps_doc_frac_no_alph_words,1.0,1.0,1000,0,none,0.04549662905970459,0.04549200040313836,4.628656566231515e-06
rps_doc_frac_chars_top_2gram,1.0,1.0,1000,0,none,0.04549662905970459,0.04549200040313836,4.628656566231515e-06
rps_doc_frac_chars_top_3gram,1.0,1.0,1000,0,none,0.04549662905970459,0.04549200040313836,4.628656566231515e-06
rps_lines_uppercase_letter_fraction,1.0,1.0,1000,0,none,0.04549662905970459,0.04549200040313836,4.628656566231515e-06
rps_lines_ending_with_terminal_punctution_mark,1.0,0.9955156044825575,1000,0,none,0.045394501996813476,0.04549200040313836,-9.749840632488488e-05
rps_lines_numerical_chars_fraction,1.0,1.0,1000,0,none,0.04549662905970459,0.0450839921577637,0.000412636901940891
rps_doc_mean_word_length,1.0,1.0,1000,0,none,0.04549662905970459,0.04549200040313836,4.628656566231515e-06
