indicator,a1_completeness,domain_rank_stability,valid_bootstrap_rho_count,undefined_bootstrap_rho_count,stability_fallback_reason,weight,primary_weight,weight_change_clean_minus_primary
fineweb_edu,1.0,1.0,1000,0,none,0.04547807198210034,0.04549200040313836,-1.3928421038020278e-05
fluency_en,1.0,1.0,1000,0,none,0.04547807198210034,0.04549200040313836,-1.3928421038020278e-05
modernbert_cleanliness,1.0,1.0,1000,0,none,0.04547807198210034,0.04549200040313836,-1.3928421038020278e-05
modernbert_readability,1.0,1.0,1000,0,none,0.04547807198210034,0.04549200040313836,-1.3928421038020278e-05
modernbert_reasoning,0.9997439281422972,1.0,1000,0,none,0.04547224878209846,0.04548622806732141,-1.3979285222946725e-05
modernbert_professionalism,0.9999212086591683,1.0,1000,0,none,0.04547628030767259,0.04548978036066074,-1.3500052988148215e-05
dsir_books,1.0,1.0,1000,0,none,0.04547807198210034,0.04549200040313836,-1.3928421038020278e-05
dsir_wiki,1.0,1.0,1000,0,none,0.04547807198210034,0.04549200040313836,-1.3928421038020278e-05
dsir_math,1.0,1.0,1000,0,none,0.04547807198210034,0.04549200040313836,-1.3928421038020278e-05
qurater,1.0,0.9821428571428572,1000,0,none,0.04507018865782342,0.0450839921577637,-1.3803499940283348e-05
ad_en,1.0,1.0,1000,0,none,0.04547807198210034,0.04549200040313836,-1.3928421038020278e-05
rps_doc_word_count,1.0,1.0,1000,0,none,0.04547807198210034,0.04549200040313836,-1.3928421038020278e-05
rps_doc_num_sentences,1.0,1.0,1000,0,none,0.04547807198210034,0.04549200040313836,-1.3928421038020278e-05
rps_doc_unigram_entropy,1.0,1.0,1000,0,none,0.04547807198210034,0.04549200040313836,-1.3928421038020278e-05
rps_doc_frac_unique_words,1.0,1.0,1000,0,none,0.04547807198210034,0.04549200040313836,-1.3928421038020278e-05
rps_doc_frac_no_alph_words,1.0,1.0,1000,0,none,0.04547807198210034,0.04549200040313836,-1.3928421038020278e-05
rps_doc_frac_chars_top_2gram,1.0,1.0,1000,0,none,0.04547807198210034,0.04549200040313836,-1.3928421038020278e-05
rps_doc_frac_chars_top_3gram,1.0,1.0,1000,0,none,0.04547807198210034,0.04549200040313836,-1.3928421038020278e-05
rps_lines_uppercase_letter_fraction,1.0,1.0,1000,0,none,0.04547807198210034,0.04549200040313836,-1.3928421038020278e-05
rps_lines_ending_with_terminal_punctution_mark,1.0,0.9955156044825575,1000,0,none,0.04537598657459933,0.04549200040313836,-0.00011601382853903414
rps_lines_numerical_chars_fraction,1.0,1.0,1000,0,none,0.04547807198210034,0.0450839921577637,0.0003940798243366392
rps_doc_mean_word_length,1.0,1.0,1000,0,none,0.04547807198210034,0.04549200040313836,-1.3928421038020278e-05
