id,source_domain,content_sha256_nfkc,content_length_chars,nfkc_length_chars,nfkc_changed,has_format_control_cf,has_nonstandard_control_cc,has_nonascii_space,invisible_codepoints
BkiUdGM4dbgg4JMhnNMO,arxiv,cec9d5ffc5360c5e28609c8f672dee880baf159848313185816925515910fcd1,554307,554307,False,True,False,False,U+00AD;U+200B
BkiUdjg4uBhhxOq5s2B4,arxiv,c6f9da4f21c141bec0d6355d75b2eb141d94010df573b522ac573fd5abfeeb58,28659,28659,False,True,False,False,U+200B
BkiUfYLxK7Ehm4qs1up1,arxiv,8fef0f0ac40d2a8c5d8c2a32e99dc311d90775d8d2a8fcd47a9105b43eb26ee3,33469,33469,False,True,False,False,U+00AD
BkiUbaM5qsNCPf8MwGzu,book,47f75a4d2b370215cc61850f85300abcb52314f49a2d91eba7b56dcac4ddbb69,409773,409773,False,True,False,False,U+00AD;U+200B
BkiUdU85qoYAtIo5IVmf,book,bd4a2fedcc86f44e34c41266f0ac20e5d41637a6c2704f54a8cb3a99cd919520,166547,166547,False,True,False,False,U+00AD
BkiUfPPxK7FjYCv2TzoR,book,0700be0d90d5467382b15cdc30c96579039b00c2f8a0c119de4695675f707b5d,192364,192364,False,True,False,False,U+200B
BkiUbik4uzlgqIdPjAZt,book,1ad0d6c8c0ff2a9e6fb91cf4089e4e62606236e1a18bd39fec3b357444327fa4,426603,426603,False,True,False,False,U+200B
BkiUbjvxK6EuNA_gMQo7,book,0ca1c1e38ab03b5a0cce5d61d17cfdc6df34e8a641e99cc036adbdbf20daf738,972063,972071,True,True,False,False,U+200B
BkiUboTxaKPQoprEvzE5,book,22f5f977c8257139b7281e1b005c8d5f454b2d22ec6856b6abe683ee3827d2b5,124623,124727,True,True,False,False,U+00AD
BkiUb1nxK6Ot9TMSpjQe,book,0598abd6f5e0ef72058a15914ae4b8a34abd95312d013608a723e86a0f178732,656794,656794,False,True,False,False,U+200B
BkiUbpI5qsFAfu5d6Ruf,book,44f03adc944cc8e081cca23a5aca31bf68805967cfaa4d8d727827c1fb0cbf2c,645796,645796,False,True,False,False,U+200C
BkiUabvxK0wg05VB4taD,book,909c9b10a8584a1411964fdeed36d57d32be3087bc7de8b369ecaa94ca5d71d2,865900,865940,True,True,False,False,U+200B
BkiUdn45qU2Ap2aRyEUz,book,86ff44c1d19662209d0459d570d6139fcbb100e65e3217f34c29874d4ecc452a,798536,798537,True,True,False,False,U+00AD;U+200B
BkiUeSHxK4sA-9zSBky5,book,611ce57a11a5edd2023687e68b780728c529b5a900ffcb96c91c2f6b8fee36af,260362,260362,False,True,False,False,U+00AD
BkiUdW84eIXh8AOmAlkO,book,de532689cd6f82ed3c6406943cc291f7a5e88ef40eac275f6e49339a3d7e4d88,1026942,1026945,True,True,False,False,U+200C
BkiUfELxK3YB9m4AAhev,book,d6cc43db382cbdedf87d2f258636e7a3ab2d1823674ece2c4b53206e8f8d242b,419651,419651,False,True,False,False,U+00AD;U+200B
BkiUfI_xK1yAgXBVGnXn,book,c7c8b677ca05cd8965e4009eefde95fe5293120d767a91cfc865593d7e8df2cd,152977,152977,False,True,False,False,U+00AD
BkiUfxjxK6nrxpQc3vAw,book,8629b17d8f310a54081f296c32ab306f77f3ecceb5135f44363553d74cd11194,62595,62595,False,True,False,False,U+200B
BkiUeYc4eIOjRvCHtv-t,book,e46ffca4c5c09a75542d19d21d4e1272822a261660f7fdfe839a2648222d8126,548535,549421,True,True,False,False,U+00AD
BkiUcyM4uBhixEAx39W5,book,ebe85307f8befe4b1df9f8fc7495149bd401175224fd9a78385e75a6906e8976,772683,772684,True,True,False,False,U+200B
BkiUbbQ5jDKDyDF8vygB,c4,6025532cad4c19c2c597ca8b1a3140da25b30b0dd1b8547340d217383c96015a,505,505,False,True,False,False,U+200B
BkiUe805qhDCUnl_eBV4,c4,62af0121ceb3006ede9bcbf3b317a3f2e03908ad89255f437635171cb4ed4e1a,4092,4092,False,True,False,False,U+200B
BkiUd_nxK7FjYHGH0ve8,c4,be210e2c99b70a1e7176c406e96e4c050bda299dabe4a1659fb6d608832d1502,2576,2576,False,True,False,False,U+200B
BkiUbGM4dbjiVD3oEgYq,c4,a7df6913df27bf578288f05ad8070ae1720b4b699455f24671a5e26fc942fb43,2361,2361,False,True,False,False,U+200B
BkiUdQM5qdmB64sMAY5-,c4,098acc2164db749346c69f159823bbecc01a9c302130bef809002deb1054c42e,1183,1183,False,True,False,False,U+200B
BkiUfx05qhDCbXrR5ptv,c4,8738c9732eefb80b6faf8a099ff447ca8b47b5d4acd30c9807b08ab10a1620e3,1726,1726,False,True,False,False,U+200E
BkiUdn45qYVBQos0Igab,c4,1a55105ecd805c38babd96050ecc4e8b4a4529e73887fe12f2f5ccdd42fdf2ae,2972,2972,False,False,True,False,U+0081
BkiUdao5qoYA189x-LIQ,c4,72ca48677b3e4274312d6dc553662fc48772a32760a6181bc938e98168f6500c,1244,1244,False,True,False,False,U+200B
BkiUd0k4ubng7g7bWmA-,c4,7d07dac8a3d94049ff1c61b0059741a58ce44ecf26e6e563bfccbbaf20742de6,5236,5236,False,True,False,False,U+200B
BkiUdHbxK6EuNBRhIEo5,c4,1553200f60f6d8bf0e791fea604f9e8b22128ce7eaba2b578e8e184fa0a76c27,2759,2759,False,True,False,False,U+200B
BkiUeH45qYVBjcNb2iT6,c4,708c67930beda4b83dd7b5a16c95db88eee2bd18ecbf36442f5f2ed09e6037c6,3142,3142,False,True,False,False,U+00AD
BkiUb9zxK1Thg9qFcNLj,c4,cfbe2b019cb25c69c204e9e8b30ed208d5f90c9d4eb0033465c03a2c2fced128,4309,4309,False,True,False,False,U+200B
BkiUa3rxK0zjCrsN9ng4,c4,64ee9172dd903a7f17a8037cdd0445278715fdf33bb24ea48647a133a1213401,4653,4653,False,True,False,False,U+00AD
BkiUdFk4eIXhwh1Bw8gN,c4,9ac3e0bec53deb8818a4c2d1f0c03bc270faf90df8dcd2a8eb43929e9b6cadff,4819,4819,False,True,False,False,U+200B
BkiUc8DxK7Ehm2ZQ0XGs,c4,c9a7a3baf3161cff440c07d8146128c59c3dee89a5c039e0af4a03eb7cbba027,512,512,False,True,False,False,U+200B
BkiUbkQ4uzki0w6oNA1R,c4,b160a209e1015d1b790f332c570a77363a87b768de07f432e090d36f00685b73,1172,1172,False,True,False,False,U+200B
BkiUc544dbgg6MqXbJzc,c4,acaa42a39a3d1a3c68923c7abfbc1a43cae6a3517c6e72f36ca4b7e67e7c28f5,366,366,False,True,False,False,U+200B
BkiUekDxK7Tt6AlxFEgu,c4,51639038813ae4a5f93e7aefe741ff94e7378ad174a6a07bb95afa48a70202f4,1322,1322,False,True,False,False,U+00AD
