indicator,a1_completeness,domain_rank_stability,valid_bootstrap_rho_count,undefined_bootstrap_rho_count,stability_fallback_reason,weight
fineweb_edu,1.0,1.0,20,0,none,0.04564646441027234
fluency_en,1.0,1.0,20,0,none,0.04564646441027234
modernbert_cleanliness,1.0,1.0,20,0,none,0.04564646441027234
modernbert_readability,1.0,1.0,20,0,none,0.04564646441027234
modernbert_reasoning,1.0,0.9910714285714286,20,0,none,0.04544222864572968
modernbert_professionalism,1.0,1.0,20,0,none,0.04564646441027234
dsir_books,1.0,1.0,20,0,none,0.04564646441027234
dsir_wiki,1.0,1.0,20,0,none,0.04564646441027234
dsir_math,1.0,1.0,20,0,none,0.04564646441027234
qurater,1.0,0.9821428571428572,20,0,none,0.04523707080949529
ad_en,1.0,1.0,20,0,none,0.04564646441027234
rps_doc_word_count,1.0,1.0,20,0,none,0.04564646441027234
rps_doc_num_sentences,1.0,0.9955156044825575,20,0,none,0.045544001009402195
rps_doc_unigram_entropy,1.0,0.9821428571428572,20,0,none,0.04523707080949529
rps_doc_frac_unique_words,1.0,1.0,20,0,none,0.04564646441027234
rps_doc_frac_no_alph_words,1.0,0.9910714285714286,20,0,none,0.04544222864572968
rps_doc_frac_chars_top_2gram,1.0,0.9821428571428572,20,0,none,0.04523707080949529
rps_doc_frac_chars_top_3gram,1.0,0.9464285714285714,20,0,none,0.04440696229143976
rps_lines_uppercase_letter_fraction,1.0,1.0,20,0,none,0.04564646441027234
rps_lines_ending_with_terminal_punctution_mark,1.0,1.0,20,0,none,0.04564646441027234
rps_lines_numerical_chars_fraction,1.0,0.9637832685994513,20,0,none,0.04481225883617725
rps_doc_mean_word_length,1.0,0.9821428571428572,20,0,none,0.04523707080949529
