variant,threshold_rule,quantile,dataset,source_domain,threshold,n,high_conflict_rate
main,within_domain_q0.9,0.9,a1,arxiv,0.46394349586782085,120,0.1
main,within_domain_q0.9,0.9,a1,book,0.4429649365702986,120,0.1
main,within_domain_q0.9,0.9,a1,c4,0.40713511258587265,120,0.1
main,within_domain_q0.9,0.9,a1,commoncrawl,0.37385134850981905,120,0.1
main,within_domain_q0.9,0.9,a1,github,0.42625283392914537,120,0.1
main,within_domain_q0.9,0.9,a1,stackexchange,0.33205368752997666,120,0.1
main,within_domain_q0.9,0.9,a1,wikipedia,0.39621593643215336,120,0.1
main,within_domain_q0.9,0.9,a2,arxiv,0.46394349586782085,120,0.041666666666666664
main,within_domain_q0.9,0.9,a3,github,0.42625283392914537,120,0.05
main,within_domain_q0.95,0.95,a1,arxiv,0.4681706110974865,120,0.05
main,within_domain_q0.95,0.95,a1,book,0.4469677646579624,120,0.05
main,within_domain_q0.95,0.95,a1,c4,0.4310674060027373,120,0.05
main,within_domain_q0.95,0.95,a1,commoncrawl,0.3920541441589567,120,0.05
main,within_domain_q0.95,0.95,a1,github,0.43956238719129553,120,0.05
main,within_domain_q0.95,0.95,a1,stackexchange,0.34607582355903954,120,0.05
main,within_domain_q0.95,0.95,a1,wikipedia,0.41186139592606424,120,0.05
main,within_domain_q0.95,0.95,a2,arxiv,0.4681706110974865,120,0.03333333333333333
main,within_domain_q0.95,0.95,a3,github,0.43956238719129553,120,0.008333333333333333
main,within_domain_q0.975,0.975,a1,arxiv,0.4702934091098361,120,0.025
main,within_domain_q0.975,0.975,a1,book,0.457943760527985,120,0.025
main,within_domain_q0.975,0.975,a1,c4,0.4396639082570134,120,0.025
main,within_domain_q0.975,0.975,a1,commoncrawl,0.39967534835584984,120,0.025
main,within_domain_q0.975,0.975,a1,github,0.45499813650121373,120,0.025
main,within_domain_q0.975,0.975,a1,stackexchange,0.3722069997293962,120,0.025
main,within_domain_q0.975,0.975,a1,wikipedia,0.4210076720428949,120,0.025
main,within_domain_q0.975,0.975,a2,arxiv,0.4702934091098361,120,0.016666666666666666
main,within_domain_q0.975,0.975,a3,github,0.45499813650121373,120,0.008333333333333333
main,pooled_a1_q95,0.95,a1,arxiv,0.4509808831983416,120,0.25
main,pooled_a1_q95,0.95,a1,book,0.4509808831983416,120,0.041666666666666664
main,pooled_a1_q95,0.95,a1,c4,0.4509808831983416,120,0.008333333333333333
main,pooled_a1_q95,0.95,a1,commoncrawl,0.4509808831983416,120,0.0
main,pooled_a1_q95,0.95,a1,github,0.4509808831983416,120,0.041666666666666664
main,pooled_a1_q95,0.95,a1,stackexchange,0.4509808831983416,120,0.0
main,pooled_a1_q95,0.95,a1,wikipedia,0.4509808831983416,120,0.008333333333333333
main,pooled_a1_q95,0.95,a2,arxiv,0.4509808831983416,120,0.25833333333333336
main,pooled_a1_q95,0.95,a3,github,0.4509808831983416,120,0.008333333333333333
outlier_excluded,within_domain_q0.95_recalibrated_on_a1,0.95,a1,arxiv,0.4227314877022609,120,0.05
outlier_excluded,within_domain_q0.95_recalibrated_on_a1,0.95,a1,book,0.38726380305695246,120,0.05
outlier_excluded,within_domain_q0.95_recalibrated_on_a1,0.95,a1,c4,0.4307487130319474,120,0.05
outlier_excluded,within_domain_q0.95_recalibrated_on_a1,0.95,a1,commoncrawl,0.3720236765047995,120,0.05
outlier_excluded,within_domain_q0.95_recalibrated_on_a1,0.95,a1,github,0.4445877860918826,120,0.05
outlier_excluded,within_domain_q0.95_recalibrated_on_a1,0.95,a1,stackexchange,0.32755068094240664,120,0.05
outlier_excluded,within_domain_q0.95_recalibrated_on_a1,0.95,a1,wikipedia,0.4096466530255681,120,0.05
outlier_excluded,within_domain_q0.95_recalibrated_on_a1,0.95,a2,arxiv,0.4227314877022609,120,0.03333333333333333
outlier_excluded,within_domain_q0.95_recalibrated_on_a1,0.95,a3,github,0.4445877860918826,120,0.025
unit_suspect_excluded,within_domain_q0.95_recalibrated_on_a1,0.95,a1,arxiv,0.4681706110974865,120,0.05
unit_suspect_excluded,within_domain_q0.95_recalibrated_on_a1,0.95,a1,book,0.4469677646579624,120,0.05
unit_suspect_excluded,within_domain_q0.95_recalibrated_on_a1,0.95,a1,c4,0.4310674060027373,120,0.05
unit_suspect_excluded,within_domain_q0.95_recalibrated_on_a1,0.95,a1,commoncrawl,0.3920541441589567,120,0.05
unit_suspect_excluded,within_domain_q0.95_recalibrated_on_a1,0.95,a1,github,0.43956238719129553,120,0.05
unit_suspect_excluded,within_domain_q0.95_recalibrated_on_a1,0.95,a1,stackexchange,0.34607582355903954,120,0.05
unit_suspect_excluded,within_domain_q0.95_recalibrated_on_a1,0.95,a1,wikipedia,0.41186139592606424,120,0.05
unit_suspect_excluded,within_domain_q0.95_recalibrated_on_a1,0.95,a2,arxiv,0.4681706110974865,120,0.03333333333333333
unit_suspect_excluded,within_domain_q0.95_recalibrated_on_a1,0.95,a3,github,0.43956238719129553,120,0.008333333333333333
both_flags_excluded,within_domain_q0.95_recalibrated_on_a1,0.95,a1,arxiv,0.4227314877022609,120,0.05
both_flags_excluded,within_domain_q0.95_recalibrated_on_a1,0.95,a1,book,0.38726380305695246,120,0.05
both_flags_excluded,within_domain_q0.95_recalibrated_on_a1,0.95,a1,c4,0.4307487130319474,120,0.05
both_flags_excluded,within_domain_q0.95_recalibrated_on_a1,0.95,a1,commoncrawl,0.3720236765047995,120,0.05
both_flags_excluded,within_domain_q0.95_recalibrated_on_a1,0.95,a1,github,0.4445877860918826,120,0.05
both_flags_excluded,within_domain_q0.95_recalibrated_on_a1,0.95,a1,stackexchange,0.32755068094240664,120,0.05
both_flags_excluded,within_domain_q0.95_recalibrated_on_a1,0.95,a1,wikipedia,0.4096466530255681,120,0.05
