variant,threshold_rule,source_domain,quantile,threshold,threshold_ci_low,threshold_ci_high,a1_n,a1_actual_exceedance_rate,a1_tie_rate
main,a1_source_domain_q95_linear,arxiv,0.95,0.4681706110974865,0.4654296841318298,0.47109554989573,120,0.05,0.0
main,a1_source_domain_q95_linear,book,0.95,0.4469677646579624,0.4439344746239688,0.4592600189067062,120,0.05,0.0
main,a1_source_domain_q95_linear,c4,0.95,0.4310674060027373,0.42135473256977524,0.4372462045936081,120,0.05,0.0
main,a1_source_domain_q95_linear,commoncrawl,0.95,0.3920541441589567,0.37533757108621796,0.3996755027153579,120,0.05,0.0
main,a1_source_domain_q95_linear,github,0.95,0.43956238719129553,0.42344144083185037,0.46288556101212625,120,0.05,0.0
main,a1_source_domain_q95_linear,stackexchange,0.95,0.34607582355903954,0.33483136880053666,0.37221891727865725,120,0.05,0.0
main,a1_source_domain_q95_linear,wikipedia,0.95,0.41186139592606424,0.39831566139098357,0.4319226336542811,120,0.05,0.0
main,a1_source_domain_q0.9,arxiv,0.9,0.46394349586782085,nan,nan,120,nan,nan
main,a1_source_domain_q0.9,book,0.9,0.4429649365702986,nan,nan,120,nan,nan
main,a1_source_domain_q0.9,c4,0.9,0.40713511258587265,nan,nan,120,nan,nan
main,a1_source_domain_q0.9,commoncrawl,0.9,0.37385134850981905,nan,nan,120,nan,nan
main,a1_source_domain_q0.9,github,0.9,0.42625283392914537,nan,nan,120,nan,nan
main,a1_source_domain_q0.9,stackexchange,0.9,0.33205368752997666,nan,nan,120,nan,nan
main,a1_source_domain_q0.9,wikipedia,0.9,0.39621593643215336,nan,nan,120,nan,nan
main,a1_source_domain_q0.975,arxiv,0.975,0.4702934091098361,nan,nan,120,nan,nan
main,a1_source_domain_q0.975,book,0.975,0.457943760527985,nan,nan,120,nan,nan
main,a1_source_domain_q0.975,c4,0.975,0.4396639082570134,nan,nan,120,nan,nan
main,a1_source_domain_q0.975,commoncrawl,0.975,0.39967534835584984,nan,nan,120,nan,nan
main,a1_source_domain_q0.975,github,0.975,0.45499813650121373,nan,nan,120,nan,nan
main,a1_source_domain_q0.975,stackexchange,0.975,0.3722069997293962,nan,nan,120,nan,nan
main,a1_source_domain_q0.975,wikipedia,0.975,0.4210076720428949,nan,nan,120,nan,nan
outlier_excluded,a1_source_domain_q0.95,arxiv,0.95,0.4227314877022609,nan,nan,120,nan,nan
outlier_excluded,a1_source_domain_q0.95,book,0.95,0.38726380305695246,nan,nan,120,nan,nan
outlier_excluded,a1_source_domain_q0.95,c4,0.95,0.4307487130319474,nan,nan,120,nan,nan
outlier_excluded,a1_source_domain_q0.95,commoncrawl,0.95,0.3720236765047995,nan,nan,120,nan,nan
outlier_excluded,a1_source_domain_q0.95,github,0.95,0.4445877860918826,nan,nan,120,nan,nan
outlier_excluded,a1_source_domain_q0.95,stackexchange,0.95,0.32755068094240664,nan,nan,120,nan,nan
outlier_excluded,a1_source_domain_q0.95,wikipedia,0.95,0.4096466530255681,nan,nan,120,nan,nan
unit_suspect_excluded,a1_source_domain_q0.95,arxiv,0.95,0.4681706110974865,nan,nan,120,nan,nan
unit_suspect_excluded,a1_source_domain_q0.95,book,0.95,0.4469677646579624,nan,nan,120,nan,nan
unit_suspect_excluded,a1_source_domain_q0.95,c4,0.95,0.4310674060027373,nan,nan,120,nan,nan
unit_suspect_excluded,a1_source_domain_q0.95,commoncrawl,0.95,0.3920541441589567,nan,nan,120,nan,nan
unit_suspect_excluded,a1_source_domain_q0.95,github,0.95,0.43956238719129553,nan,nan,120,nan,nan
unit_suspect_excluded,a1_source_domain_q0.95,stackexchange,0.95,0.34607582355903954,nan,nan,120,nan,nan
unit_suspect_excluded,a1_source_domain_q0.95,wikipedia,0.95,0.41186139592606424,nan,nan,120,nan,nan
both_flags_excluded,a1_source_domain_q0.95,arxiv,0.95,0.4227314877022609,nan,nan,120,nan,nan
both_flags_excluded,a1_source_domain_q0.95,book,0.95,0.38726380305695246,nan,nan,120,nan,nan
both_flags_excluded,a1_source_domain_q0.95,c4,0.95,0.4307487130319474,nan,nan,120,nan,nan
both_flags_excluded,a1_source_domain_q0.95,commoncrawl,0.95,0.3720236765047995,nan,nan,120,nan,nan
both_flags_excluded,a1_source_domain_q0.95,github,0.95,0.4445877860918826,nan,nan,120,nan,nan
both_flags_excluded,a1_source_domain_q0.95,stackexchange,0.95,0.32755068094240664,nan,nan,120,nan,nan
both_flags_excluded,a1_source_domain_q0.95,wikipedia,0.95,0.4096466530255681,nan,nan,120,nan,nan
