variant,threshold_rule,quantile,dataset,source_domain,threshold,n,high_conflict_rate
main,within_domain_q0.9,0.9,a1,arxiv,0.4602238689046727,1419,0.10007047216349542
main,within_domain_q0.9,0.9,a1,book,0.44263875982570744,171,0.09941520467836257
main,within_domain_q0.9,0.9,a1,c4,0.40175370516597514,10000,0.1
main,within_domain_q0.9,0.9,a1,commoncrawl,0.36240655556118656,9640,0.1
main,within_domain_q0.9,0.9,a1,github,0.41090603760038225,10000,0.1
main,within_domain_q0.9,0.9,a1,stackexchange,0.33968247983200583,10000,0.1
main,within_domain_q0.9,0.9,a1,wikipedia,0.3930218871168155,10000,0.1
main,within_domain_q0.9,0.9,a2,arxiv,0.4602238689046727,17523,0.09924099754608229
main,within_domain_q0.9,0.9,a3,github,0.41090603760038225,203752,0.09954258117711728
main,within_domain_q0.95,0.95,a1,arxiv,0.46603175151955184,1419,0.05003523608174771
main,within_domain_q0.95,0.95,a1,book,0.44760982010119876,171,0.05263157894736842
main,within_domain_q0.95,0.95,a1,c4,0.4187634770695783,10000,0.05
main,within_domain_q0.95,0.95,a1,commoncrawl,0.3833701125765997,9640,0.05
main,within_domain_q0.95,0.95,a1,github,0.4294319905547465,10000,0.05
main,within_domain_q0.95,0.95,a1,stackexchange,0.3598472443062697,10000,0.05
main,within_domain_q0.95,0.95,a1,wikipedia,0.4078789842124311,10000,0.05
main,within_domain_q0.95,0.95,a2,arxiv,0.46603175151955184,17523,0.044741197283570164
main,within_domain_q0.95,0.95,a3,github,0.4294319905547465,203752,0.05137618281047548
main,within_domain_q0.975,0.975,a1,arxiv,0.46887979936122587,1419,0.02536997885835095
main,within_domain_q0.975,0.975,a1,book,0.4560800846576926,171,0.029239766081871343
main,within_domain_q0.975,0.975,a1,c4,0.4304828878020707,10000,0.025
main,within_domain_q0.975,0.975,a1,commoncrawl,0.3986584350768851,9640,0.025
main,within_domain_q0.975,0.975,a1,github,0.4425986364646587,10000,0.025
main,within_domain_q0.975,0.975,a1,stackexchange,0.37455584903132594,10000,0.025
main,within_domain_q0.975,0.975,a1,wikipedia,0.42027414790153184,10000,0.025
