variant,threshold_rule,source_domain,quantile,threshold,threshold_ci_low,threshold_ci_high,a1_n,a1_actual_exceedance_rate,a1_tie_rate
main,a1_source_domain_q95_linear,arxiv,0.95,0.46603175151955184,0.4644490081791605,0.4671695875995309,1419,0.05003523608174771,0.0
main,a1_source_domain_q95_linear,book,0.95,0.44760982010119876,0.443050971849926,0.4568298605925809,171,0.05263157894736842,0.0
main,a1_source_domain_q95_linear,c4,0.95,0.4187634770695783,0.4172378975567971,0.42058526231499677,10000,0.05,0.0
main,a1_source_domain_q95_linear,commoncrawl,0.95,0.3833701125765997,0.3814957568385321,0.3854799332450125,9640,0.05,0.0
main,a1_source_domain_q95_linear,github,0.95,0.4294319905547465,0.4276841997326884,0.43118456940489247,10000,0.05,0.0
main,a1_source_domain_q95_linear,stackexchange,0.95,0.3598472443062697,0.35747753902059926,0.36225934906822616,10000,0.05,0.0
main,a1_source_domain_q95_linear,wikipedia,0.95,0.4078789842124311,0.40591660134277024,0.40924161626424654,10000,0.05,0.0
main,a1_source_domain_q0.9,arxiv,0.9,0.4602238689046727,nan,nan,1419,nan,nan
main,a1_source_domain_q0.9,book,0.9,0.44263875982570744,nan,nan,171,nan,nan
main,a1_source_domain_q0.9,c4,0.9,0.40175370516597514,nan,nan,10000,nan,nan
main,a1_source_domain_q0.9,commoncrawl,0.9,0.36240655556118656,nan,nan,9640,nan,nan
main,a1_source_domain_q0.9,github,0.9,0.41090603760038225,nan,nan,10000,nan,nan
main,a1_source_domain_q0.9,stackexchange,0.9,0.33968247983200583,nan,nan,10000,nan,nan
main,a1_source_domain_q0.9,wikipedia,0.9,0.3930218871168155,nan,nan,10000,nan,nan
main,a1_source_domain_q0.975,arxiv,0.975,0.46887979936122587,nan,nan,1419,nan,nan
main,a1_source_domain_q0.975,book,0.975,0.4560800846576926,nan,nan,171,nan,nan
main,a1_source_domain_q0.975,c4,0.975,0.4304828878020707,nan,nan,10000,nan,nan
main,a1_source_domain_q0.975,commoncrawl,0.975,0.3986584350768851,nan,nan,9640,nan,nan
main,a1_source_domain_q0.975,github,0.975,0.4425986364646587,nan,nan,10000,nan,nan
main,a1_source_domain_q0.975,stackexchange,0.975,0.37455584903132594,nan,nan,10000,nan,nan
main,a1_source_domain_q0.975,wikipedia,0.975,0.42027414790153184,nan,nan,10000,nan,nan
outlier_excluded,a1_source_domain_q0.95,arxiv,0.95,0.4245743375530384,nan,nan,1419,nan,nan
outlier_excluded,a1_source_domain_q0.95,book,0.95,0.3892577802033753,nan,nan,171,nan,nan
outlier_excluded,a1_source_domain_q0.95,c4,0.95,0.4148380140147235,nan,nan,10000,nan,nan
outlier_excluded,a1_source_domain_q0.95,commoncrawl,0.95,0.3637839431430099,nan,nan,9640,nan,nan
outlier_excluded,a1_source_domain_q0.95,github,0.95,0.43137245945932146,nan,nan,10000,nan,nan
outlier_excluded,a1_source_domain_q0.95,stackexchange,0.95,0.3426743375662028,nan,nan,10000,nan,nan
outlier_excluded,a1_source_domain_q0.95,wikipedia,0.95,0.40484236008814173,nan,nan,10000,nan,nan
unit_suspect_excluded,a1_source_domain_q0.95,arxiv,0.95,0.46603175151955184,nan,nan,1419,nan,nan
unit_suspect_excluded,a1_source_domain_q0.95,book,0.95,0.44760982010119876,nan,nan,171,nan,nan
unit_suspect_excluded,a1_source_domain_q0.95,c4,0.95,0.4187634770695783,nan,nan,10000,nan,nan
unit_suspect_excluded,a1_source_domain_q0.95,commoncrawl,0.95,0.3833701125765997,nan,nan,9640,nan,nan
unit_suspect_excluded,a1_source_domain_q0.95,github,0.95,0.4294319905547465,nan,nan,10000,nan,nan
unit_suspect_excluded,a1_source_domain_q0.95,stackexchange,0.95,0.35983252862056364,nan,nan,10000,nan,nan
unit_suspect_excluded,a1_source_domain_q0.95,wikipedia,0.95,0.4078789842124311,nan,nan,10000,nan,nan
both_flags_excluded,a1_source_domain_q0.95,arxiv,0.95,0.4245743375530384,nan,nan,1419,nan,nan
both_flags_excluded,a1_source_domain_q0.95,book,0.95,0.3892577802033753,nan,nan,171,nan,nan
both_flags_excluded,a1_source_domain_q0.95,c4,0.95,0.4148380140147235,nan,nan,10000,nan,nan
both_flags_excluded,a1_source_domain_q0.95,commoncrawl,0.95,0.3637839431430099,nan,nan,9640,nan,nan
both_flags_excluded,a1_source_domain_q0.95,github,0.95,0.43137245945932146,nan,nan,10000,nan,nan
both_flags_excluded,a1_source_domain_q0.95,stackexchange,0.95,0.3426743375662028,nan,nan,10000,nan,nan
both_flags_excluded,a1_source_domain_q0.95,wikipedia,0.95,0.40484236008814173,nan,nan,10000,nan,nan
