split,role,model,target,n,mae,rmse,r2,spearman_rho
p1_train_slice,smoke_in_sample,mean,metric/the_pile_arxiv_val_loss,96,0.8589538501368628,1.0905537708472368,0.0,
p1_train_slice,smoke_in_sample,mean,metric/the_pile_freelaw_val_loss,96,0.6721540614962578,0.7886910213739357,0.0,
p1_train_slice,smoke_in_sample,mean,metric/the_pile_pubmed_central_val_loss,96,0.740464330650866,0.8508514005675807,0.0,
p1_train_slice,smoke_in_sample,mean,metric/the_pile_wikipedia_en_val_loss,96,0.4243138035138448,0.5062795113724811,0.0,
p1_train_slice,smoke_in_sample,mean,metric/the_pile_dm_mathematics_val_loss,96,1.484431757281224,1.5628505024011616,0.0,
p1_train_slice,smoke_in_sample,mean,metric/the_pile_github_val_loss,96,0.8306749316656754,1.0362514760653245,0.0,
p1_train_slice,smoke_in_sample,mean,metric/the_pile_stackexchange_val_loss,96,0.6190060476462046,0.7637528728966191,0.0,
p1_train_slice,smoke_in_sample,mean,metric/the_pile_gutenberg_pg_19_val_loss,96,0.35314474585983485,0.44057143222550177,0.0,
p1_train_slice,smoke_in_sample,mean,metric/the_pile_pile_cc_val_loss,96,0.2562924412389596,0.31100609170675475,0.0,
p1_train_slice,smoke_in_sample,mean,metric/the_pile_ubuntu_irc_val_loss,96,0.9728078817327818,1.0549839713973954,0.0,
p1_train_slice,smoke_in_sample,mean,metric/the_pile_hackernews_val_loss,96,0.31477162055671215,0.3658014144943006,0.0,
p1_train_slice,smoke_in_sample,mean,metric/the_pile_pubmed_abstracts_val_loss,96,0.42141597252339125,0.5209627269098394,0.0,
p1_train_slice,smoke_in_sample,mean,metric/the_pile_uspto_backgrounds_val_loss,96,0.4486877638846636,0.5070624139399195,0.0,
p1_train_slice,smoke_in_sample,reference_ols,metric/the_pile_arxiv_val_loss,96,0.5250456245263767,0.6744589677376611,0.6175128057353904,0.7971513836136733
p1_train_slice,smoke_in_sample,reference_ols,metric/the_pile_freelaw_val_loss,96,0.4055749337375585,0.47089843555169514,0.6435154587170472,0.8505832881172002
p1_train_slice,smoke_in_sample,reference_ols,metric/the_pile_pubmed_central_val_loss,96,0.4431612825555928,0.5288914052052347,0.6136102626135318,0.8384970157352143
p1_train_slice,smoke_in_sample,reference_ols,metric/the_pile_wikipedia_en_val_loss,96,0.1991143464621353,0.25133712416137854,0.7535478685823171,0.863537710255019
p1_train_slice,smoke_in_sample,reference_ols,metric/the_pile_dm_mathematics_val_loss,96,0.9324885389054275,1.0955987584094824,0.5085626171971784,0.7551953336950624
p1_train_slice,smoke_in_sample,reference_ols,metric/the_pile_github_val_loss,96,0.5212703484672053,0.662475780912759,0.591295248093453,0.8605263157894737
p1_train_slice,smoke_in_sample,reference_ols,metric/the_pile_stackexchange_val_loss,96,0.3584679235748655,0.4649317257480435,0.6294279577661863,0.8775366250678241
p1_train_slice,smoke_in_sample,reference_ols,metric/the_pile_gutenberg_pg_19_val_loss,96,0.18759113395286856,0.23781172076994084,0.708637372519447,0.8692620727075421
p1_train_slice,smoke_in_sample,reference_ols,metric/the_pile_pile_cc_val_loss,96,0.11267589944860514,0.13995964036179637,0.7974800346758786,0.8874660879001628
p1_train_slice,smoke_in_sample,reference_ols,metric/the_pile_ubuntu_irc_val_loss,96,0.5074732102448262,0.6047452574479566,0.6714108494221194,0.845008138903961
p1_train_slice,smoke_in_sample,reference_ols,metric/the_pile_hackernews_val_loss,96,0.1597491560521693,0.19783353514474156,0.707511320207451,0.8869370591427022
p1_train_slice,smoke_in_sample,reference_ols,metric/the_pile_pubmed_abstracts_val_loss,96,0.19972475862743364,0.2617166127177073,0.7476232884131361,0.9229517091698318
p1_train_slice,smoke_in_sample,reference_ols,metric/the_pile_uspto_backgrounds_val_loss,96,0.2235986114981883,0.26723089374447945,0.7222522886067255,0.9095903418339664
p1_train_slice,smoke_in_sample,simplex_ridge,metric/the_pile_arxiv_val_loss,96,0.53850411407429,0.704098141682088,0.5831572727659358,0.8057514921323928
p1_train_slice,smoke_in_sample,simplex_ridge,metric/the_pile_freelaw_val_loss,96,0.4270090937052691,0.4896913304363528,0.6144940929702984,0.8533912099837222
p1_train_slice,smoke_in_sample,simplex_ridge,metric/the_pile_pubmed_central_val_loss,96,0.4726534711817291,0.553316634317795,0.5770977293265653,0.8246608790016278
p1_train_slice,smoke_in_sample,simplex_ridge,metric/the_pile_wikipedia_en_val_loss,96,0.22110866015936112,0.26885590817777805,0.7179939245346116,0.8685160065111232
p1_train_slice,smoke_in_sample,simplex_ridge,metric/the_pile_dm_mathematics_val_loss,96,1.346312227514457,1.4197372193529139,0.17475849539354305,0.5581524688008681
p1_train_slice,smoke_in_sample,simplex_ridge,metric/the_pile_github_val_loss,96,0.5474454085984672,0.7121177937125532,0.5277484946934259,0.8651654910472056
p1_train_slice,smoke_in_sample,simplex_ridge,metric/the_pile_stackexchange_val_loss,96,0.3690867474468216,0.49408314071236015,0.5815010658805921,0.8833423765599566
p1_train_slice,smoke_in_sample,simplex_ridge,metric/the_pile_gutenberg_pg_19_val_loss,96,0.19399156303917833,0.24969783224378728,0.6787842156268008,0.8523602821486707
p1_train_slice,smoke_in_sample,simplex_ridge,metric/the_pile_pile_cc_val_loss,96,0.11809087213139441,0.14749052963322126,0.7750994699633191,0.8970021703743896
p1_train_slice,smoke_in_sample,simplex_ridge,metric/the_pile_ubuntu_irc_val_loss,96,0.8459412547503561,0.9271715881277339,0.22762446877220088,0.5623846988605534
p1_train_slice,smoke_in_sample,simplex_ridge,metric/the_pile_hackernews_val_loss,96,0.19982542223723102,0.24269499675460418,0.5598194126328752,0.793407487791644
p1_train_slice,smoke_in_sample,simplex_ridge,metric/the_pile_pubmed_abstracts_val_loss,96,0.2124125371508645,0.2807863591903871,0.7095049697265303,0.916223548562127
p1_train_slice,smoke_in_sample,simplex_ridge,metric/the_pile_uspto_backgrounds_val_loss,96,0.24243055390266366,0.27551753874316537,0.7047596842854956,0.9026315789473685
p1_train_slice,smoke_in_sample,simplex_huber_ridge_sensitivity,metric/the_pile_arxiv_val_loss,96,0.5639538096220944,0.7487711332327892,0.5285843255986802,0.8118014107433532
p1_train_slice,smoke_in_sample,simplex_huber_ridge_sensitivity,metric/the_pile_freelaw_val_loss,96,0.43840014816292605,0.5034215063050274,0.5925730657109366,0.8575013564839935
