stage,mapping_scenario,q_scenario,outer_fold,model,lambda,inner_best_standardized_mse
nested_outer,direct_only,shared_baseline,0,p_only_linear,0.0001,0.3961821064680398
nested_outer,direct_only,shared_baseline,0,p_only_quadratic,0.2848035868435799,0.37687128413334925
nested_outer,direct_only,shared_baseline,1,p_only_linear,0.0001,0.4042262823379722
nested_outer,direct_only,shared_baseline,1,p_only_quadratic,0.2848035868435799,0.38169276611703895
nested_outer,direct_only,shared_baseline,2,p_only_linear,0.0001,0.4000545371160384
nested_outer,direct_only,shared_baseline,2,p_only_quadratic,0.2848035868435799,0.3789824700293533
nested_outer,direct_only,shared_baseline,3,p_only_linear,0.0001,0.405720498994788
nested_outer,direct_only,shared_baseline,3,p_only_quadratic,0.2848035868435799,0.3910867381174052
nested_outer,direct_only,shared_baseline,4,p_only_linear,0.0001,0.4084513655349353
nested_outer,direct_only,shared_baseline,4,p_only_quadratic,0.2848035868435799,0.3966142388655677
nested_outer,direct_only,q_equal_candidate,0,p_plus_Qcovered,0.03162277660168379,0.5654082864106746
nested_outer,direct_only,q_equal_candidate,1,p_plus_Qcovered,0.03162277660168379,0.5770987456274808
nested_outer,direct_only,q_equal_candidate,2,p_plus_Qcovered,0.03162277660168379,0.5821026624437691
nested_outer,direct_only,q_equal_candidate,3,p_plus_Qcovered,0.03162277660168379,0.5682907341492878
nested_outer,direct_only,q_equal_candidate,4,p_plus_Qcovered,0.03162277660168379,0.573813912396136
nested_outer,direct_only,q_huber_candidate,0,p_plus_Qcovered,0.03162277660168379,0.5836366311033271
nested_outer,direct_only,q_huber_candidate,1,p_plus_Qcovered,0.03162277660168379,0.5936180942283612
nested_outer,direct_only,q_huber_candidate,2,p_plus_Qcovered,0.03162277660168379,0.5985838865459343
nested_outer,direct_only,q_huber_candidate,3,p_plus_Qcovered,0.03162277660168379,0.5791143608600698
nested_outer,direct_only,q_huber_candidate,4,p_plus_Qcovered,0.03162277660168379,0.588157995221391
nested_outer,direct_only,q_huber_unicode_broad_sensitivity,0,p_plus_Qcovered,0.03162277660168379,0.5836041696137537
nested_outer,direct_only,q_huber_unicode_broad_sensitivity,1,p_plus_Qcovered,0.03162277660168379,0.5935872865812988
nested_outer,direct_only,q_huber_unicode_broad_sensitivity,2,p_plus_Qcovered,0.03162277660168379,0.5985516984013102
nested_outer,direct_only,q_huber_unicode_broad_sensitivity,3,p_plus_Qcovered,0.03162277660168379,0.5790900289547714
nested_outer,direct_only,q_huber_unicode_broad_sensitivity,4,p_plus_Qcovered,0.03162277660168379,0.5881302930732931
nested_outer,direct_only,q_huber_exclude_7_frac_sensitivity,0,p_plus_Qcovered,0.03162277660168379,0.6209780049709268
nested_outer,direct_only,q_huber_exclude_7_frac_sensitivity,1,p_plus_Qcovered,0.03162277660168379,0.6288516453321056
nested_outer,direct_only,q_huber_exclude_7_frac_sensitivity,2,p_plus_Qcovered,0.03162277660168379,0.634827906581238
nested_outer,direct_only,q_huber_exclude_7_frac_sensitivity,3,p_plus_Qcovered,0.03162277660168379,0.6086076530105652
nested_outer,direct_only,q_huber_exclude_7_frac_sensitivity,4,p_plus_Qcovered,0.03162277660168379,0.6202226058505313
nested_outer,direct_plus_near,shared_baseline,0,p_only_linear,0.0001,0.4097267518318634
nested_outer,direct_plus_near,shared_baseline,0,p_only_quadratic,0.2848035868435799,0.3959015701230806
nested_outer,direct_plus_near,shared_baseline,1,p_only_linear,0.0001,0.4032993425287972
nested_outer,direct_plus_near,shared_baseline,1,p_only_quadratic,0.2848035868435799,0.37123124079532605
nested_outer,direct_plus_near,shared_baseline,2,p_only_linear,0.0001,0.4055782614674939
nested_outer,direct_plus_near,shared_baseline,2,p_only_quadratic,0.2848035868435799,0.387847147131262
nested_outer,direct_plus_near,shared_baseline,3,p_only_linear,0.0001,0.4038303770680243
nested_outer,direct_plus_near,shared_baseline,3,p_only_quadratic,0.2848035868435799,0.3865207824832082
nested_outer,direct_plus_near,shared_baseline,4,p_only_linear,0.0001,0.3996036651928286
nested_outer,direct_plus_near,shared_baseline,4,p_only_quadratic,0.2848035868435799,0.3694652689133882
nested_outer,direct_plus_near,q_equal_candidate,0,p_plus_Qcovered,0.03162277660168379,0.56415702814394
nested_outer,direct_plus_near,q_equal_candidate,1,p_plus_Qcovered,0.03162277660168379,0.5631176879276651
nested_outer,direct_plus_near,q_equal_candidate,2,p_plus_Qcovered,0.03162277660168379,0.5639634569544069
nested_outer,direct_plus_near,q_equal_candidate,3,p_plus_Qcovered,0.01,0.5644100272203386
nested_outer,direct_plus_near,q_equal_candidate,4,p_plus_Qcovered,0.01,0.554017142386165
nested_outer,direct_plus_near,q_huber_candidate,0,p_plus_Qcovered,0.03162277660168379,0.5685785431470087
nested_outer,direct_plus_near,q_huber_candidate,1,p_plus_Qcovered,0.03162277660168379,0.5697665893905158
nested_outer,direct_plus_near,q_huber_candidate,2,p_plus_Qcovered,0.03162277660168379,0.5686251249747253
nested_outer,direct_plus_near,q_huber_candidate,3,p_plus_Qcovered,0.03162277660168379,0.5722383463011822
nested_outer,direct_plus_near,q_huber_candidate,4,p_plus_Qcovered,0.03162277660168379,0.5591036662445702
nested_outer,direct_plus_near,q_huber_unicode_broad_sensitivity,0,p_plus_Qcovered,0.03162277660168379,0.5685916073575175
nested_outer,direct_plus_near,q_huber_unicode_broad_sensitivity,1,p_plus_Qcovered,0.03162277660168379,0.5697704916125808
nested_outer,direct_plus_near,q_huber_unicode_broad_sensitivity,2,p_plus_Qcovered,0.03162277660168379,0.5686404789487697
nested_outer,direct_plus_near,q_huber_unicode_broad_sensitivity,3,p_plus_Qcovered,0.03162277660168379,0.5722531213849972
nested_outer,direct_plus_near,q_huber_unicode_broad_sensitivity,4,p_plus_Qcovered,0.03162277660168379,0.5591080061762375
nested_outer,direct_plus_near,q_huber_exclude_7_frac_sensitivity,0,p_plus_Qcovered,0.03162277660168379,0.5966510225686434
nested_outer,direct_plus_near,q_huber_exclude_7_frac_sensitivity,1,p_plus_Qcovered,0.03162277660168379,0.6124264180788035
nested_outer,direct_plus_near,q_huber_exclude_7_frac_sensitivity,2,p_plus_Qcovered,0.03162277660168379,0.6030698012402173
nested_outer,direct_plus_near,q_huber_exclude_7_frac_sensitivity,3,p_plus_Qcovered,0.03162277660168379,0.6064415631753578
nested_outer,direct_plus_near,q_huber_exclude_7_frac_sensitivity,4,p_plus_Qcovered,0.03162277660168379,0.5870252686399375
full_train_cv,direct_only,q_equal_candidate,,p_only_linear,0.0001,
full_train_cv,direct_only,q_equal_candidate,,p_only_quadratic,0.2848035868435799,
full_train_cv,direct_only,q_equal_candidate,,p_plus_Qcovered,0.03162277660168379,
full_train_cv,direct_only,q_equal_candidate,,p_only_linear,0.0001,
full_train_cv,direct_only,q_equal_candidate,,p_only_quadratic,0.2848035868435799,
full_train_cv,direct_only,q_equal_candidate,,p_plus_Qcovered,0.03162277660168379,
full_train_cv,direct_only,q_equal_candidate,,p_only_linear,0.0001,
full_train_cv,direct_only,q_equal_candidate,,p_only_quadratic,0.2848035868435799,
full_train_cv,direct_only,q_equal_candidate,,p_plus_Qcovered,0.03162277660168379,
full_train_cv,direct_only,q_huber_candidate,,p_only_linear,0.0001,
full_train_cv,direct_only,q_huber_candidate,,p_only_quadratic,0.2848035868435799,
full_train_cv,direct_only,q_huber_candidate,,p_plus_Qcovered,0.03162277660168379,
full_train_cv,direct_only,q_huber_candidate,,p_only_linear,0.0001,
full_train_cv,direct_only,q_huber_candidate,,p_only_quadratic,0.2848035868435799,
full_train_cv,direct_only,q_huber_candidate,,p_plus_Qcovered,0.03162277660168379,
full_train_cv,direct_only,q_huber_candidate,,p_only_linear,0.0001,
full_train_cv,direct_only,q_huber_candidate,,p_only_quadratic,0.2848035868435799,
full_train_cv,direct_only,q_huber_candidate,,p_plus_Qcovered,0.03162277660168379,
full_train_cv,direct_only,q_huber_unicode_broad_sensitivity,,p_only_linear,0.0001,
full_train_cv,direct_only,q_huber_unicode_broad_sensitivity,,p_only_quadratic,0.2848035868435799,
full_train_cv,direct_only,q_huber_unicode_broad_sensitivity,,p_plus_Qcovered,0.03162277660168379,
full_train_cv,direct_only,q_huber_unicode_broad_sensitivity,,p_only_linear,0.0001,
full_train_cv,direct_only,q_huber_unicode_broad_sensitivity,,p_only_quadratic,0.2848035868435799,
full_train_cv,direct_only,q_huber_unicode_broad_sensitivity,,p_plus_Qcovered,0.03162277660168379,
full_train_cv,direct_only,q_huber_unicode_broad_sensitivity,,p_only_linear,0.0001,
full_train_cv,direct_only,q_huber_unicode_broad_sensitivity,,p_only_quadratic,0.2848035868435799,
full_train_cv,direct_only,q_huber_unicode_broad_sensitivity,,p_plus_Qcovered,0.03162277660168379,
full_train_cv,direct_only,q_huber_exclude_7_frac_sensitivity,,p_only_linear,0.0001,
full_train_cv,direct_only,q_huber_exclude_7_frac_sensitivity,,p_only_quadratic,0.2848035868435799,
full_train_cv,direct_only,q_huber_exclude_7_frac_sensitivity,,p_plus_Qcovered,0.03162277660168379,
full_train_cv,direct_only,q_huber_exclude_7_frac_sensitivity,,p_only_linear,0.0001,
full_train_cv,direct_only,q_huber_exclude_7_frac_sensitivity,,p_only_quadratic,0.2848035868435799,
full_train_cv,direct_only,q_huber_exclude_7_frac_sensitivity,,p_plus_Qcovered,0.03162277660168379,
full_train_cv,direct_only,q_huber_exclude_7_frac_sensitivity,,p_only_linear,0.0001,
full_train_cv,direct_only,q_huber_exclude_7_frac_sensitivity,,p_only_quadratic,0.2848035868435799,
full_train_cv,direct_only,q_huber_exclude_7_frac_sensitivity,,p_plus_Qcovered,0.03162277660168379,
full_train_cv,direct_plus_near,q_equal_candidate,,p_only_linear,0.0001,
full_train_cv,direct_plus_near,q_equal_candidate,,p_only_quadratic,0.2848035868435799,
full_train_cv,direct_plus_near,q_equal_candidate,,p_plus_Qcovered,0.03162277660168379,
full_train_cv,direct_plus_near,q_equal_candidate,,p_only_linear,0.0001,
full_train_cv,direct_plus_near,q_equal_candidate,,p_only_quadratic,0.2848035868435799,
full_train_cv,direct_plus_near,q_equal_candidate,,p_plus_Qcovered,0.03162277660168379,
full_train_cv,direct_plus_near,q_equal_candidate,,p_only_linear,0.0001,
full_train_cv,direct_plus_near,q_equal_candidate,,p_only_quadratic,0.2848035868435799,
full_train_cv,direct_plus_near,q_equal_candidate,,p_plus_Qcovered,0.03162277660168379,
full_train_cv,direct_plus_near,q_huber_candidate,,p_only_linear,0.0001,
full_train_cv,direct_plus_near,q_huber_candidate,,p_only_quadratic,0.2848035868435799,
full_train_cv,direct_plus_near,q_huber_candidate,,p_plus_Qcovered,0.03162277660168379,
full_train_cv,direct_plus_near,q_huber_candidate,,p_only_linear,0.0001,
full_train_cv,direct_plus_near,q_huber_candidate,,p_only_quadratic,0.2848035868435799,
full_train_cv,direct_plus_near,q_huber_candidate,,p_plus_Qcovered,0.03162277660168379,
full_train_cv,direct_plus_near,q_huber_candidate,,p_only_linear,0.0001,
full_train_cv,direct_plus_near,q_huber_candidate,,p_only_quadratic,0.2848035868435799,
full_train_cv,direct_plus_near,q_huber_candidate,,p_plus_Qcovered,0.03162277660168379,
full_train_cv,direct_plus_near,q_huber_unicode_broad_sensitivity,,p_only_linear,0.0001,
full_train_cv,direct_plus_near,q_huber_unicode_broad_sensitivity,,p_only_quadratic,0.2848035868435799,
full_train_cv,direct_plus_near,q_huber_unicode_broad_sensitivity,,p_plus_Qcovered,0.03162277660168379,
full_train_cv,direct_plus_near,q_huber_unicode_broad_sensitivity,,p_only_linear,0.0001,
full_train_cv,direct_plus_near,q_huber_unicode_broad_sensitivity,,p_only_quadratic,0.2848035868435799,
full_train_cv,direct_plus_near,q_huber_unicode_broad_sensitivity,,p_plus_Qcovered,0.03162277660168379,
full_train_cv,direct_plus_near,q_huber_unicode_broad_sensitivity,,p_only_linear,0.0001,
full_train_cv,direct_plus_near,q_huber_unicode_broad_sensitivity,,p_only_quadratic,0.2848035868435799,
full_train_cv,direct_plus_near,q_huber_unicode_broad_sensitivity,,p_plus_Qcovered,0.03162277660168379,
full_train_cv,direct_plus_near,q_huber_exclude_7_frac_sensitivity,,p_only_linear,0.0001,
full_train_cv,direct_plus_near,q_huber_exclude_7_frac_sensitivity,,p_only_quadratic,0.2848035868435799,
full_train_cv,direct_plus_near,q_huber_exclude_7_frac_sensitivity,,p_plus_Qcovered,0.03162277660168379,
full_train_cv,direct_plus_near,q_huber_exclude_7_frac_sensitivity,,p_only_linear,0.0001,
full_train_cv,direct_plus_near,q_huber_exclude_7_frac_sensitivity,,p_only_quadratic,0.2848035868435799,
full_train_cv,direct_plus_near,q_huber_exclude_7_frac_sensitivity,,p_plus_Qcovered,0.03162277660168379,
full_train_cv,direct_plus_near,q_huber_exclude_7_frac_sensitivity,,p_only_linear,0.0001,
full_train_cv,direct_plus_near,q_huber_exclude_7_frac_sensitivity,,p_only_quadratic,0.2848035868435799,
full_train_cv,direct_plus_near,q_huber_exclude_7_frac_sensitivity,,p_plus_Qcovered,0.03162277660168379,
