split,role,model,target,n,mae,rmse,r2,spearman_rho,normalized_rmse,mapping_scenario,q_scenario
train_1m_nested_cv,out_of_fold,p_only_linear,metric/the_pile_arxiv_val_loss,478,0.5090059675273576,0.6473940519474761,0.5031061441058946,0.7864540318931285,0.7064020929542705,direct_only,shared_baseline
train_1m_nested_cv,out_of_fold,p_only_linear,metric/the_pile_freelaw_val_loss,478,0.41728088221446535,0.48145642199348104,0.611012913794727,0.814745453078122,0.6236210317486494,direct_only,shared_baseline
train_1m_nested_cv,out_of_fold,p_only_linear,metric/the_pile_pubmed_central_val_loss,478,0.48318396126226826,0.5667447073680012,0.5232727653848419,0.7808002964870884,0.6905238461343016,direct_only,shared_baseline
train_1m_nested_cv,out_of_fold,p_only_linear,metric/the_pile_wikipedia_en_val_loss,478,0.2423067105426158,0.2950679083195638,0.6833530539939927,0.8507107740654446,0.5627804773258461,direct_only,shared_baseline
train_1m_nested_cv,out_of_fold,p_only_linear,metric/the_pile_dm_mathematics_val_loss,478,1.1158241867750496,1.207369246260432,0.3639850763564393,0.6842272967324945,0.796621603353258,direct_only,shared_baseline
train_1m_nested_cv,out_of_fold,p_only_linear,metric/the_pile_github_val_loss,478,0.4996824736713638,0.6164991771128681,0.5662374808842172,0.8380196455658595,0.6590129644562326,direct_only,shared_baseline
train_1m_nested_cv,out_of_fold,p_only_linear,metric/the_pile_stackexchange_val_loss,478,0.3655411590737374,0.4577793225590919,0.5579314282014985,0.8275208558131011,0.6654939351479847,direct_only,shared_baseline
train_1m_nested_cv,out_of_fold,p_only_linear,metric/the_pile_gutenberg_pg_19_val_loss,478,0.19026359793837672,0.24388863897259486,0.6732812729625957,0.8784171101090131,0.5709958904758053,direct_only,shared_baseline
train_1m_nested_cv,out_of_fold,p_only_linear,metric/the_pile_pile_cc_val_loss,478,0.12660427429201343,0.15586950281234901,0.748744255005908,0.8779938710545965,0.5013847360571728,direct_only,shared_baseline
train_1m_nested_cv,out_of_fold,p_only_linear,metric/the_pile_ubuntu_irc_val_loss,478,0.6113077868614022,0.6834484398044184,0.5407210390234232,0.7848339228958868,0.6773869429662934,direct_only,shared_baseline
train_1m_nested_cv,out_of_fold,p_only_linear,metric/the_pile_hackernews_val_loss,478,0.15695015359224435,0.19242486254848262,0.6620662547026634,0.834407170583743,0.5811637210020872,direct_only,shared_baseline
train_1m_nested_cv,out_of_fold,p_only_linear,metric/the_pile_pubmed_abstracts_val_loss,478,0.2366809639026797,0.3097170371014153,0.7208467025018253,0.9066173349245452,0.5289199663775775,direct_only,shared_baseline
train_1m_nested_cv,out_of_fold,p_only_linear,metric/the_pile_uspto_backgrounds_val_loss,478,0.2329235312931467,0.2789684598960974,0.7262955585319049,0.880490673825252,0.5234061583663184,direct_only,shared_baseline
train_1m_nested_cv,out_of_fold,p_only_quadratic,metric/the_pile_arxiv_val_loss,478,0.4473435075860539,0.606897507223357,0.5633264124117936,0.7993148076149408,0.6627235522356001,direct_only,shared_baseline
train_1m_nested_cv,out_of_fold,p_only_quadratic,metric/the_pile_freelaw_val_loss,478,0.32917496980544025,0.39662742195118905,0.7360104779086833,0.8585345435640936,0.5137947898032125,direct_only,shared_baseline
train_1m_nested_cv,out_of_fold,p_only_quadratic,metric/the_pile_pubmed_central_val_loss,478,0.4355264274622815,0.5433900241269147,0.5617536182082556,0.7879344895824354,0.6629920780118518,direct_only,shared_baseline
train_1m_nested_cv,out_of_fold,p_only_quadratic,metric/the_pile_wikipedia_en_val_loss,478,0.20805996432055607,0.2639481541079148,0.7466221737960773,0.8639042517230757,0.503299434673725,direct_only,shared_baseline
train_1m_nested_cv,out_of_fold,p_only_quadratic,metric/the_pile_dm_mathematics_val_loss,478,1.1496173911894674,1.3468551231298977,0.2085402155409395,0.5700694394428363,0.8888677546462168,direct_only,shared_baseline
train_1m_nested_cv,out_of_fold,p_only_quadratic,metric/the_pile_github_val_loss,478,0.4221631752748626,0.5523772594171956,0.651776078540111,0.8585297090577607,0.5905103511638232,direct_only,shared_baseline
train_1m_nested_cv,out_of_fold,p_only_quadratic,metric/the_pile_stackexchange_val_loss,478,0.2952589334306042,0.39983826750633167,0.6627546189631166,0.8518026033706727,0.5816269269501698,direct_only,shared_baseline
train_1m_nested_cv,out_of_fold,p_only_quadratic,metric/the_pile_gutenberg_pg_19_val_loss,478,0.17096095451620433,0.223772717666358,0.7249541093585035,0.8831822852260948,0.5239241741076568,direct_only,shared_baseline
train_1m_nested_cv,out_of_fold,p_only_quadratic,metric/the_pile_pile_cc_val_loss,478,0.0997896642226424,0.1324178173676772,0.8186629481125629,0.922781616723744,0.4261180028398095,direct_only,shared_baseline
train_1m_nested_cv,out_of_fold,p_only_quadratic,metric/the_pile_ubuntu_irc_val_loss,478,0.6081290392782462,0.723196530888093,0.4857459662891074,0.689549428954155,0.7161730219540209,direct_only,shared_baseline
train_1m_nested_cv,out_of_fold,p_only_quadratic,metric/the_pile_hackernews_val_loss,478,0.15184475983353984,0.19321577766460854,0.6592825583353149,0.8157559747768423,0.5832497301036144,direct_only,shared_baseline
train_1m_nested_cv,out_of_fold,p_only_quadratic,metric/the_pile_pubmed_abstracts_val_loss,478,0.1845319036012942,0.2672828302401613,0.792099902422422,0.9374141291414207,0.45682446504392415,direct_only,shared_baseline
train_1m_nested_cv,out_of_fold,p_only_quadratic,metric/the_pile_uspto_backgrounds_val_loss,478,0.19551528665344511,0.24751115661052003,0.7845427092975532,0.8816955646535837,0.4629370095156022,direct_only,shared_baseline
