lambda,standardized_mse
0.0,0.400316151433245
1e-06,0.40020342710090934
3.162277660168379e-06,0.4000042926994128
1e-05,0.39959068440903606
3.1622776601683795e-05,0.398990013380319
0.0001,0.3985994161476655
0.00031622776601683794,0.40040607261320926
0.001,0.41106670613183643
0.0031622776601683794,0.4368863418748924
0.01,0.47288187084234506
0.03162277660168379,0.5320873237961442
0.1,0.6491704795956115
0.31622776601683794,0.7941001587077215
1.0,0.9045986365372797
3.1622776601683795,0.9654730005836363
10.0,0.9910501333733546
