lambda,standardized_mse
0.0,0.40305926912428575
1e-06,0.40297214265138975
3.162277660168379e-06,0.4028219610358976
1e-05,0.40252396635733523
3.1622776601683795e-05,0.4021137054183558
0.0001,0.4019007921930211
0.00031622776601683794,0.4036984632312692
0.001,0.4138942003917976
0.0031622776601683794,0.4387351306648767
0.01,0.47392277914722986
0.03162277660168379,0.5330118457389872
0.1,0.6504020638089053
0.31622776601683794,0.7953115817235926
1.0,0.9056367765958667
3.1622776601683795,0.966362100023306
10.0,0.9918510925700723
