split,role,model,target,n,mae,rmse,r2,spearman_rho,variant,nested_macro_normalized_rmse,outer_selected_lambdas,outer_selected_models
nested_cv_closed,out_of_fold,mean,metric/the_pile_arxiv_val_loss,512,0.8149455182431038,1.0156176597538362,-0.003305251533125775,-0.06320553484627416,closed,1.002920333223083,"[0.0001, 0.0001, 0.0001, 0.0001, 0.0001]","[""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge""]"
nested_cv_closed,out_of_fold,mean,metric/the_pile_freelaw_val_loss,512,0.675500125049473,0.7849108831169125,-0.0031924719329434748,-0.07070439762366026,closed,1.002920333223083,"[0.0001, 0.0001, 0.0001, 0.0001, 0.0001]","[""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge""]"
nested_cv_closed,out_of_fold,mean,metric/the_pile_pubmed_central_val_loss,512,0.7429418239394237,0.8552522536960706,-0.0070898511726456,-0.11736345087204647,closed,1.002920333223083,"[0.0001, 0.0001, 0.0001, 0.0001, 0.0001]","[""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge""]"
nested_cv_closed,out_of_fold,mean,metric/the_pile_wikipedia_en_val_loss,512,0.4396830379640576,0.5298785610616383,-0.0037923678993432297,-0.0664481815023436,closed,1.002920333223083,"[0.0001, 0.0001, 0.0001, 0.0001, 0.0001]","[""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge""]"
nested_cv_closed,out_of_fold,mean,metric/the_pile_dm_mathematics_val_loss,512,1.4465613916490285,1.53719661242288,-0.005040054950906647,-0.09133399236959688,closed,1.002920333223083,"[0.0001, 0.0001, 0.0001, 0.0001, 0.0001]","[""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge""]"
nested_cv_closed,out_of_fold,mean,metric/the_pile_github_val_loss,512,0.8642513275522201,1.0568629258238,-0.0021642465046418646,-0.06382417037989048,closed,1.002920333223083,"[0.0001, 0.0001, 0.0001, 0.0001, 0.0001]","[""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge""]"
nested_cv_closed,out_of_fold,mean,metric/the_pile_stackexchange_val_loss,512,0.6329257614270023,0.7762259013335178,-0.0016953422199128543,-0.05895027685949589,closed,1.002920333223083,"[0.0001, 0.0001, 0.0001, 0.0001, 0.0001]","[""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge""]"
nested_cv_closed,out_of_fold,mean,metric/the_pile_gutenberg_pg_19_val_loss,512,0.3551652874733603,0.4360979068943323,-0.0046311654380035705,-0.08061844381958609,closed,1.002920333223083,"[0.0001, 0.0001, 0.0001, 0.0001, 0.0001]","[""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge""]"
nested_cv_closed,out_of_fold,mean,metric/the_pile_pile_cc_val_loss,512,0.26356238556388323,0.3211820261110914,-0.0047272952731112206,-0.09585223547443433,closed,1.002920333223083,"[0.0001, 0.0001, 0.0001, 0.0001, 0.0001]","[""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge""]"
nested_cv_closed,out_of_fold,mean,metric/the_pile_ubuntu_irc_val_loss,512,0.9246666239835248,1.0302381216378875,-0.0050677623359289825,-0.08511547108821647,closed,1.002920333223083,"[0.0001, 0.0001, 0.0001, 0.0001, 0.0001]","[""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge""]"
