run_id,scenario,model_label,N_params_B,D_tokens_B,tokens_per_parameter,synthetic_checkpoint,target_loss,published_endpoint_pile_test_xent,frozen_pythia_reference_loss,family_offset,slope_multiplier,ar1_noise,is_terminal_checkpoint,matches_published_anchor,response_protocol,trajectory_status
cerebras_111M__calibrated_pythia_shape,calibrated_pythia_shape,111M,0.111,0.22,1.981981982,1,3.508129896,2.608,4.332016797,0,1,0,False,False,synthetic path anchored to published Cerebras Pile-test xent; comparability to B1 val_loss unverified,semi-synthetic; not an observed Cerebras training run
cerebras_111M__calibrated_pythia_shape,calibrated_pythia_shape,111M,0.111,0.2234971533,2.013487868,2,3.499784559,2.608,4.32367146,0,1,0,False,False,synthetic path anchored to published Cerebras Pile-test xent; comparability to B1 val_loss unverified,semi-synthetic; not an observed Cerebras training run
cerebras_111M__calibrated_pythia_shape,calibrated_pythia_shape,111M,0.111,0.2270498979,2.045494576,3,3.491475978,2.608,4.315362878,0,1,0,False,False,synthetic path anchored to published Cerebras Pile-test xent; comparability to B1 val_loss unverified,semi-synthetic; not an observed Cerebras training run
cerebras_111M__calibrated_pythia_shape,calibrated_pythia_shape,111M,0.111,0.2306591175,2.078010067,4,3.483203989,2.608,4.30709089,0,1,0,False,False,synthetic path anchored to published Cerebras Pile-test xent; comparability to B1 val_loss unverified,semi-synthetic; not an observed Cerebras training run
cerebras_111M__calibrated_pythia_shape,calibrated_pythia_shape,111M,0.111,0.2343257097,2.11104243,5,3.474968433,2.608,4.298855334,0,1,0,False,False,synthetic path anchored to published Cerebras Pile-test xent; comparability to B1 val_loss unverified,semi-synthetic; not an observed Cerebras training run
cerebras_111M__calibrated_pythia_shape,calibrated_pythia_shape,111M,0.111,0.2380505867,2.14459988,6,3.466769148,2.608,4.290656049,0,1,0,False,False,synthetic path anchored to published Cerebras Pile-test xent; comparability to B1 val_loss unverified,semi-synthetic; not an observed Cerebras training run
cerebras_111M__calibrated_pythia_shape,calibrated_pythia_shape,111M,0.111,0.2418346749,2.178690765,7,3.458605975,2.608,4.282492876,0,1,0,False,False,synthetic path anchored to published Cerebras Pile-test xent; comparability to B1 val_loss unverified,semi-synthetic; not an observed Cerebras training run
cerebras_111M__calibrated_pythia_shape,calibrated_pythia_shape,111M,0.111,0.2456789155,2.213323563,8,3.450478755,2.608,4.274365656,0,1,-0,False,False,synthetic path anchored to published Cerebras Pile-test xent; comparability to B1 val_loss unverified,semi-synthetic; not an observed Cerebras training run
cerebras_111M__calibrated_pythia_shape,calibrated_pythia_shape,111M,0.111,0.2495842647,2.248506889,9,3.442387329,2.608,4.26627423,0,1,0,False,False,synthetic path anchored to published Cerebras Pile-test xent; comparability to B1 val_loss unverified,semi-synthetic; not an observed Cerebras training run
cerebras_111M__calibrated_pythia_shape,calibrated_pythia_shape,111M,0.111,0.253551694,2.284249495,10,3.43433154,2.608,4.258218441,0,1,-0,False,False,synthetic path anchored to published Cerebras Pile-test xent; comparability to B1 val_loss unverified,semi-synthetic; not an observed Cerebras training run
cerebras_111M__calibrated_pythia_shape,calibrated_pythia_shape,111M,0.111,0.2575821901,2.320560271,11,3.426311231,2.608,4.250198132,0,1,-0,False,False,synthetic path anchored to published Cerebras Pile-test xent; comparability to B1 val_loss unverified,semi-synthetic; not an observed Cerebras training run
cerebras_111M__calibrated_pythia_shape,calibrated_pythia_shape,111M,0.111,0.2616767556,2.357448249,12,3.418326245,2.608,4.242213146,0,1,0,False,False,synthetic path anchored to published Cerebras Pile-test xent; comparability to B1 val_loss unverified,semi-synthetic; not an observed Cerebras training run
