scenario,model_label,N_params_B,D_end_tokens_B,training_tokens_per_parameter,published_endpoint_pile_test_xent,generated_terminal_loss,endpoint_difference,terminal_is_calibration_anchor_position,terminal_matches_published_anchor,terminal_excluded_from_stress_score
calibrated_pythia_shape,111M,0.111,2.2,19.81981982,2.608,2.608,0,True,True,True
family_offset_minus_0p15,111M,0.111,2.2,19.81981982,2.608,2.458,-0.15,True,False,True
family_offset_plus_0p15,111M,0.111,2.2,19.81981982,2.608,2.758,0.15,True,False,True
shallow_progress_0p75,111M,0.111,2.2,19.81981982,2.608,2.608,0,True,True,True
steep_progress_1p25,111M,0.111,2.2,19.81981982,2.608,2.608,0,True,True,True
ar1_noise_sd_0p02_rho_0p70,111M,0.111,2.2,19.81981982,2.608,2.608,0,True,True,True
calibrated_pythia_shape,256M,0.256,5.1,19.921875,2.349,2.349,0,True,True,True
family_offset_minus_0p15,256M,0.256,5.1,19.921875,2.349,2.199,-0.15,True,False,True
family_offset_plus_0p15,256M,0.256,5.1,19.921875,2.349,2.499,0.15,True,False,True
shallow_progress_0p75,256M,0.256,5.1,19.921875,2.349,2.349,0,True,True,True
steep_progress_1p25,256M,0.256,5.1,19.921875,2.349,2.349,0,True,True,True
ar1_noise_sd_0p02_rho_0p70,256M,0.256,5.1,19.921875,2.349,2.349,0,True,True,True
calibrated_pythia_shape,590M,0.59,11.8,20,2.181,2.181,0,True,True,True
family_offset_minus_0p15,590M,0.59,11.8,20,2.181,2.031,-0.15,True,False,True
family_offset_plus_0p15,590M,0.59,11.8,20,2.181,2.331,0.15,True,False,True
shallow_progress_0p75,590M,0.59,11.8,20,2.181,2.181,0,True,True,True
steep_progress_1p25,590M,0.59,11.8,20,2.181,2.181,0,True,True,True
ar1_noise_sd_0p02_rho_0p70,590M,0.59,11.8,20,2.181,2.181,0,True,True,True
calibrated_pythia_shape,1.3B,1.3,26.3,20.23076923,1.997,1.997,0,True,True,True
family_offset_minus_0p15,1.3B,1.3,26.3,20.23076923,1.997,1.847,-0.15,True,False,True
family_offset_plus_0p15,1.3B,1.3,26.3,20.23076923,1.997,2.147,0.15,True,False,True
shallow_progress_0p75,1.3B,1.3,26.3,20.23076923,1.997,1.997,0,True,True,True
steep_progress_1p25,1.3B,1.3,26.3,20.23076923,1.997,1.997,0,True,True,True
ar1_noise_sd_0p02_rho_0p70,1.3B,1.3,26.3,20.23076923,1.997,1.997,0,True,True,True
calibrated_pythia_shape,2.7B,2.7,53,19.62962963,1.834,1.834,0,True,True,True
family_offset_minus_0p15,2.7B,2.7,53,19.62962963,1.834,1.684,-0.15,True,False,True
family_offset_plus_0p15,2.7B,2.7,53,19.62962963,1.834,1.984,0.15,True,False,True
shallow_progress_0p75,2.7B,2.7,53,19.62962963,1.834,1.834,0,True,True,True
steep_progress_1p25,2.7B,2.7,53,19.62962963,1.834,1.834,0,True,True,True
ar1_noise_sd_0p02_rho_0p70,2.7B,2.7,53,19.62962963,1.834,1.834,0,True,True,True
calibrated_pythia_shape,6.7B,6.7,133.2,19.88059701,1.704,1.704,0,True,True,True
family_offset_minus_0p15,6.7B,6.7,133.2,19.88059701,1.704,1.554,-0.15,True,False,True
family_offset_plus_0p15,6.7B,6.7,133.2,19.88059701,1.704,1.854,0.15,True,False,True
shallow_progress_0p75,6.7B,6.7,133.2,19.88059701,1.704,1.704,0,True,True,True
steep_progress_1p25,6.7B,6.7,133.2,19.88059701,1.704,1.704,0,True,True,True
ar1_noise_sd_0p02_rho_0p70,6.7B,6.7,133.2,19.88059701,1.704,1.704,0,True,True,True
calibrated_pythia_shape,13B,13,257.1,19.77692308,1.572,1.572,0,True,True,True
family_offset_minus_0p15,13B,13,257.1,19.77692308,1.572,1.422,-0.15,True,False,True
family_offset_plus_0p15,13B,13,257.1,19.77692308,1.572,1.722,0.15,True,False,True
shallow_progress_0p75,13B,13,257.1,19.77692308,1.572,1.572,0,True,True,True
steep_progress_1p25,13B,13,257.1,19.77692308,1.572,1.572,0,True,True,True
ar1_noise_sd_0p02_rho_0p70,13B,13,257.1,19.77692308,1.572,1.572,0,True,True,True
