split,target,n_recipes,observed_mean,predicted_mean,centered_rmse,centered_r2,pearson_r_centered
test_1m,metric/the_pile_arxiv_val_loss,256,4.878949,5.048610,0.561248,0.481691,0.712630
test_1m,metric/the_pile_dm_mathematics_val_loss,256,3.759058,3.805609,1.162500,0.425251,0.653558
test_1m,metric/the_pile_freelaw_val_loss,256,5.315982,5.352515,0.479363,0.576947,0.759848
test_1m,metric/the_pile_github_val_loss,256,5.073727,5.216534,0.593479,0.585023,0.766285
test_1m,metric/the_pile_gutenberg_pg_19_val_loss,256,5.429232,5.449396,0.256278,0.673711,0.823071
test_1m,metric/the_pile_hackernews_val_loss,256,5.390412,5.407330,0.189885,0.681177,0.828765
test_1m,metric/the_pile_pile_cc_val_loss,256,5.733697,5.736263,0.153602,0.770305,0.878429
test_1m,metric/the_pile_pubmed_abstracts_val_loss,256,5.414838,5.421975,0.262969,0.787388,0.887634
test_1m,metric/the_pile_pubmed_central_val_loss,256,5.088126,5.134205,0.527702,0.601728,0.776114
test_1m,metric/the_pile_stackexchange_val_loss,256,5.119640,5.216763,0.435987,0.568927,0.756482
test_1m,metric/the_pile_ubuntu_irc_val_loss,256,6.489986,6.529331,0.650105,0.575171,0.758659
test_1m,metric/the_pile_uspto_backgrounds_val_loss,256,5.160357,5.181982,0.270820,0.718111,0.848809
test_1m,metric/the_pile_wikipedia_en_val_loss,256,5.815662,5.805498,0.295353,0.707782,0.841849
test_60m,metric/the_pile_arxiv_val_loss,256,3.285349,5.048610,0.490078,0.260514,0.706922
test_60m,metric/the_pile_dm_mathematics_val_loss,256,2.458022,3.805609,0.743251,0.064022,0.635167
test_60m,metric/the_pile_freelaw_val_loss,256,3.972935,5.352515,0.428575,0.557358,0.752389
test_60m,metric/the_pile_github_val_loss,256,2.634123,5.216534,0.515117,0.436425,0.745639
test_60m,metric/the_pile_gutenberg_pg_19_val_loss,256,4.460372,5.449396,0.211636,0.697642,0.836829
test_60m,metric/the_pile_hackernews_val_loss,256,4.414068,5.407330,0.178308,0.664920,0.815457
test_60m,metric/the_pile_pile_cc_val_loss,256,4.668794,5.736263,0.156051,0.752741,0.867642
test_60m,metric/the_pile_pubmed_abstracts_val_loss,256,4.072574,5.421975,0.262371,0.769943,0.877797
test_60m,metric/the_pile_pubmed_central_val_loss,256,3.424296,5.134205,0.397709,0.511096,0.783537
test_60m,metric/the_pile_stackexchange_val_loss,256,3.496483,5.216763,0.392749,0.501578,0.744001
test_60m,metric/the_pile_ubuntu_irc_val_loss,256,4.563534,6.529331,0.516198,0.460244,0.743835
test_60m,metric/the_pile_uspto_backgrounds_val_loss,256,3.783944,5.181982,0.262757,0.630498,0.827191
test_60m,metric/the_pile_wikipedia_en_val_loss,256,4.463351,5.805498,0.280529,0.686094,0.836330
test_1b,metric/the_pile_arxiv_val_loss,64,1.794390,4.991803,0.312193,-7.854301,0.730984
test_1b,metric/the_pile_dm_mathematics_val_loss,64,1.550900,4.133738,0.509886,-1.941998,0.543365
test_1b,metric/the_pile_freelaw_val_loss,64,1.982324,5.341405,0.178885,-0.667054,0.658989
test_1b,metric/the_pile_github_val_loss,64,1.055528,5.474554,0.281384,-4.495526,0.682042
test_1b,metric/the_pile_gutenberg_pg_19_val_loss,64,2.812886,5.483031,0.180756,0.442050,0.688975
test_1b,metric/the_pile_hackernews_val_loss,64,3.149094,5.461976,0.170630,0.248896,0.526313
test_1b,metric/the_pile_pile_cc_val_loss,64,2.983106,5.663120,0.115970,-0.324567,0.723201
test_1b,metric/the_pile_pubmed_abstracts_val_loss,64,2.461835,5.483069,0.216839,-2.676431,0.578861
test_1b,metric/the_pile_pubmed_central_val_loss,64,1.761143,5.135340,0.329132,-38.449323,0.702828
test_1b,metric/the_pile_stackexchange_val_loss,64,1.856187,5.392610,0.179171,-0.923309,0.701700
test_1b,metric/the_pile_ubuntu_irc_val_loss,64,2.643224,6.675113,0.666415,-1.484190,0.648109
test_1b,metric/the_pile_uspto_backgrounds_val_loss,64,2.373060,5.261917,0.131649,0.121532,0.766069
test_1b,metric/the_pile_wikipedia_en_val_loss,64,2.508737,5.813170,0.134712,0.275068,0.756828
