index,mixture_row_present,loss_row_present,join_status
1,yes,yes,matched_unique
2,yes,yes,matched_unique
3,yes,yes,matched_unique
4,yes,yes,matched_unique
5,yes,yes,matched_unique
6,yes,yes,matched_unique
7,yes,yes,matched_unique
8,yes,yes,matched_unique
9,yes,yes,matched_unique
10,yes,yes,matched_unique
11,yes,yes,matched_unique
12,yes,yes,matched_unique
13,yes,yes,matched_unique
14,yes,yes,matched_unique
15,yes,yes,matched_unique
16,yes,yes,matched_unique
17,yes,yes,matched_unique
18,yes,yes,matched_unique
19,yes,yes,matched_unique
20,yes,yes,matched_unique
21,yes,yes,matched_unique
22,yes,yes,matched_unique
23,yes,yes,matched_unique
24,yes,yes,matched_unique
25,yes,yes,matched_unique
26,yes,yes,matched_unique
27,yes,yes,matched_unique
28,yes,yes,matched_unique
29,yes,yes,matched_unique
30,yes,yes,matched_unique
31,yes,yes,matched_unique
32,yes,yes,matched_unique
33,yes,yes,matched_unique
34,yes,yes,matched_unique
35,yes,yes,matched_unique
36,yes,yes,matched_unique
37,yes,yes,matched_unique
38,yes,yes,matched_unique
39,yes,yes,matched_unique
40,yes,yes,matched_unique
41,yes,yes,matched_unique
42,yes,yes,matched_unique
43,yes,yes,matched_unique
44,yes,yes,matched_unique
45,yes,yes,matched_unique
46,yes,yes,matched_unique
47,yes,yes,matched_unique
48,yes,yes,matched_unique
49,yes,yes,matched_unique
50,yes,yes,matched_unique
51,yes,yes,matched_unique
52,yes,yes,matched_unique
53,yes,yes,matched_unique
54,yes,yes,matched_unique
55,yes,yes,matched_unique
56,yes,yes,matched_unique
57,yes,yes,matched_unique
58,yes,yes,matched_unique
59,yes,yes,matched_unique
60,yes,yes,matched_unique
61,yes,yes,matched_unique
62,yes,yes,matched_unique
63,yes,yes,matched_unique
64,yes,yes,matched_unique
65,yes,yes,matched_unique
66,yes,yes,matched_unique
67,yes,yes,matched_unique
68,yes,yes,matched_unique
69,yes,yes,matched_unique
70,yes,yes,matched_unique
71,yes,yes,matched_unique
72,yes,yes,matched_unique
73,yes,yes,matched_unique
74,yes,yes,matched_unique
75,yes,yes,matched_unique
76,yes,yes,matched_unique
77,yes,yes,matched_unique
78,yes,yes,matched_unique
79,yes,yes,matched_unique
80,yes,yes,matched_unique
81,yes,yes,matched_unique
82,yes,yes,matched_unique
83,yes,yes,matched_unique
84,yes,yes,matched_unique
85,yes,yes,matched_unique
86,yes,yes,matched_unique
87,yes,yes,matched_unique
88,yes,yes,matched_unique
89,yes,yes,matched_unique
90,yes,yes,matched_unique
91,yes,yes,matched_unique
92,yes,yes,matched_unique
93,yes,yes,matched_unique
94,yes,yes,matched_unique
95,yes,yes,matched_unique
96,yes,yes,matched_unique
97,yes,yes,matched_unique
98,yes,yes,matched_unique
99,yes,yes,matched_unique
100,yes,yes,matched_unique
101,yes,yes,matched_unique
102,yes,yes,matched_unique
103,yes,yes,matched_unique
104,yes,yes,matched_unique
105,yes,yes,matched_unique
106,yes,yes,matched_unique
107,yes,yes,matched_unique
108,yes,yes,matched_unique
109,yes,yes,matched_unique
110,yes,yes,matched_unique
111,yes,yes,matched_unique
112,yes,yes,matched_unique
113,yes,yes,matched_unique
114,yes,yes,matched_unique
115,yes,yes,matched_unique
116,yes,yes,matched_unique
117,yes,yes,matched_unique
118,yes,yes,matched_unique
119,yes,yes,matched_unique
120,yes,yes,matched_unique
121,yes,yes,matched_unique
122,yes,yes,matched_unique
123,yes,yes,matched_unique
124,yes,yes,matched_unique
125,yes,yes,matched_unique
126,yes,yes,matched_unique
127,yes,yes,matched_unique
128,yes,yes,matched_unique
129,yes,yes,matched_unique
130,yes,yes,matched_unique
131,yes,yes,matched_unique
132,yes,yes,matched_unique
133,yes,yes,matched_unique
134,yes,yes,matched_unique
135,yes,yes,matched_unique
136,yes,yes,matched_unique
137,yes,yes,matched_unique
138,yes,yes,matched_unique
139,yes,yes,matched_unique
140,yes,yes,matched_unique
141,yes,yes,matched_unique
142,yes,yes,matched_unique
143,yes,yes,matched_unique
144,yes,yes,matched_unique
145,yes,yes,matched_unique
146,yes,yes,matched_unique
147,yes,yes,matched_unique
148,yes,yes,matched_unique
149,yes,yes,matched_unique
150,yes,yes,matched_unique
151,yes,yes,matched_unique
152,yes,yes,matched_unique
153,yes,yes,matched_unique
154,yes,yes,matched_unique
155,yes,yes,matched_unique
156,yes,yes,matched_unique
157,yes,yes,matched_unique
158,yes,yes,matched_unique
159,yes,yes,matched_unique
160,yes,yes,matched_unique
161,yes,yes,matched_unique
162,yes,yes,matched_unique
163,yes,yes,matched_unique
164,yes,yes,matched_unique
165,yes,yes,matched_unique
166,yes,yes,matched_unique
167,yes,yes,matched_unique
168,yes,yes,matched_unique
169,yes,yes,matched_unique
170,yes,yes,matched_unique
171,yes,yes,matched_unique
172,yes,yes,matched_unique
173,yes,yes,matched_unique
174,yes,yes,matched_unique
175,yes,yes,matched_unique
176,yes,yes,matched_unique
177,yes,yes,matched_unique
178,yes,yes,matched_unique
179,yes,yes,matched_unique
180,yes,yes,matched_unique
181,yes,yes,matched_unique
182,yes,yes,matched_unique
183,yes,yes,matched_unique
184,yes,yes,matched_unique
185,yes,yes,matched_unique
186,yes,yes,matched_unique
187,yes,yes,matched_unique
188,yes,yes,matched_unique
189,yes,yes,matched_unique
190,yes,yes,matched_unique
191,yes,yes,matched_unique
192,yes,yes,matched_unique
193,yes,yes,matched_unique
194,yes,yes,matched_unique
195,yes,yes,matched_unique
196,yes,yes,matched_unique
197,yes,yes,matched_unique
198,yes,yes,matched_unique
199,yes,yes,matched_unique
200,yes,yes,matched_unique
201,yes,yes,matched_unique
202,yes,yes,matched_unique
203,yes,yes,matched_unique
204,yes,yes,matched_unique
205,yes,yes,matched_unique
206,yes,yes,matched_unique
207,yes,yes,matched_unique
208,yes,yes,matched_unique
209,yes,yes,matched_unique
210,yes,yes,matched_unique
211,yes,yes,matched_unique
212,yes,yes,matched_unique
213,yes,yes,matched_unique
214,yes,yes,matched_unique
215,yes,yes,matched_unique
216,yes,yes,matched_unique
217,yes,yes,matched_unique
218,yes,yes,matched_unique
219,yes,yes,matched_unique
220,yes,yes,matched_unique
221,yes,yes,matched_unique
222,yes,yes,matched_unique
223,yes,yes,matched_unique
224,yes,yes,matched_unique
225,yes,yes,matched_unique
226,yes,yes,matched_unique
227,yes,yes,matched_unique
228,yes,yes,matched_unique
229,yes,yes,matched_unique
230,yes,yes,matched_unique
231,yes,yes,matched_unique
232,yes,yes,matched_unique
233,yes,yes,matched_unique
234,yes,yes,matched_unique
235,yes,yes,matched_unique
236,yes,yes,matched_unique
237,yes,yes,matched_unique
238,yes,yes,matched_unique
239,yes,yes,matched_unique
240,yes,yes,matched_unique
241,yes,yes,matched_unique
242,yes,yes,matched_unique
243,yes,yes,matched_unique
244,yes,yes,matched_unique
245,yes,yes,matched_unique
246,yes,yes,matched_unique
247,yes,yes,matched_unique
248,yes,yes,matched_unique
249,yes,yes,matched_unique
250,yes,yes,matched_unique
251,yes,yes,matched_unique
252,yes,yes,matched_unique
253,yes,yes,matched_unique
254,yes,yes,matched_unique
255,yes,yes,matched_unique
256,yes,yes,matched_unique
257,yes,yes,matched_unique
258,yes,yes,matched_unique
259,yes,yes,matched_unique
260,yes,yes,matched_unique
261,yes,yes,matched_unique
262,yes,yes,matched_unique
263,yes,yes,matched_unique
264,yes,yes,matched_unique
265,yes,yes,matched_unique
266,yes,yes,matched_unique
267,yes,yes,matched_unique
268,yes,yes,matched_unique
269,yes,yes,matched_unique
270,yes,yes,matched_unique
271,yes,yes,matched_unique
272,yes,yes,matched_unique
273,yes,yes,matched_unique
274,yes,yes,matched_unique
275,yes,yes,matched_unique
276,yes,yes,matched_unique
277,yes,yes,matched_unique
