run_id,model_repo,N_params_B,steps,D_tokens_B,val_loss,checkpoint_branch,checkpoint_commit,checkpoint_index_join_status,p_recipe_candidate_id,p_recipe_candidate_semantics,p_recipe_candidate_arxiv,p_recipe_candidate_freelaw,p_recipe_candidate_nih_exporter,p_recipe_candidate_pubmed_central,p_recipe_candidate_wikipedia_en,p_recipe_candidate_dm_mathematics,p_recipe_candidate_github,p_recipe_candidate_philpapers,p_recipe_candidate_stackexchange,p_recipe_candidate_enron_emails,p_recipe_candidate_gutenberg_pg_19,p_recipe_candidate_pile_cc,p_recipe_candidate_ubuntu_irc,p_recipe_candidate_europarl,p_recipe_candidate_hackernews,p_recipe_candidate_pubmed_abstracts,p_recipe_candidate_uspto_backgrounds,p_recipe_candidate_other
8,EleutherAI/pythia-70m,0.070542,64,0.134,4.7388,step64,da06e97c1e155237b6296b223be599cbe95ad100,matched_unique,published_pile_component_weights_v1,"published Pile component weights; static corpus-level candidate, not measured token exposure",0.089600,0.061200,0.003000,0.144000,0.015300,0.012400,0.075900,0.003800,0.051300,0.001400,0.021700,0.181100,0.008800,0.007300,0.006200,0.030700,0.036500,0.249800
9,EleutherAI/pythia-70m,0.070542,128,0.268,4.3541,step128,190bf8d97191a06f07ab8cd27f5fbbe8465318be,matched_unique,published_pile_component_weights_v1,"published Pile component weights; static corpus-level candidate, not measured token exposure",0.089600,0.061200,0.003000,0.144000,0.015300,0.012400,0.075900,0.003800,0.051300,0.001400,0.021700,0.181100,0.008800,0.007300,0.006200,0.030700,0.036500,0.249800
10,EleutherAI/pythia-70m,0.070542,256,0.537,4.0384,step256,24103a01f40aa96f0b3b9b4b29156b006e47b978,matched_unique,published_pile_component_weights_v1,"published Pile component weights; static corpus-level candidate, not measured token exposure",0.089600,0.061200,0.003000,0.144000,0.015300,0.012400,0.075900,0.003800,0.051300,0.001400,0.021700,0.181100,0.008800,0.007300,0.006200,0.030700,0.036500,0.249800
11,EleutherAI/pythia-70m,0.070542,512,1.074,3.7776,step512,8c6e2534e332a9122404629fdb4bac11bf68689c,matched_unique,published_pile_component_weights_v1,"published Pile component weights; static corpus-level candidate, not measured token exposure",0.089600,0.061200,0.003000,0.144000,0.015300,0.012400,0.075900,0.003800,0.051300,0.001400,0.021700,0.181100,0.008800,0.007300,0.006200,0.030700,0.036500,0.249800
12,EleutherAI/pythia-70m,0.070542,1000,2.097,3.5698,step1000,0fa739a8417c3c7d2a98ed3b283cacec67fd61df,matched_unique,published_pile_component_weights_v1,"published Pile component weights; static corpus-level candidate, not measured token exposure",0.089600,0.061200,0.003000,0.144000,0.015300,0.012400,0.075900,0.003800,0.051300,0.001400,0.021700,0.181100,0.008800,0.007300,0.006200,0.030700,0.036500,0.249800
13,EleutherAI/pythia-70m,0.070542,2000,4.194,3.3922,step2000,978373d6e469beb1131434e60a4c3cad051620a2,matched_unique,published_pile_component_weights_v1,"published Pile component weights; static corpus-level candidate, not measured token exposure",0.089600,0.061200,0.003000,0.144000,0.015300,0.012400,0.075900,0.003800,0.051300,0.001400,0.021700,0.181100,0.008800,0.007300,0.006200,0.030700,0.036500,0.249800
14,EleutherAI/pythia-70m,0.070542,3000,6.291,3.3024,step3000,58dcbb5909a770307c4e857ba0d74e2343cbf406,matched_unique,published_pile_component_weights_v1,"published Pile component weights; static corpus-level candidate, not measured token exposure",0.089600,0.061200,0.003000,0.144000,0.015300,0.012400,0.075900,0.003800,0.051300,0.001400,0.021700,0.181100,0.008800,0.007300,0.006200,0.030700,0.036500,0.249800
15,EleutherAI/pythia-70m,0.070542,4000,8.389,3.2452,step4000,904ea85340922718b8b68c56f9ee1fef30bb313a,matched_unique,published_pile_component_weights_v1,"published Pile component weights; static corpus-level candidate, not measured token exposure",0.089600,0.061200,0.003000,0.144000,0.015300,0.012400,0.075900,0.003800,0.051300,0.001400,0.021700,0.181100,0.008800,0.007300,0.006200,0.030700,0.036500,0.249800
16,EleutherAI/pythia-70m,0.070542,5000,10.486,3.2041,step5000,2f69798a4abf59cd96e3a9febde87d6be7fbe953,matched_unique,published_pile_component_weights_v1,"published Pile component weights; static corpus-level candidate, not measured token exposure",0.089600,0.061200,0.003000,0.144000,0.015300,0.012400,0.075900,0.003800,0.051300,0.001400,0.021700,0.181100,0.008800,0.007300,0.006200,0.030700,0.036500,0.249800
17,EleutherAI/pythia-70m,0.070542,6000,12.583,3.172,step6000,08a3606688c762aa0baaf9eba5335e3cb26ea244,matched_unique,published_pile_component_weights_v1,"published Pile component weights; static corpus-level candidate, not measured token exposure",0.089600,0.061200,0.003000,0.144000,0.015300,0.012400,0.075900,0.003800,0.051300,0.001400,0.021700,0.181100,0.008800,0.007300,0.006200,0.030700,0.036500,0.249800
