replicate,rmse,mae,r2
1,0.0001596888435598379,0.00011660351842542361,0.9999998160592569
2,0.00015437669007793692,0.00011092308863503782,0.9999998304107197
3,0.00013806429350961022,0.00010233032582354621,0.9999997742831412
4,0.0001364032313631794,9.496307350620761e-05,0.9999997919268899
5,0.00017396873714911734,0.00012654877948771204,0.9999997493078824
6,0.00017893182584374423,0.00013247716880177688,0.999999734823632
7,0.00015163000884785258,0.0001073338053015232,0.9999998256046128
8,0.00015213969382730182,0.00010648299386711819,0.9999997773149439
9,0.00014168806635082962,9.99979903932623e-05,0.9999998496755034
10,0.00013460017301942026,9.314352836484847e-05,0.9999997932222108
11,0.00013872227407673272,9.99761365220096e-05,0.9999997788047758
12,0.0001639443185367443,0.0001191149655932621,0.9999997636404807
13,0.00016017796835100443,0.0001147685030309655,0.9999997978732408
14,0.00014153953331951487,0.00010327018737370458,0.9999997580429466
15,0.00015541741355447236,0.00011224671472903889,0.9999997782207708
16,0.00017662290149259518,0.00012952434299786698,0.9999997686500217
17,0.00014637427247023,0.00010401281542823239,0.9999997478251004
18,0.00014385305925340372,0.00010015231771131831,0.9999997983616976
19,0.0001627149923132009,0.000121226812668195,0.9999997557697213
20,0.00013106065400297199,9.1862441766905e-05,0.9999998029196521
21,0.00017015130699060593,0.00012364883431394786,0.9999998007635075
22,0.00016262896311928263,0.00011707834992260738,0.9999997910971794
23,0.00012709421325909583,9.418825581452561e-05,0.9999997912696235
24,0.00014779202302293935,0.00010440985165440907,0.9999997980674337
25,0.00017926505761255905,0.00013080542959581045,0.9999997579081302
26,0.00014309395485203035,9.892577152466152e-05,0.9999998255326327
27,0.0001415333095162502,0.0001067756712070242,0.999999756849851
28,0.00018904476236098893,0.00014006005939872448,0.999999717755567
29,0.0001516430387429909,0.00011101723799413622,0.9999997910643028
30,0.00014406769053202642,0.00010326930353871225,0.9999997951265011
31,0.00014759754397648372,0.00010364271822365154,0.9999998095078724
32,0.0001564954889785138,0.00011706342808420265,0.9999997058682547
33,0.00015752687675172277,0.0001146847035307705,0.9999997843307568
34,0.00017158118259316958,0.00012546837945530702,0.9999997772657216
35,0.0001552053649852942,0.00011100215467314982,0.9999997973205721
36,0.00013660020641236982,9.62690524124934e-05,0.9999998278225548
37,0.00016244637647774076,0.00011307314228376168,0.9999997910337991
38,0.00015432614868298008,0.0001139700637980461,0.9999997644202031
39,0.00016345315865884947,0.00011860012859108381,0.9999997950565659
40,0.0001637379329143085,0.00012137588937069265,0.9999997687066885
41,0.00013653561048257757,9.859923324068003e-05,0.9999997357475126
42,0.0001538934139176123,0.00010943056905546973,0.9999998274973741
43,0.0001425662601505338,0.00010093873577841302,0.999999821503529
44,0.00013728849396357342,9.671007399211803e-05,0.9999997519538849
45,0.00016611878227960165,0.00011676422936163336,0.9999998026498159
46,0.00015133868111853778,0.00010444204129156327,0.999999809065805
47,0.00016058146608233066,0.00011562456508092887,0.9999997711533238
48,0.00014185047454735107,9.941839334225674e-05,0.9999997052807007
49,0.00013850225093134508,9.715310278426017e-05,0.9999997717040059
50,0.00017428339095722792,0.00012657151719395709,0.9999997949374411
51,0.0001590702733027502,0.00011650424867212964,0.9999997581686003
52,0.0001628926453408658,0.00012066036580297591,0.9999997856685513
53,0.00015054919119755433,0.00010637847349826585,0.9999998011199311
54,0.00015952590285460462,0.00011179205568581821,0.9999997997468267
55,0.0001550004733278791,0.00011139065267907552,0.9999998044994679
56,0.0001593137934271539,0.00011405297946324876,0.99999980913414
57,0.00013703149433731956,9.980379533472133e-05,0.9999998263541512
58,0.000151131197312283,0.00010512449138713345,0.9999998135180922
59,0.00012734401294250296,9.379975780859993e-05,0.9999997731996318
60,0.00016937172773926718,0.00012025462987396657,0.9999997974254712
61,0.00012815403335023805,9.220455064968243e-05,0.9999997715280345
62,0.00015671609939006535,0.00011110015365933888,0.9999998258612667
63,0.00012935119953198787,9.287280125925857e-05,0.9999997403853162
64,0.0001429016336827057,0.00010050296481434675,0.999999803997816
65,0.0001364032313631794,9.496307350620761e-05,0.9999997919268899
66,0.00016556729343879413,0.00011882446657352546,0.9999997967301802
67,0.0001424422974978786,9.759652813358512e-05,0.9999998446968879
68,0.00016129572062359833,0.00011017612765824339,0.9999998312436965
69,0.0001557878836750308,0.00011244740129457734,0.9999997942540633
70,0.0001480876235983846,0.00010700766357472451,0.9999998206379678
71,0.00017533959259662674,0.00013006280154128266,0.9999997435480749
72,0.00014194664651676615,9.791501547512516e-05,0.9999998050401483
73,0.0001509460199924671,0.0001089290124604407,0.999999812849453
74,0.000143746415958394,0.00010477124517352369,0.9999998032842647
75,0.00013392194142165621,9.549771766638507e-05,0.9999997953932975
76,0.0001442871395631404,9.86585273646453e-05,0.9999997572355745
77,0.0001795137456138702,0.00012989775768280627,0.9999997812268677
78,0.00014309772989870554,0.00010344200178244728,0.9999998311979383
79,0.000172096804106842,0.0001232301933841215,0.9999998125186698
80,0.00013361288396919005,9.530518238898504e-05,0.9999997566033596
81,0.0001378462196672475,9.822913603609919e-05,0.9999998104439028
82,0.00015941986230261988,0.00011302150254505508,0.9999998181867029
83,0.00013613412215605016,9.704604842434475e-05,0.9999998457614042
84,0.00013728499470736172,0.00010050950991508215,0.9999997605414606
85,0.00013567942223440327,9.081207676955691e-05,0.9999998412085898
86,0.00015036600537359326,0.00011027897672017444,0.9999997425545607
87,0.0001551007612245126,0.00010682714946314916,0.9999997997226443
88,0.0001606816325429743,0.00011557729212278829,0.9999997658188159
89,0.0001480876235983846,0.00010700766357472451,0.9999998206379678
90,0.00015432614868298008,0.0001139700637980461,0.9999997644202031
91,0.00014983034094297795,0.00010976413971799615,0.9999997799311924
92,0.00013405378327738848,9.883992531121298e-05,0.9999997541530711
93,0.000142164156016994,0.00010103200130251908,0.9999998030651509
94,0.00015439557813026194,0.00010554517903021334,0.9999998290076652
95,0.0001625128312128251,0.00011442639414818806,0.9999998188750112
96,0.00015451344714937057,0.00011340361693282702,0.9999997945630471
97,0.00012968776200512344,9.124833501143274e-05,0.9999997674533009
98,0.00015759451950160688,0.0001118156772270556,0.999999816694158
99,0.0001689261400005909,0.0001222675941277181,0.9999997857518782
100,0.00014962941623000562,0.00010566294993054913,0.9999998117857721
101,0.0001607301754767086,0.00011253031695977999,0.9999998272689427
102,0.00014022027221390505,0.00010066712483783079,0.9999998168633958
103,0.00012406287538252098,8.716349931207703e-05,0.9999998208428198
