target,reference_recipe,step_per_transfer,first_from_domain,first_to_domain,second_from_domain,second_to_domain,first_individual_delta_loss,second_individual_delta_loss,interaction_delta_loss,bootstrap_ci95_lower,bootstrap_ci95_upper,bootstrap_maxT95_simultaneous_lower,bootstrap_maxT95_simultaneous_upper,bootstrap_probability_interaction_negative,pointwise_label_unadjusted,maxT_label_conditional_candidate_set
metric/the_pile_arxiv_val_loss,A4/A5 arithmetic mean closed composition,0.1,train_the_pile_pubmed_central,train_the_pile_arxiv,train_the_pile_github,train_the_pile_arxiv,-0.3753274130834239,-0.4311898212301406,0.09709731948820587,0.06685570031565335,0.13068212285903746,-0.012429433625237643,0.2066240726016494,0.0,pointwise_diminishing_returns,familywise_interval_crosses_zero
metric/the_pile_arxiv_val_loss,A4/A5 arithmetic mean closed composition,0.1,train_the_pile_pubmed_central,train_the_pile_arxiv,train_the_pile_github,train_the_pile_pubmed_central,-0.3753274130834239,-0.06531988637607355,0.009457478229356454,-0.018841796817514432,0.04945426851776203,-0.10416149406577878,0.12307645052449169,0.278,pointwise_interval_crosses_zero,familywise_interval_crosses_zero
metric/the_pile_arxiv_val_loss,A4/A5 arithmetic mean closed composition,0.1,train_the_pile_pubmed_central,train_the_pile_arxiv,train_the_pile_github,train_the_pile_dm_mathematics,-0.3753274130834239,-0.0016606877579370405,0.00437701913195487,-0.09146800802527487,0.06282368751047841,-0.24944392828906103,0.2581979665529708,0.498,pointwise_interval_crosses_zero,familywise_interval_crosses_zero
metric/the_pile_arxiv_val_loss,A4/A5 arithmetic mean closed composition,0.1,train_the_pile_pubmed_central,train_the_pile_arxiv,train_the_pile_github,train_the_pile_philpapers,-0.3753274130834239,-0.12513601727029044,-0.0036003427097438343,-0.18589922035757192,0.13472278218260608,-0.5692952979364152,0.5620946125169275,0.556,pointwise_interval_crosses_zero,familywise_interval_crosses_zero
metric/the_pile_arxiv_val_loss,A4/A5 arithmetic mean closed composition,0.1,train_the_pile_pubmed_central,train_the_pile_arxiv,train_the_pile_github,train_the_pile_stackexchange,-0.3753274130834239,-0.1675752678407143,0.04576959132564125,0.015772509581715232,0.08295067886513563,-0.06959683964302951,0.161136022294312,0.0,pointwise_diminishing_returns,familywise_interval_crosses_zero
metric/the_pile_arxiv_val_loss,A4/A5 arithmetic mean closed composition,0.1,train_the_pile_pubmed_central,train_the_pile_arxiv,train_the_pile_github,train_the_pile_gutenberg_pg_19,-0.3753274130834239,-0.020677383518605374,0.022962870828715384,-0.02463992034732037,0.06323636972002139,-0.1357108397861781,0.18163658144360884,0.192,pointwise_interval_crosses_zero,familywise_interval_crosses_zero
metric/the_pile_arxiv_val_loss,A4/A5 arithmetic mean closed composition,0.1,train_the_pile_pubmed_central,train_the_pile_arxiv,train_the_pile_github,train_the_pile_ubuntu_irc,-0.3753274130834239,-0.02351963811240676,-0.013461760124279215,-0.07428554192678252,0.06335980249782448,-0.23857159806457315,0.21164807781601472,0.598,pointwise_interval_crosses_zero,familywise_interval_crosses_zero
metric/the_pile_arxiv_val_loss,A4/A5 arithmetic mean closed composition,0.1,train_the_pile_pubmed_central,train_the_pile_arxiv,train_the_pile_github,train_the_pile_europarl,-0.3753274130834239,-0.1052001531568969,0.05977622845089809,-0.042517840498204604,0.17243615773938845,-0.292636148187008,0.41218860508880417,0.094,pointwise_interval_crosses_zero,familywise_interval_crosses_zero
metric/the_pile_arxiv_val_loss,A4/A5 arithmetic mean closed composition,0.1,train_the_pile_pubmed_central,train_the_pile_arxiv,train_the_pile_pile_cc,train_the_pile_arxiv,-0.3753274130834239,-0.4604709871793462,0.10426360524158856,0.07616231001953025,0.1343556810125305,0.00971639851230155,0.19881081197087558,0.0,pointwise_diminishing_returns,familywise_diminishing_returns
metric/the_pile_arxiv_val_loss,A4/A5 arithmetic mean closed composition,0.1,train_the_pile_pubmed_central,train_the_pile_arxiv,train_the_pile_pile_cc,train_the_pile_pubmed_central,-0.3753274130834239,-0.10176733807866256,0.016623763982739154,-0.008838520402718847,0.04888533109249641,-0.07577266943906942,0.10902019740454773,0.092,pointwise_interval_crosses_zero,familywise_interval_crosses_zero
metric/the_pile_arxiv_val_loss,A4/A5 arithmetic mean closed composition,0.1,train_the_pile_pubmed_central,train_the_pile_arxiv,train_the_pile_pile_cc,train_the_pile_wikipedia_en,-0.3753274130834239,-0.028532854743363423,0.02723285852617927,-0.007113136987548535,0.0664041172921777,-0.08642198524958146,0.14088770230194,0.048,pointwise_interval_crosses_zero,familywise_interval_crosses_zero
metric/the_pile_arxiv_val_loss,A4/A5 arithmetic mean closed composition,0.1,train_the_pile_pubmed_central,train_the_pile_arxiv,train_the_pile_pile_cc,train_the_pile_dm_mathematics,-0.3753274130834239,-0.08031087760739641,0.011543304885337568,-0.08609601974009197,0.06313136706312258,-0.22985560746573688,0.252942217236412,0.418,pointwise_interval_crosses_zero,familywise_interval_crosses_zero
metric/the_pile_arxiv_val_loss,A4/A5 arithmetic mean closed composition,0.1,train_the_pile_pubmed_central,train_the_pile_arxiv,train_the_pile_pile_cc,train_the_pile_github,-0.3753274130834239,-0.031088669505892952,0.007166285753382699,-0.03734446745081239,0.04795853480169803,-0.13315427348382047,0.1474868449905859,0.344,pointwise_interval_crosses_zero,familywise_interval_crosses_zero
metric/the_pile_arxiv_val_loss,A4/A5 arithmetic mean closed composition,0.1,train_the_pile_pubmed_central,train_the_pile_arxiv,train_the_pile_pile_cc,train_the_pile_philpapers,-0.3753274130834239,-0.15898256086336637,0.0035659430436388623,-0.17964911045470655,0.15231117556178933,-0.5628198399276952,0.569951726014973,0.524,pointwise_interval_crosses_zero,familywise_interval_crosses_zero
metric/the_pile_arxiv_val_loss,A4/A5 arithmetic mean closed composition,0.1,train_the_pile_pubmed_central,train_the_pile_arxiv,train_the_pile_pile_cc,train_the_pile_stackexchange,-0.3753274130834239,-0.18708294078673582,0.05293587707902395,0.026630897345775346,0.08594827812430408,-0.045606122885364926,0.15147787704341284,0.0,pointwise_diminishing_returns,familywise_interval_crosses_zero
