family,N_params_B,D_tokens_B,val_loss,is_converged,M0_predicted_loss,M0_parameter_bootstrap_p025,M0_parameter_bootstrap_p975,estimated_minus_M0_loss,model_name,FLOPs,publication_date,accessibility
Ling-flash-base-2.0-20T,100.0,20000.0,1.8412,1,1.8413451361641318,1.8412726753621513,1.8414312507989072,-0.0001451361641318094,Ling-flash-base-2.0-20T,7.32e+23,2025-09-10,Open weights (unrestricted)
FaXin,100.0,3670.0,1.8882,1,1.8884596905546003,1.8883839816607795,1.888527426270162,-0.0002596905546001782,FaXin,,2024-11-15,
PLaMo-100B,100.0,2000.0,1.9112,1,1.9115516776503292,1.911478976049913,1.911612912814256,-0.0003516776503291741,PLaMo-100B,1.2e+24,2024-06-14,API access
Yi-Large,100.0,3000.0,1.8954,1,1.8956970512681786,1.895621956823499,1.895762526939113,-0.00029705126817858307,Yi-Large,1.8e+24,2024-05-13,API access
Hunyuan,100.0,2000.0,1.9112,1,1.9115516776503292,1.911478976049913,1.911612912814256,-0.0003516776503291741,Hunyuan,1.2e+24,2023-09-07,API access
Luca 2.0,100.0,2000.0,1.9112,1,1.9115516776503292,1.911478976049913,1.911612912814256,-0.0003516776503291741,Luca 2.0,1.2e+24,2023-08-29,Hosted access (no API)
xTrimoPGLM -100B,100.0,275.0,2.0206,1,2.0212836170198862,2.0212192309431276,2.0213357758303885,-0.0006836170198862845,xTrimoPGLM -100B,6.2e+23,2023-07-06,Unreleased
YaLM,100.0,300.0,2.0144,1,2.0150880584342303,2.0150227188023098,2.0151403028131005,-0.0006880584342301432,YaLM,2.2e+23,2022-06-23,Open weights (unrestricted)
FLM-101B,101.0,311.5,2.0116,1,2.0122061567029745,2.0121403124609794,2.0122582947951217,-0.0006061567029744808,FLM-101B,5.72e+22,2023-09-07,Open weights (unrestricted)
"Solar Open 100B
",102.0,19700.0,1.841,1,1.8411777126196318,1.8411049200494636,1.841263639113128,-0.00017771261963184237,"Solar Open 100B
",,2025-12-31,API access
Odyssey 102B,102.0,179.7,2.0526,1,2.0533543785924495,2.0532900626929553,2.053406681588018,-0.0007543785924495339,Odyssey 102B,1.1e+23,2025-10-18,Unreleased
Yuan 2.0,102.6,289.1,2.0164,1,2.017062236308364,2.0169970617471566,2.0171147979876114,-0.0006622363083641503,Yuan 2.0,1.78e+23,2023-11-27,Open weights (restricted use)
InternLM,104.0,1600.0,1.9197,1,1.9200961545656998,1.9200244076721722,1.9201583123235384,-0.00039615456569985774,InternLM,9.984e+23,2023-07-06,Unreleased
Ring-flash-linear-2.0,104.2,1000.0,1.9417,1,1.9421648353455778,1.942090299426447,1.9422219906030267,-0.0004648353455778409,Ring-flash-linear-2.0,7.686e+23,2025-10-23,Open weights (unrestricted)
GLM-4.5-Air,106.0,2603.8,1.8993,1,1.8995814240794282,1.8995064766199188,1.899645738144464,-0.00028142407942821634,GLM-4.5-Air,1.656e+24,2025-08-05,Open weights (unrestricted)
GLM-4.5V,108.0,2013.3,1.909,1,1.9093675883817869,1.9092939672651321,1.9094305684290196,-0.00036758838178685416,GLM-4.5V,1.8e+24,2025-08-15,Open weights (unrestricted)
Llama 4 Scout,109.0,30000.0,1.8308,1,1.830886558021271,1.8308106625877418,1.8309775514150246,-8.655802127099932e-05,Llama 4 Scout,4.08e+24,2025-04-05,Open weights (restricted use)
Telechat2-115B,115.0,10000.0,1.8543,1,1.85452266797082,1.854449197127298,1.8546037513045277,-0.00022266797081993417,Telechat2-115B,6.9e+24,2024-09-20,Open weights (restricted use)
