replicate,sampled_cluster_sequence,E,A,alpha,B,beta,sse
1,EleutherAI/pythia-1.4b;EleutherAI/pythia-70m;EleutherAI/pythia-70m;EleutherAI/pythia-2.8b;EleutherAI/pythia-70m;EleutherAI/pythia-6.9b;EleutherAI/pythia-6.9b;EleutherAI/pythia-12b,1.6899507082009637,0.35396488573368473,0.33998313842118244,1.2401256985653204,0.27993875811981606,2.8973861555233286e-05
2,EleutherAI/pythia-2.8b;EleutherAI/pythia-160m;EleutherAI/pythia-160m;EleutherAI/pythia-70m;EleutherAI/pythia-70m;EleutherAI/pythia-1.4b;EleutherAI/pythia-70m;EleutherAI/pythia-12b,1.6898281919664053,0.3540532489262855,0.33991978846410337,1.2402302507003529,0.2799223033584322,3.307681220057798e-05
3,EleutherAI/pythia-160m;EleutherAI/pythia-160m;EleutherAI/pythia-6.9b;EleutherAI/pythia-6.9b;EleutherAI/pythia-6.9b;EleutherAI/pythia-410m;EleutherAI/pythia-70m;EleutherAI/pythia-12b,1.6897766617537495,0.3540421905458356,0.339931273451528,1.2402907985385143,0.27989461034482277,2.748543411128464e-05
4,EleutherAI/pythia-410m;EleutherAI/pythia-70m;EleutherAI/pythia-6.9b;EleutherAI/pythia-1b;EleutherAI/pythia-70m;EleutherAI/pythia-410m;EleutherAI/pythia-160m;EleutherAI/pythia-6.9b,1.689793568494088,0.3540158710022895,0.3399517991126506,1.2402456309055794,0.2798878537489763,3.076570192016492e-05
5,EleutherAI/pythia-6.9b;EleutherAI/pythia-6.9b;EleutherAI/pythia-1.4b;EleutherAI/pythia-1.4b;EleutherAI/pythia-70m;EleutherAI/pythia-160m;EleutherAI/pythia-1b;EleutherAI/pythia-70m,1.6898702392827059,0.3540151975968894,0.33995308710260047,1.2401802745462223,0.27992812897061253,3.00732726128724e-05
6,EleutherAI/pythia-12b;EleutherAI/pythia-70m;EleutherAI/pythia-1b;EleutherAI/pythia-410m;EleutherAI/pythia-6.9b;EleutherAI/pythia-1b;EleutherAI/pythia-1.4b;EleutherAI/pythia-1b,1.6898020699667688,0.353935894861984,0.3400061395022379,1.2402918259827849,0.27985589469506816,2.479864012190852e-05
7,EleutherAI/pythia-12b;EleutherAI/pythia-70m;EleutherAI/pythia-1.4b;EleutherAI/pythia-1.4b;EleutherAI/pythia-2.8b;EleutherAI/pythia-410m;EleutherAI/pythia-1.4b;EleutherAI/pythia-160m,1.6898592062818736,0.35397967690981136,0.3399765574353985,1.240286761266834,0.2799161227816333,2.3655301830475364e-05
8,EleutherAI/pythia-160m;EleutherAI/pythia-2.8b;EleutherAI/pythia-1b;EleutherAI/pythia-1b;EleutherAI/pythia-70m;EleutherAI/pythia-70m;EleutherAI/pythia-12b;EleutherAI/pythia-1b,1.689780981453334,0.3539514504830955,0.3399958697474439,1.2402970550974695,0.279848818501934,2.965763156720719e-05
9,EleutherAI/pythia-12b;EleutherAI/pythia-1b;EleutherAI/pythia-12b;EleutherAI/pythia-160m;EleutherAI/pythia-1.4b;EleutherAI/pythia-6.9b;EleutherAI/pythia-12b;EleutherAI/pythia-2.8b,1.6898370694608749,0.35389255180588697,0.3400660393362935,1.24036923272113,0.27986372084554556,1.9248916465328614e-05
10,EleutherAI/pythia-12b;EleutherAI/pythia-160m;EleutherAI/pythia-6.9b;EleutherAI/pythia-1b;EleutherAI/pythia-6.9b;EleutherAI/pythia-160m;EleutherAI/pythia-160m;EleutherAI/pythia-160m,1.689845176428066,0.3538523880558859,0.34010494851609724,1.2404160576097922,0.279858965957665,2.8263514702679197e-05
11,EleutherAI/pythia-70m;EleutherAI/pythia-160m;EleutherAI/pythia-160m;EleutherAI/pythia-1b;EleutherAI/pythia-410m;EleutherAI/pythia-160m;EleutherAI/pythia-1b;EleutherAI/pythia-2.8b,1.689619168429165,0.3540767295223218,0.3399172184366689,1.2403980867891695,0.2798402902611837,3.107316096452459e-05
12,EleutherAI/pythia-6.9b;EleutherAI/pythia-2.8b;EleutherAI/pythia-1b;EleutherAI/pythia-6.9b;EleutherAI/pythia-160m;EleutherAI/pythia-1b;EleutherAI/pythia-160m;EleutherAI/pythia-1.4b,1.6898425220301134,0.353886121035364,0.3400733878531557,1.2403406640227665,0.2798589074367059,2.5346637473638625e-05
13,EleutherAI/pythia-1.4b;EleutherAI/pythia-12b;EleutherAI/pythia-70m;EleutherAI/pythia-70m;EleutherAI/pythia-1b;EleutherAI/pythia-12b;EleutherAI/pythia-2.8b;EleutherAI/pythia-410m,1.6898586124302892,0.35394047777941384,0.3399995447554392,1.2402636701358905,0.27988789239286155,2.5368899062834518e-05
