start_id,success,optimizer_status,message,cost_sse,nfev,optimality,E,A,alpha,B,beta
0,True,2,`ftol` termination condition is satisfied.,2.5238258731567652e-05,22,7.798008666757791e-09,1.689797562821263,0.35398032059203133,0.3399765819501139,1.2403055837484889,0.2798781284716585
1,True,2,`ftol` termination condition is satisfied.,2.5238258731567612e-05,15,2.3904728457014393e-10,1.6897975629192925,0.353980320669082,0.3399765818935077,1.2403055835469525,0.27987812854526434
2,True,2,`ftol` termination condition is satisfied.,2.5238258731566626e-05,15,1.6577688475405914e-10,1.6897975629156006,0.35398032066317775,0.339976581897886,1.2403055835590096,0.27987812854163024
3,True,3,`xtol` termination condition is satisfied.,2.5238258731565094e-05,14,2.663632196194613e-10,1.6897975629259574,0.3539803206618447,0.3399765818987786,1.2403055835464765,0.2798781285453037
4,True,4,Both `ftol` and `xtol` termination conditions are satisfied.,2.5238258731568672e-05,22,2.4733287466716103e-11,1.689797562923628,0.3539803206643581,0.3399765818969916,1.2403055835465315,0.27987812854527205
5,True,3,`xtol` termination condition is satisfied.,2.5238258731565223e-05,15,3.6239898415768905e-10,1.6897975629660025,0.3539803206372111,0.33997658191704816,1.240305583524584,0.2798781285534082
6,True,3,`xtol` termination condition is satisfied.,2.523825873156742e-05,20,9.977304831356885e-11,1.6897975629166306,0.3539803206624773,0.33997658189835034,1.2403055835581944,0.27987812854171407
7,True,3,`xtol` termination condition is satisfied.,2.5238258731563194e-05,14,2.0078707532787344e-10,1.689797562928721,0.353980320664689,0.33997658189675806,1.240305583540225,0.27987812854769506
8,True,2,`ftol` termination condition is satisfied.,2.5238258731567412e-05,21,7.157612957192638e-11,1.6897975629118935,0.35398032067647656,0.3399765818880548,1.24030558354752,0.27987812854482597
9,True,4,Both `ftol` and `xtol` termination conditions are satisfied.,2.523825873156589e-05,22,1.1260079582299473e-10,1.6897975629245554,0.35398032066249535,0.33997658189835706,1.2403055835477534,0.2798781285449986
10,True,2,`ftol` termination condition is satisfied.,2.5238258731569336e-05,15,2.0146325168009238e-10,1.6897975629162507,0.353980320666485,0.3399765818952659,1.240305583553805,0.27987812854300037
11,True,2,`ftol` termination condition is satisfied.,2.523825873156819e-05,9,2.8792996497189494e-10,1.6897975629263144,0.353980320659873,0.33997658190034197,1.2403055835490306,0.2798781285448447
12,True,4,Both `ftol` and `xtol` termination conditions are satisfied.,2.5238258731563912e-05,20,1.6905293858415624e-10,1.6897975629418238,0.353980320653904,0.3399765819045965,1.240305583535621,0.27987812854918026
13,True,4,Both `ftol` and `xtol` termination conditions are satisfied.,2.5238258731564715e-05,20,9.716576866792999e-11,1.6897975629234325,0.3539803206611516,0.339976581899138,1.2403055835502796,0.2798781285438897
14,True,3,`xtol` termination condition is satisfied.,2.523825873156729e-05,15,3.2519371898531886e-10,1.6897975629224535,0.35398032066045326,0.33997658189962726,1.2403055835519472,0.27987812854308547
15,True,2,`ftol` termination condition is satisfied.,2.5238258731564485e-05,14,1.1630958239365317e-10,1.689797562914406,0.35398032066957286,0.339976581893135,1.2403055835523291,0.2798781285433488
16,True,2,`ftol` termination condition is satisfied.,2.523825873156759e-05,20,1.5240586765698227e-10,1.6897975629216855,0.35398032066542534,0.3399765818960829,1.2403055835481083,0.2798781285448911
17,True,3,`xtol` termination condition is satisfied.,2.5238258731567903e-05,18,6.80405537467621e-10,1.6897975629605015,0.3539803206329235,0.33997658191988844,1.240305583536195,0.2798781285493193
18,True,4,Both `ftol` and `xtol` termination conditions are satisfied.,2.523825873156885e-05,19,1.1792009160637744e-09,1.6897975630953481,0.35398032060463763,0.3399765819405631,1.2403055834003578,0.27987812859662137
19,True,3,`xtol` termination condition is satisfied.,2.52382587315671e-05,13,2.03072659592821e-10,1.6897975629284103,0.3539803206706537,0.33997658189235536,1.240305583534435,0.27987812854997035
20,True,4,Both `ftol` and `xtol` termination conditions are satisfied.,2.523825873156783e-05,23,1.14825068817037e-10,1.689797562902921,0.3539803206757398,0.3399765818887244,1.2403055835606414,0.27987812854095323
21,True,2,`ftol` termination condition is satisfied.,2.5238258731566236e-05,22,2.346913809218823e-10,1.6897975629287307,0.3539803206577268,0.3399765819017569,1.2403055835476087,0.27987812854487876
22,True,4,Both `ftol` and `xtol` termination conditions are satisfied.,2.523825873156669e-05,14,7.692111538072293e-11,1.6897975629178672,0.3539803206704798,0.3399765818924661,1.240305583546889,0.279878128545155
23,True,4,Both `ftol` and `xtol` termination conditions are satisfied.,2.5238258731570485e-05,11,1.383078124160796e-10,1.6897975629318784,0.3539803206613586,0.3399765818992443,1.2403055835401988,0.27987812854776667
