source_csv_row,model_name,max_position_embeddings,context_to_critical_ratio,above_critical_length
2,EleutherAI/pythia-70m,2048,0.0682666667,false
3,EleutherAI/pythia-160m,2048,0.0682666667,false
4,EleutherAI/pythia-410m,2048,0.0682666667,false
5,EleutherAI/pythia-1b,2048,0.0682666667,false
6,EleutherAI/pythia-1.4b,2048,0.0682666667,false
7,EleutherAI/pythia-2.8b,2048,0.0682666667,false
8,EleutherAI/pythia-6.9b,2048,0.0682666667,false
9,EleutherAI/pythia-12b,2048,0.0682666667,false
10,meta-llama/Llama-2-7b-hf,4096,0.1365333333,false
11,meta-llama/Llama-2-13b-hf,4096,0.1365333333,false
12,meta-llama/Llama-2-70b-hf,4096,0.1365333333,false
13,meta-llama/Meta-Llama-3-8B,8192,0.2730666667,false
14,meta-llama/Meta-Llama-3-70B,8192,0.2730666667,false
15,meta-llama/Llama-3.1-8B,131072,4.3690666667,true
16,mistralai/Mistral-7B-v0.1,32768,1.0922666667,true
17,mistralai/Mixtral-8x7B-v0.1,32768,1.0922666667,true
18,Qwen/Qwen2-0.5B,32768,1.0922666667,true
19,Qwen/Qwen2-1.5B,32768,1.0922666667,true
20,Qwen/Qwen2-7B,32768,1.0922666667,true
21,Qwen/Qwen2.5-0.5B,32768,1.0922666667,true
22,Qwen/Qwen2.5-1.5B,32768,1.0922666667,true
23,Qwen/Qwen2.5-7B,32768,1.0922666667,true
24,Qwen/Qwen2.5-14B,32768,1.0922666667,true
25,Qwen/Qwen2.5-32B,32768,1.0922666667,true
26,Qwen/Qwen2.5-72B,32768,1.0922666667,true
27,google/gemma-2-2b,8192,0.2730666667,false
28,google/gemma-2-9b,8192,0.2730666667,false
29,google/gemma-2-27b,8192,0.2730666667,false
30,google/gemma-7b,8192,0.2730666667,false
31,microsoft/phi-2,2048,0.0682666667,false
32,microsoft/Phi-3-mini-4k-instruct,4096,0.1365333333,false
33,microsoft/Phi-3-small-8k-instruct,8192,0.2730666667,false
34,microsoft/Phi-3-medium-4k-instruct,4096,0.1365333333,false
35,01-ai/Yi-6B,4096,0.1365333333,false
36,01-ai/Yi-34B,4096,0.1365333333,false
37,tiiuae/falcon-7b,2048,0.0682666667,false
38,tiiuae/falcon-40b,2048,0.0682666667,false
39,cerebras/Cerebras-GPT-111M,2048,0.0682666667,false
40,cerebras/Cerebras-GPT-256M,2048,0.0682666667,false
41,cerebras/Cerebras-GPT-590M,2048,0.0682666667,false
42,cerebras/Cerebras-GPT-1.3B,2048,0.0682666667,false
43,cerebras/Cerebras-GPT-2.7B,2048,0.0682666667,false
44,cerebras/Cerebras-GPT-6.7B,2048,0.0682666667,false
45,cerebras/Cerebras-GPT-13B,2048,0.0682666667,false
46,deepseek-ai/deepseek-llm-7b-base,4096,0.1365333333,false
