pair_id,context_length_tokens,left_budget_flops,right_budget_flops,C_sat_support_grid_flops,left_budget_limited_state,right_budget_limited_state,bootstrap_replicates_used,budget_state_switches,budget_state_switch_rate,configuration_changes,configuration_change_rate,cost_share_changes,cost_share_change_rate,right_endpoint_selected_at_joint_support_max,right_endpoint_selected_run_id,right_endpoint_bootstrap_unique_grid_points,decision_threshold,classification
T01,2048,10000000000000000000,10000000000000000000000,23000639087744560000000,1,1,1000,0,0.000000,1000,1.000000,0,0.000000,False,1043,1,0.95,仅离散配置切换；预算限制状态未转换
T02,2048,10000000000000000000000,1000000000000000000000000,23000639087744560000000,1,0,1000,1000,1.000000,1000,1.000000,0,0.000000,True,1232,1,0.95,有限网格预算限制状态转换
T03,4096,10000000000000000000,10000000000000000000000,24470475235139120000000,1,1,1000,0,0.000000,1000,1.000000,0,0.000000,False,1036,1,0.95,仅离散配置切换；预算限制状态未转换
T04,4096,10000000000000000000000,1000000000000000000000000,24470475235139120000000,1,0,1000,1000,1.000000,1000,1.000000,0,0.000000,True,1232,1,0.95,有限网格预算限制状态转换
T05,8192,10000000000000000000,10000000000000000000000,27410147529928240000000,1,1,1000,0,0.000000,1000,1.000000,0,0.000000,False,1025,1,0.95,仅离散配置切换；预算限制状态未转换
T06,8192,10000000000000000000000,1000000000000000000000000,27410147529928240000000,1,0,1000,1000,1.000000,1000,1.000000,0,0.000000,True,1232,1,0.95,有限网格预算限制状态转换
T07,32768,10000000000000000000,10000000000000000000000,45048181298662960000000,1,1,1000,0,0.000000,1000,1.000000,0,0.000000,False,917,1,0.95,仅离散配置切换；预算限制状态未转换
T08,32768,10000000000000000000000,1000000000000000000000000,45048181298662960000000,1,0,1000,1000,1.000000,1000,1.000000,0,0.000000,True,1232,1,0.95,有限网格预算限制状态转换
T09,131072,10000000000000000000,10000000000000000000000,115600316373601840000000,1,1,1000,0,0.000000,1000,1.000000,0,0.000000,False,834,1,0.95,仅离散配置切换；预算限制状态未转换
T10,131072,10000000000000000000000,1000000000000000000000000,115600316373601840000000,1,0,1000,1000,1.000000,1000,1.000000,0,0.000000,True,1232,1,0.95,有限网格预算限制状态转换
