budget_flops,context_length_tokens,run_id,N_B,D_B,selection_count,selection_frequency,baseline_selected
10000000000000000000,2048,169,0.162405,8.389,1000,1.0,True
10000000000000000000000,2048,1043,6.86104,226.492,1000,1.0,True
1000000000000000000000000,2048,1232,11.965825,299.893,1000,1.0,True
10000000000000000000,4096,169,0.162405,8.389,1000,1.0,True
10000000000000000000000,4096,1036,6.86104,211.812,1000,1.0,True
1000000000000000000000000,4096,1232,11.965825,299.893,1000,1.0,True
10000000000000000000,8192,168,0.162405,6.291,1000,1.0,True
10000000000000000000000,8192,1025,6.86104,188.744,1000,1.0,True
1000000000000000000000000,8192,1232,11.965825,299.893,1000,1.0,True
10000000000000000000,32768,167,0.162405,4.194,1000,1.0,True
10000000000000000000000,32768,917,2.782831,285.213,1000,1.0,True
1000000000000000000000000,32768,1232,11.965825,299.893,1000,1.0,True
10000000000000000000,131072,13,0.070542,4.194,1000,1.0,True
10000000000000000000000,131072,834,2.782831,111.149,1000,1.0,True
1000000000000000000000000,131072,1232,11.965825,299.893,1000,1.0,True
