budget_flops,context_length_tokens,critical_context_length_tokens,q1_q_version,q0_reference_a1_macro,q0_reference_ci95_low,q0_reference_ci95_high,q_equal_sensitivity_macro,q_setting,p_setting,g_function,b1_feasible_grid_points,b1_total_grid_points,selected_run_id,selected_N_B,selected_D_B,selected_N_parameters,selected_D_tokens,m0_predicted_val_loss,b1_observed_val_loss_at_selected_point,C_train_flops,C_Q_flops,C_attn_flops,C_total_flops,budget_utilization,budget_slack_flops,all_support_points_feasible,selected_at_support_max_N_and_D,interpretation
10000000000000000000,2048,30000,Q1-q_huber-v1,0.49847810484764643,0.496567443226065,0.5004265176398414,0.496223010049615,Q=Q0; quality uplift disabled; C_Q=0,not optimized; M0 has no p response,not active because Q=Q0,39,1176,169,0.162405,8.389,162405000,8389000000,3.030397627156985,3.0304,8174493270000000000,0,5.58045407232e+17,8.732538677232e+18,0.8732538677232,1.267461322768e+18,False,False,B1/M0 support-grid reference; in-sample fit; not full Q3 optimum
10000000000000000000000,2048,30000,Q1-q_huber-v1,0.49847810484764643,0.496567443226065,0.5004265176398414,0.496223010049615,Q=Q0; quality uplift disabled; C_Q=0,not optimized; M0 has no p response,not active because Q=Q0,1060,1176,1043,6.86104,226.492,6861040000,226492000000,2.1456111666541906,2.1457,9323824030080000000000,0,6.36506387120128e+20,9.960330417200127e+21,0.9960330417200128,3.9669582799872e+19,False,False,B1/M0 support-grid reference; in-sample fit; not full Q3 optimum
1000000000000000000000000,2048,30000,Q1-q_huber-v1,0.49847810484764643,0.496567443226065,0.5004265176398414,0.496223010049615,Q=Q0; quality uplift disabled; C_Q=0,not optimized; M0 has no p response,not active because Q=Q0,1176,1176,1232,11.965825,299.893,11965825000,299893000000,2.093379471491827,2.0933,21530802940350000000000,0,1.46983614739456e+21,2.300063908774456e+22,0.02300063908774456,9.769993609122555e+23,True,True,B1/M0 support-grid reference; in-sample fit; not full Q3 optimum
10000000000000000000,4096,30000,Q1-q_huber-v1,0.49847810484764643,0.496567443226065,0.5004265176398414,0.496223010049615,Q=Q0; quality uplift disabled; C_Q=0,not optimized; M0 has no p response,not active because Q=Q0,36,1176,169,0.162405,8.389,162405000,8389000000,3.030397627156985,3.0304,8174493270000000000,0,1.116090814464e+18,9.290584084464e+18,0.9290584084464,7.09415915536e+17,False,False,B1/M0 support-grid reference; in-sample fit; not full Q3 optimum
10000000000000000000000,4096,30000,Q1-q_huber-v1,0.49847810484764643,0.496567443226065,0.5004265176398414,0.496223010049615,Q=Q0; quality uplift disabled; C_Q=0,not optimized; M0 has no p response,not active because Q=Q0,1049,1176,1036,6.86104,211.812,6861040000,211812000000,2.150758613533873,2.1509,8719503626880000000000,0,1.190502895190016e+21,9.910006522070016e+21,0.9910006522070016,8.9993477929984e+19,False,False,B1/M0 support-grid reference; in-sample fit; not full Q3 optimum
1000000000000000000000000,4096,30000,Q1-q_huber-v1,0.49847810484764643,0.496567443226065,0.5004265176398414,0.496223010049615,Q=Q0; quality uplift disabled; C_Q=0,not optimized; M0 has no p response,not active because Q=Q0,1176,1176,1232,11.965825,299.893,11965825000,299893000000,2.093379471491827,2.0933,21530802940350000000000,0,2.93967229478912e+21,2.447047523513912e+22,0.02447047523513912,9.75529524764861e+23,True,True,B1/M0 support-grid reference; in-sample fit; not full Q3 optimum
10000000000000000000,8192,30000,Q1-q_huber-v1,0.49847810484764643,0.496567443226065,0.5004265176398414,0.496223010049615,Q=Q0; quality uplift disabled; C_Q=0,not optimized; M0 has no p response,not active because Q=Q0,34,1176,168,0.162405,6.291,162405000,6291000000,3.0877660039358146,3.0883,6130139130000000000,0,1.673936658432e+18,7.804075788432e+18,0.7804075788432,2.195924211568e+18,False,False,B1/M0 support-grid reference; in-sample fit; not full Q3 optimum
10000000000000000000000,8192,30000,Q1-q_huber-v1,0.49847810484764643,0.496567443226065,0.5004265176398414,0.496223010049615,Q=Q0; quality uplift disabled; C_Q=0,not optimized; M0 has no p response,not active because Q=Q0,1032,1176,1025,6.86104,188.744,6861040000,188744000000,2.159845165552461,2.16,7769880802560000000000,0,2.121695451152384e+21,9.891576253712385e+21,0.9891576253712384,1.08423746287616e+20,False,False,B1/M0 support-grid reference; in-sample fit; not full Q3 optimum
1000000000000000000000000,8192,30000,Q1-q_huber-v1,0.49847810484764643,0.496567443226065,0.5004265176398414,0.496223010049615,Q=Q0; quality uplift disabled; C_Q=0,not optimized; M0 has no p response,not active because Q=Q0,1176,1176,1232,11.965825,299.893,11965825000,299893000000,2.093379471491827,2.0933,21530802940350000000000,0,5.87934458957824e+21,2.741014752992824e+22,0.02741014752992824,9.725898524700717e+23,True,True,B1/M0 support-grid reference; in-sample fit; not full Q3 optimum
10000000000000000000,32768,30000,Q1-q_huber-v1,0.49847810484764643,0.496567443226065,0.5004265176398414,0.496223010049615,Q=Q0; quality uplift disabled; C_Q=0,not optimized; M0 has no p response,not active because Q=Q0,27,1176,167,0.162405,4.194,162405000,4194000000,3.1768463777891194,3.1771,4086759420000000000,0,4.463831089152e+18,8.550590509152e+18,0.8550590509152,1.449409490848e+18,False,False,B1/M0 support-grid reference; in-sample fit; not full Q3 optimum
10000000000000000000000,32768,30000,Q1-q_huber-v1,0.49847810484764643,0.496567443226065,0.5004265176398414,0.496223010049615,Q=Q0; quality uplift disabled; C_Q=0,not optimized; M0 has no p response,not active because Q=Q0,969,1176,917,2.782831,285.213,2782831000,285213000000,2.194660077531802,2.1947,4762197468018000000000,0,5.201589554400461e+21,9.96378702241846e+21,0.9963787022418461,3.62129775815392e+19,False,False,B1/M0 support-grid reference; in-sample fit; not full Q3 optimum
