budget_flops,context_length_tokens,selected_run_id,selected_N_B,selected_D_B,m0_predicted_val_loss,feasible_grid_points,C_train_flops,C_Q_flops,C_attn_flops,C_total_flops,budget_utilization,train_cost_share,quality_cost_share,attention_cost_share,at_b1_support_upper_bound,interpretation
10000000000000000000,2048,169,0.162405,8.389,3.030397627156985,39,8174493270000000000,0,5.58045407232e+17,8.732538677232e+18,0.8732538677232,0.9360958562156765,0.0,0.06390414378432352,False,descriptive fixed-Q B1/M0 scenario; no formal structural-transition claim
10000000000000000000000,2048,1043,6.86104,226.492,2.1456111666541906,1060,9323824030080000000000,0,6.36506387120128e+20,9.960330417200127e+21,0.9960330417200128,0.9360958562156765,0.0,0.06390414378432352,False,descriptive fixed-Q B1/M0 scenario; no formal structural-transition claim
1000000000000000000000000,2048,1232,11.965825,299.893,2.093379471491827,1176,21530802940350000000000,0,1.46983614739456e+21,2.300063908774456e+22,0.02300063908774456,0.9360958562156765,0.0,0.06390414378432352,True,descriptive fixed-Q B1/M0 scenario; no formal structural-transition claim
10000000000000000000,4096,169,0.162405,8.389,3.030397627156985,36,8174493270000000000,0,1.116090814464e+18,9.290584084464e+18,0.9290584084464,0.8798686062881277,0.0,0.12013139371187236,False,descriptive fixed-Q B1/M0 scenario; no formal structural-transition claim
10000000000000000000000,4096,1036,6.86104,211.812,2.150758613533873,1049,8719503626880000000000,0,1.190502895190016e+21,9.910006522070016e+21,0.9910006522070016,0.8798686062881277,0.0,0.12013139371187236,False,descriptive fixed-Q B1/M0 scenario; no formal structural-transition claim
1000000000000000000000000,4096,1232,11.965825,299.893,2.093379471491827,1176,21530802940350000000000,0,2.93967229478912e+21,2.447047523513912e+22,0.02447047523513912,0.8798686062881277,0.0,0.12013139371187236,True,descriptive fixed-Q B1/M0 scenario; no formal structural-transition claim
10000000000000000000,8192,168,0.162405,6.291,3.0877660039358146,34,6130139130000000000,0,1.673936658432e+18,7.804075788432e+18,0.7804075788432,0.7855048177628823,0.0,0.21449518223711772,False,descriptive fixed-Q B1/M0 scenario; no formal structural-transition claim
10000000000000000000000,8192,1025,6.86104,188.744,2.159845165552461,1032,7769880802560000000000,0,2.121695451152384e+21,9.891576253712385e+21,0.9891576253712384,0.7855048177628823,0.0,0.21449518223711772,False,descriptive fixed-Q B1/M0 scenario; no formal structural-transition claim
1000000000000000000000000,8192,1232,11.965825,299.893,2.093379471491827,1176,21530802940350000000000,0,5.87934458957824e+21,2.741014752992824e+22,0.02741014752992824,0.7855048177628823,0.0,0.21449518223711772,True,descriptive fixed-Q B1/M0 scenario; no formal structural-transition claim
10000000000000000000,32768,167,0.162405,4.194,3.1768463777891194,27,4086759420000000000,0,4.463831089152e+18,8.550590509152e+18,0.8550590509152,0.4779505480499618,0.0,0.5220494519500383,False,descriptive fixed-Q B1/M0 scenario; no formal structural-transition claim
10000000000000000000000,32768,917,2.782831,285.213,2.194660077531802,969,4762197468018000000000,0,5.201589554400461e+21,9.96378702241846e+21,0.9963787022418461,0.4779505480499618,0.0,0.5220494519500383,False,descriptive fixed-Q B1/M0 scenario; no formal structural-transition claim
1000000000000000000000000,32768,1232,11.965825,299.893,2.093379471491827,1176,21530802940350000000000,0,2.351737835831296e+22,4.504818129866296e+22,0.04504818129866296,0.4779505480499618,0.0,0.5220494519500383,True,descriptive fixed-Q B1/M0 scenario; no formal structural-transition claim
10000000000000000000,131072,13,0.070542,4.194,3.392088334710602,16,1775118888000000000,0,7.7556127629312e+18,9.5307316509312e+18,0.95307316509312,0.18625211085725638,0.0,0.8137478891427437,False,descriptive fixed-Q B1/M0 scenario; no formal structural-transition claim
10000000000000000000000,131072,834,2.782831,111.149,2.271590563800825,793,1855853296914000000000,0,8.108346777770394e+21,9.964200074684393e+21,0.9964200074684394,0.18625211085725638,0.0,0.8137478891427437,False,descriptive fixed-Q B1/M0 scenario; no formal structural-transition claim
1000000000000000000000000,131072,1232,11.965825,299.893,2.093379471491827,1176,21530802940350000000000,0,9.406951343325183e+22,1.1560031637360184e+23,0.11560031637360184,0.18625211085725638,0.0,0.8137478891427437,True,descriptive fixed-Q B1/M0 scenario; no formal structural-transition claim
