g_function,Q0_q_huber,Q_target,g_Q_flops_per_token,g_Q0_flops_per_token,incremental_flops_per_token,D_B1_min_tokens,C_Q_at_D_B1_min_flops,D_B1_median_tokens,C_Q_at_D_B1_median_flops,D_B1_max_tokens,C_Q_at_D_B1_max_flops
exponential,0.49847810484764643,0.49847810484764643,199029632.77979743,199029632.77979743,0.0,134000000,0.0,146801000000,0.0,299893000000,0.0
exponential,0.49847810484764643,0.5,200855369.23187667,199029632.77979743,1825736.4520792365,134000000,244648684578617.7,146801000000,2.68019936901684e+17,299893000000,5.4752558182339846e+17
exponential,0.49847810484764643,0.55,271126389.2065789,199029632.77979743,72096756.42678148,134000000,9660965361188718.0,146801000000,1.0583875940207948e+19,299893000000,2.162131257509678e+19
exponential,0.49847810484764643,0.6,365982344.43677974,199029632.77979743,166952711.6569823,134000000,2.2371663362035628e+16,146801000000,2.450882502395666e+19,299893000000,5.0067949556947395e+19
exponential,0.49847810484764643,0.65,494024491.0553019,199029632.77979743,294994858.27550447,134000000,3.95293110089176e+16,146801000000,4.330554018970233e+19,299893000000,8.846689303281587e+19
exponential,0.49847810484764643,0.7,666863310.409251,199029632.77979743,467833677.62945354,134000000,6.2689712802346776e+16,146801000000,6.867845170968141e+19,299893000000,1.403000450853297e+20
exponential,0.49847810484764643,0.75,900171313.0052181,199029632.77979743,701141680.2254207,134000000,9.395298515020637e+16,146801000000,1.0292829979877199e+20,299893000000,2.102674819078421e+20
exponential,0.49847810484764643,0.8,1215104175.1873498,199029632.77979743,1016074542.4075524,134000000,1.3615398868261202e+17,146801000000,1.491607588999711e+20,299893000000,3.047136427462281e+20
exponential,0.49847810484764643,0.85,1640219072.999017,199029632.77979743,1441189440.2192197,134000000,1.9311938498937542e+17,146801000000,2.1156805101362168e+20,299893000000,4.322026247956624e+20
exponential,0.49847810484764643,0.9,2214064162.0418715,199029632.77979743,2015034529.262074,134000000,2.7001462692111792e+17,146801000000,2.9580908393020175e+20,299893000000,6.042947500839912e+20
exponential,0.49847810484764643,0.95,2988674009.6706,199029632.77979743,2789644376.8908024,134000000,3.738123465033675e+17,146801000000,4.095225841719467e+20,299893000000,8.365948211189134e+20
exponential,0.49847810484764643,1.0,4034287934.927351,199029632.77979743,3835258302.1475534,134000000,5.1392461248777216e+17,146801000000,5.6301975401356296e+20,299893000000,1.1501671180059362e+21
power4,0.49847810484764643,0.49847810484764643,308712598.1327492,308712598.1327492,0.0,134000000,0.0,146801000000,0.0,299893000000,0.0
