q_response_source,kappa_Q_B1_anchored,quality_cost_function,budget_flops,context_length_tokens,source_support_grid_points,feasible_grid_points,source_N_min_B,source_N_max_B,source_D_min_B,source_D_max_B,global_M0_run_id,status,selected_run_id,selected_N_B,selected_D_B,selected_Q,predicted_loss,restricted_M0_run_id,restricted_M0_loss,delta_N_B_vs_restricted_M0,delta_D_B_vs_restricted_M0,delta_Q_vs_Q0,delta_loss_vs_restricted_M0,C_train_flops,C_Q_flops,C_attn_flops,C_total_flops,budget_utilization,budget_residual_flops,N_D_changed_vs_restricted_M0,at_Q0_boundary
B6_semi_synthetic,0.38300064456112093,exponential,10000000000000000000,2048,1112,6,0.07,11.97,10.0,600.0,169,FEASIBLE,21,0.070542,20.972,0.5179608190718128,3.083222955371085,21,3.090937259262238,0.0,0.0,0.019482714224166364,-0.007714303891153129,8876440944000000000,5.175940208895994e+17,6.059650351104e+17,1e+19,1.0,0.0,False,False
B6_semi_synthetic,0.38300064456112093,exponential,10000000000000000000000,2048,1112,996,0.07,11.97,10.0,600.0,1043,FEASIBLE,1035,6.86104,209.715,0.9946254783516365,2.0869472024597573,1043,2.1456111666541906,0.0,-16.776999999999987,0.4961473735039901,-0.058663964194433316,8633178021600000000000,7.774636921254393e+20,5.8935828627456e+20,1e+22,1.0,0.0,True,False
B6_semi_synthetic,0.38300064456112093,power4,10000000000000000000,2048,1112,6,0.07,11.97,10.0,600.0,169,FEASIBLE,21,0.070542,20.972,0.508155424391283,3.0870543338947805,21,3.090937259262238,0.0,0.0,0.009677319543636598,-0.0038829253674577124,8876440944000000000,5.1759402088959443e+17,6.059650351104e+17,9.999999999999994e+18,0.9999999999999993,6144.0,False,False
B6_semi_synthetic,0.38300064456112093,power4,10000000000000000000000,2048,1112,996,0.07,11.97,10.0,600.0,1043,FEASIBLE,1033,6.86104,205.521,0.9994504907315559,2.087759109081934,1043,2.1456111666541906,0.0,-20.971000000000004,0.5009723858839095,-0.057852057572256754,8460526811040000000000,9.619012253263363e+20,5.77571963633664e+20,1e+22,1.0,0.0,True,False
B6_semi_synthetic,0.38300064456112093,logarithmic,10000000000000000000,2048,1112,6,0.07,11.97,10.0,600.0,169,FEASIBLE,21,0.070542,20.972,0.5059091525867696,3.087946463149851,21,3.090937259262238,0.0,0.0,0.0074310477391231755,-0.002990796112387173,8876440944000000000,5.1759402088959194e+17,6.059650351104e+17,9.999999999999992e+18,0.9999999999999992,8192.0,False,False
B6_semi_synthetic,0.38300064456112093,logarithmic,10000000000000000000000,2048,1112,996,0.07,11.97,10.0,600.0,1043,FEASIBLE,1040,6.86104,220.201,1.0,2.0836215037130374,1043,2.1456111666541906,0.0,-6.290999999999997,0.5015218951523536,-0.061989662941153156,9064847214240000000000,2.6806191540630048e+20,6.18826903158784e+20,9.951736032805085e+21,0.9951736032805085,4.826396719491475e+19,True,False
B8_calibrated,-0.8193728391558368,exponential,10000000000000000000,2048,1128,10,0.07,12.0,5.0,2000.0,169,FEASIBLE,169,0.162405,8.389,0.49847810484764643,3.030397627156985,169,3.030397627156985,0.0,0.0,0.0,0.0,8174493270000000000,0.0,5.58045407232e+17,8.732538677232e+18,0.8732538677232,1.267461322768e+18,False,True
B8_calibrated,-0.8193728391558368,exponential,10000000000000000000000,2048,1128,1012,0.07,12.0,5.0,2000.0,1043,FEASIBLE,1043,6.86104,226.492,0.49847810484764643,2.1456111666541906,1043,2.1456111666541906,0.0,0.0,0.0,0.0,9323824030080000000000,0.0,6.36506387120128e+20,9.96033041720013e+21,0.996033041720013,3.9669582799870886e+19,False,True
B8_calibrated,-0.8193728391558368,power4,10000000000000000000,2048,1128,10,0.07,12.0,5.0,2000.0,169,FEASIBLE,169,0.162405,8.389,0.49847810484764643,3.030397627156985,169,3.030397627156985,0.0,0.0,0.0,0.0,8174493270000000000,0.0,5.58045407232e+17,8.732538677232e+18,0.8732538677232,1.267461322768e+18,False,True
B8_calibrated,-0.8193728391558368,power4,10000000000000000000000,2048,1128,1012,0.07,12.0,5.0,2000.0,1043,FEASIBLE,1043,6.86104,226.492,0.49847810484764643,2.1456111666541906,1043,2.1456111666541906,0.0,0.0,0.0,0.0,9323824030080000000000,0.0,6.36506387120128e+20,9.96033041720013e+21,0.996033041720013,3.9669582799870886e+19,False,True
B8_calibrated,-0.8193728391558368,logarithmic,10000000000000000000,2048,1128,10,0.07,12.0,5.0,2000.0,169,FEASIBLE,169,0.162405,8.389,0.49847810484764643,3.030397627156985,169,3.030397627156985,0.0,0.0,0.0,0.0,8174493270000000000,0.0,5.58045407232e+17,8.732538677232e+18,0.8732538677232,1.267461322768e+18,False,True
B8_calibrated,-0.8193728391558368,logarithmic,10000000000000000000000,2048,1128,1012,0.07,12.0,5.0,2000.0,1043,FEASIBLE,1043,6.86104,226.492,0.49847810484764643,2.1456111666541906,1043,2.1456111666541906,0.0,0.0,0.0,0.0,9323824030080000000000,0.0,6.36506387120128e+20,9.96033041720013e+21,0.996033041720013,3.9669582799870886e+19,False,True
