q_response_source,kappa_Q_B1_anchored,quality_cost_function,budget_flops,context_length_tokens,source_support_grid_points,feasible_grid_points,source_N_min_B,source_N_max_B,source_D_min_B,source_D_max_B,global_M0_run_id,status,selected_run_id,selected_N_B,selected_D_B,selected_Q,predicted_loss,restricted_M0_run_id,restricted_M0_loss,delta_N_B_vs_restricted_M0,delta_D_B_vs_restricted_M0,delta_Q_vs_Q0,delta_loss_vs_restricted_M0,C_train_flops,C_Q_flops,C_attn_flops,C_total_flops,budget_utilization,budget_residual_flops,N_D_changed_vs_restricted_M0,at_Q0_boundary
B6_semi_synthetic,0.38300064456112093,exponential,10000000000000000000,2048,1112,6,0.07,11.97,10.0,600.0,169,FEASIBLE,21,0.070542,20.972,0.5179608190718128,3.083222955371085,21,3.090937259262238,0.0,0.0,0.019482714224166364,-0.007714303891153129,8876440944000000000,5.175940208895994e+17,6.059650351104e+17,1e+19,1.0,0.0,False,False
B6_semi_synthetic,0.38300064456112093,exponential,10000000000000000000000,2048,1112,996,0.07,11.97,10.0,600.0,1043,FEASIBLE,1035,6.86104,209.715,0.9946254783516365,2.0869472024597573,1043,2.1456111666541906,0.0,-16.776999999999987,0.4961473735039901,-0.058663964194433316,8633178021600000000000,7.774636921254393e+20,5.8935828627456e+20,1e+22,1.0,0.0,True,False
B6_semi_synthetic,0.38300064456112093,exponential,1000000000000000000000000,2048,1112,1112,0.07,11.97,10.0,600.0,1232,FEASIBLE,1232,11.965825,299.893,1.0,2.0345498945089004,1232,2.093379471491827,0.0,0.0,0.5015218951523536,-0.05882957698292657,21530802940350000000000,1.1501671180059362e+21,1.46983614739456e+21,2.4150806205750495e+22,0.024150806205750497,9.758491937942495e+23,False,False
B6_semi_synthetic,0.38300064456112093,exponential,10000000000000000000,4096,1112,5,0.07,11.97,10.0,600.0,169,FEASIBLE,20,0.070542,18.874,0.5350189390013637,3.0922118410204904,20,3.1067815834917885,0.0,0.0,0.03654083415371723,-0.014569742471298053,7988458248000000000,9.208509192063995e+17,1.0906908327936e+18,1e+19,1.0,0.0,False,False
B6_semi_synthetic,0.38300064456112093,exponential,10000000000000000000000,4096,1112,985,0.07,11.97,10.0,600.0,1036,FEASIBLE,1029,6.86104,197.132,1.0,2.090224698907628,1036,2.150758613533873,0.0,-14.680000000000007,0.5015218951523536,-0.060533914626245355,8115183223680000000000,7.560521396189515e+20,1.107993016139776e+21,9.979228379438727e+21,0.9979228379438727,2.0771620561272963e+19,True,False
B6_semi_synthetic,0.38300064456112093,exponential,1000000000000000000000000,4096,1112,1112,0.07,11.97,10.0,600.0,1232,FEASIBLE,1232,11.965825,299.893,1.0,2.0345498945089004,1232,2.093379471491827,0.0,0.0,0.5015218951523536,-0.05882957698292657,21530802940350000000000,1.1501671180059362e+21,2.93967229478912e+21,2.5620642353145052e+22,0.025620642353145054,9.74379357646855e+23,False,False
B6_semi_synthetic,0.38300064456112093,exponential,10000000000000000000,8192,1112,4,0.07,11.97,10.0,600.0,168,FEASIBLE,19,0.070542,16.777,0.5405984739697451,3.107815513992928,19,3.125047735324993,0.0,0.0,0.04212036912209871,-0.01723222133206459,7100898804000000000,9.600824292543985e+17,1.9390187667456e+18,9.999999999999998e+18,0.9999999999999998,2048.0,False,False
B6_semi_synthetic,0.38300064456112093,exponential,10000000000000000000000,8192,1112,968,0.07,11.97,10.0,600.0,1025,FEASIBLE,1020,6.86104,178.258,0.9939352770128121,2.0969293249450454,1025,2.159845165552461,0.0,-10.48599999999999,0.4954571721651657,-0.06291584060741551,7338211609920000000000,6.57967406464512e+20,2.003820983615488e+21,1e+22,1.0,0.0,True,False
B6_semi_synthetic,0.38300064456112093,exponential,1000000000000000000000000,8192,1112,1112,0.07,11.97,10.0,600.0,1232,FEASIBLE,1232,11.965825,299.893,1.0,2.0345498945089004,1232,2.093379471491827,0.0,0.0,0.5015218951523536,-0.05882957698292657,21530802940350000000000,1.1501671180059362e+21,5.87934458957824e+21,2.8560314647934174e+22,0.028560314647934175,9.714396853520658e+23,False,False
B6_semi_synthetic,0.38300064456112093,exponential,10000000000000000000,32768,1112,1,0.07,11.97,10.0,600.0,167,FEASIBLE,16,0.070542,10.486,0.5475226047577695,3.1815543698697883,16,3.204237726070806,0.0,0.0,0.04904449991012305,-0.0226833562010178,4438220472000000000,7.140592471167999e+17,4.8477202808832e+18,1e+19,1.0,0.0,False,False
