source,status,budget_flops,context_length_tokens,g_function,kappa_B1_anchored,selected_run_id,selected_N_B,selected_D_B,selected_Q,predicted_loss,C_train_flops,C_Q_flops,C_attn_flops,C_total_flops,budget_utilization,budget_slack_flops,Q_upper_affordable,selected_at_Q_boundary,p_setting,Q_mapping_assumption
B6,feasible,10000000000000000000,2048,exponential,0.3830006502775433,21,0.070542,20.972,0.5179608190294228,3.083222955254045,8.876440944e+18,5.175940208895969e+17,6.059650351104e+17,9.999999999999996e+18,0.9999999999999996,4096.0,0.5179608190294228,True,B1 common mixture policy fixed; numeric 17-domain vector unavailable; p effect absorbed in M0 baseline,Q2 Q_score numerically identical to Q1 q_huber; unvalidated conditional scenario
B6,feasible,10000000000000000000000,2048,exponential,0.3830006502775433,1035,6.86104,209.715,0.9946254783492091,2.0869472016101143,8.6331780216e+21,7.774636921254407e+20,5.8935828627456e+20,1e+22,1.0,0.0,0.9946254783492091,True,B1 common mixture policy fixed; numeric 17-domain vector unavailable; p effect absorbed in M0 baseline,Q2 Q_score numerically identical to Q1 q_huber; unvalidated conditional scenario
B6,feasible,1000000000000000000000000,2048,exponential,0.3830006502775433,1232,11.965825,299.893,1.0,2.0345498937356674,2.153080294035e+22,1.1501671180229997e+21,1.46983614739456e+21,2.4150806205767558e+22,0.02415080620576756,9.758491937942325e+23,1.0,True,B1 common mixture policy fixed; numeric 17-domain vector unavailable; p effect absorbed in M0 baseline,Q2 Q_score numerically identical to Q1 q_huber; unvalidated conditional scenario
B6,feasible,10000000000000000000,4096,exponential,0.3830006502775433,20,0.070542,18.874,0.5350189389630975,3.0922118408010757,7.988458248e+18,9.208509192063967e+17,1.0906908327936001e+18,9.999999999999996e+18,0.9999999999999996,4096.0,0.5350189389630975,True,B1 common mixture policy fixed; numeric 17-domain vector unavailable; p effect absorbed in M0 baseline,Q2 Q_score numerically identical to Q1 q_huber; unvalidated conditional scenario
B6,feasible,10000000000000000000000,4096,exponential,0.3830006502775433,1029,6.86104,197.132,1.0,2.090224698038053,8.11518322368e+21,7.56052139630168e+20,1.107993016139776e+21,9.979228379449945e+21,0.9979228379449945,2.0771620550055297e+19,1.0,True,B1 common mixture policy fixed; numeric 17-domain vector unavailable; p effect absorbed in M0 baseline,Q2 Q_score numerically identical to Q1 q_huber; unvalidated conditional scenario
B6,feasible,1000000000000000000000000,4096,exponential,0.3830006502775433,1232,11.965825,299.893,1.0,2.0345498937356674,2.153080294035e+22,1.1501671180229997e+21,2.93967229478912e+21,2.562064235316212e+22,0.02562064235316212,9.743793576468378e+23,1.0,True,B1 common mixture policy fixed; numeric 17-domain vector unavailable; p effect absorbed in M0 baseline,Q2 Q_score numerically identical to Q1 q_huber; unvalidated conditional scenario
B6,feasible,10000000000000000000,8192,exponential,0.3830006502775433,19,0.070542,16.777,0.540598473932739,3.1078155137340318,7.100898804000001e+18,9.600824292543991e+17,1.9390187667456005e+18,1e+19,1.0,0.0,0.540598473932739,True,B1 common mixture policy fixed; numeric 17-domain vector unavailable; p effect absorbed in M0 baseline,Q2 Q_score numerically identical to Q1 q_huber; unvalidated conditional scenario
B6,feasible,10000000000000000000000,8192,exponential,0.3830006502775433,1020,6.86104,178.258,0.9939352770103747,2.0969293240565143,7.33821160992e+21,6.579674064645132e+20,2.003820983615488e+21,1e+22,1.0,0.0,0.9939352770103747,True,B1 common mixture policy fixed; numeric 17-domain vector unavailable; p effect absorbed in M0 baseline,Q2 Q_score numerically identical to Q1 q_huber; unvalidated conditional scenario
B6,feasible,1000000000000000000000000,8192,exponential,0.3830006502775433,1232,11.965825,299.893,1.0,2.0345498937356674,2.153080294035e+22,1.1501671180229997e+21,5.87934458957824e+21,2.856031464795124e+22,0.02856031464795124,9.714396853520487e+23,1.0,True,B1 common mixture policy fixed; numeric 17-domain vector unavailable; p effect absorbed in M0 baseline,Q2 Q_score numerically identical to Q1 q_huber; unvalidated conditional scenario
B6,feasible,10000000000000000000,32768,exponential,0.3830006502775433,16,0.070542,10.486,0.5475226047222692,3.18155436952998,4.438220472e+18,7.140592471167999e+17,4.8477202808832e+18,1e+19,1.0,0.0,0.5475226047222692,True,B1 common mixture policy fixed; numeric 17-domain vector unavailable; p effect absorbed in M0 baseline,Q2 Q_score numerically identical to Q1 q_huber; unvalidated conditional scenario
