source,g_function,budget_flops,context_length_tokens,feasible_frequency,top_configuration_frequency,top_run_id,Q_median,Q_p025,Q_p975,Loss_median
B6,exponential,10000000000000000000,2048,1.0,0.994,21,0.5179608190294228,0.5179608190294228,0.5179608190294228,3.0832176299406475
B6,exponential,10000000000000000000000,2048,1.0,0.998,1035,0.9946254783492091,0.9946254783492091,0.9946254783492091,2.0868632447132285
B6,exponential,1000000000000000000000000,2048,1.0,1.0,1232,1.0,1.0,1.0,2.0344759168388205
B6,exponential,10000000000000000000,4096,1.0,0.998,20,0.5350189389630975,0.5350189389630975,0.5350189389630975,3.092197455756068
B6,exponential,10000000000000000000000,4096,1.0,1.0,1029,1.0,1.0,1.0,2.0901394719184614
B6,exponential,1000000000000000000000000,4096,1.0,1.0,1232,1.0,1.0,1.0,2.0344759168388205
B6,exponential,10000000000000000000,8192,1.0,0.988,19,0.540598473932739,0.540598473932739,0.540598473932739,3.1077926073250355
B6,exponential,10000000000000000000000,8192,1.0,1.0,1020,0.9939352770103747,0.9939352770103747,0.9939352770103747,2.0968427927187205
B6,exponential,1000000000000000000000000,8192,1.0,1.0,1232,1.0,1.0,1.0,2.0344759168388205
B6,exponential,10000000000000000000,32768,1.0,1.0,16,0.5475226047222692,0.5475226047222692,0.5475226047222692,3.181526983375179
B6,exponential,10000000000000000000000,32768,1.0,1.0,988,1.0,1.0,1.0,2.127787742155424
B6,exponential,1000000000000000000000000,32768,1.0,1.0,1232,1.0,1.0,1.0,2.0344759168388205
B6,exponential,10000000000000000000,131072,0.0,0.0,,nan,nan,nan,nan
B6,exponential,10000000000000000000000,131072,1.0,1.0,832,1.0,1.0,1.0,2.196570361583614
B6,exponential,1000000000000000000000000,131072,1.0,1.0,1232,1.0,1.0,1.0,2.0344759168388205
B6,power,10000000000000000000,2048,1.0,1.0,21,0.5081554243463073,0.5081554243463073,0.5081554243463073,3.087055384982425
B6,power,10000000000000000000000,2048,1.0,0.999,1033,0.9994504907256447,0.9994504907256447,0.9994504907256447,2.0876745441153917
B6,power,1000000000000000000000000,2048,1.0,1.0,1232,1.0,1.0,1.0,2.0344759168388205
B6,power,10000000000000000000,4096,1.0,1.0,20,0.5171030671624323,0.5171030671624323,0.5171030671624323,3.0991714052355936
B6,power,10000000000000000000000,4096,1.0,0.999,1027,1.0,1.0,1.0,2.091446104177141
B6,power,1000000000000000000000000,4096,1.0,1.0,1232,1.0,1.0,1.0,2.0344759168388205
B6,power,10000000000000000000,8192,1.0,1.0,19,0.5201272244844376,0.5201272244844376,0.5201272244844376,3.115943095720092
B6,power,10000000000000000000000,8192,1.0,1.0,1018,1.0,1.0,1.0,2.0978112282103027
B6,power,1000000000000000000000000,8192,1.0,1.0,1232,1.0,1.0,1.0,2.0344759168388205
B6,power,10000000000000000000,32768,1.0,1.0,16,0.5239475646507917,0.5239475646507917,0.5239475646507917,3.1920790603348825
B6,power,10000000000000000000000,32768,1.0,1.0,987,1.0,1.0,1.0,2.1291457420310933
B6,power,1000000000000000000000000,32768,1.0,1.0,1232,1.0,1.0,1.0,2.0344759168388205
B6,power,10000000000000000000,131072,0.0,0.0,,nan,nan,nan,nan
B6,power,10000000000000000000000,131072,1.0,1.0,831,1.0,1.0,1.0,2.1979976941514803
B6,power,1000000000000000000000000,131072,1.0,1.0,1232,1.0,1.0,1.0,2.0344759168388205
B6,logarithmic,10000000000000000000,2048,1.0,1.0,21,0.5059091525385317,0.5059091525385317,0.5059091525385317,3.087951338898256
B6,logarithmic,10000000000000000000000,2048,1.0,1.0,1040,1.0,1.0,1.0,2.083537508727696
