source,g_function,edge_id,edge_kind,left_budget,left_context,right_budget,right_context,left_status,right_status,edge_class,configuration_changed,cost_share_tv,delta_log_N,delta_log_D,delta_Q,interpretation
B6,exponential,T01,adjacent_budget,10000000000000000000,2048,10000000000000000000000,2048,feasible,feasible,both_feasible,True,0.025986967123584385,4.577406035614165,2.302561251397611,0.4766646593197863,discrete conditional solution comparison
B6,exponential,T02,adjacent_budget,10000000000000000000000,2048,1000000000000000000000000,2048,feasible,feasible,both_feasible,True,0.030121991449605336,0.5561956363450279,0.35767627826095316,0.005374521650790887,discrete conditional solution comparison
B6,exponential,T03,adjacent_budget,10000000000000000000,4096,10000000000000000000000,4096,feasible,feasible,both_feasible,True,0.016322506790601578,4.577406035614165,2.346088241516484,0.4649810610369025,discrete conditional solution comparison
B6,exponential,T04,adjacent_budget,10000000000000000000000,4096,1000000000000000000000000,4096,feasible,feasible,both_feasible,True,0.030870380548717578,0.5561956363450279,0.4195521892532256,0.0,discrete conditional solution comparison
B6,exponential,T05,adjacent_budget,10000000000000000000,8192,10000000000000000000000,8192,feasible,feasible,both_feasible,True,0.030211502278988632,4.577406035614165,2.3632230382844432,0.4533368030776357,discrete conditional solution comparison
B6,exponential,T06,adjacent_budget,10000000000000000000000,8192,1000000000000000000000000,8192,feasible,feasible,both_feasible,True,0.02552522640718126,0.5561956363450279,0.5201938052961439,0.0060647229896253485,discrete conditional solution comparison
B6,exponential,T07,adjacent_budget,10000000000000000000,32768,10000000000000000000000,32768,feasible,feasible,both_feasible,True,0.02877584363734146,4.577406035614165,2.3608306093682905,0.4524773952777308,discrete conditional solution comparison
B6,exponential,T08,adjacent_budget,10000000000000000000000,32768,1000000000000000000000000,32768,feasible,feasible,both_feasible,True,0.017733798903186652,0.5561956363450279,0.9925541008502192,0.0,discrete conditional solution comparison
B6,exponential,T09,adjacent_budget,10000000000000000000,131072,10000000000000000000000,131072,infeasible,feasible,feasibility_boundary,,nan,nan,nan,nan,feasible-domain entry/exit; no numeric configuration difference
B6,exponential,T10,adjacent_budget,10000000000000000000000,131072,1000000000000000000000000,131072,feasible,feasible,both_feasible,True,0.03117499114798698,1.4585859152262788,1.0310175591150823,0.0,discrete conditional solution comparison
B6,exponential,T11,adjacent_context,10000000000000000000,2048,10000000000000000000,4096,feasible,feasible,both_feasible,True,0.08879826960000003,0.0,-0.10540290111114517,0.017058119933674676,discrete conditional solution comparison
B6,exponential,T12,adjacent_context,10000000000000000000,4096,10000000000000000000,8192,feasible,feasible,both_feasible,True,0.0887559444000002,0.0,-0.11777641281087775,0.005579534969641475,discrete conditional solution comparison
B6,exponential,T13,adjacent_context,10000000000000000000,8192,10000000000000000000,32768,feasible,feasible,both_feasible,True,0.29087015141375994,0.0,-0.46996786663792245,0.006924130789530247,discrete conditional solution comparison
B6,exponential,T14,adjacent_context,10000000000000000000,32768,10000000000000000000,131072,feasible,infeasible,feasibility_boundary,,nan,nan,nan,nan,feasible-domain entry/exit; no numeric configuration difference
B6,exponential,T15,adjacent_context,10000000000000000000000,2048,10000000000000000000000,4096,feasible,feasible,both_feasible,True,0.05209410014153057,0.0,-0.0618759109922724,0.005374521650790887,discrete conditional solution comparison
B6,exponential,T16,adjacent_context,10000000000000000000000,4096,10000000000000000000000,8192,feasible,feasible,both_feasible,True,0.0893521695925622,0.0,-0.10064161604291837,-0.0060647229896253485,discrete conditional solution comparison
B6,exponential,T17,adjacent_context,10000000000000000000000,8192,10000000000000000000000,32768,feasible,feasible,both_feasible,True,0.2994123431270454,0.0,-0.4723602955540752,0.0060647229896253485,discrete conditional solution comparison
B6,exponential,T18,adjacent_context,10000000000000000000000,32768,10000000000000000000000,131072,feasible,feasible,both_feasible,True,0.2805682289660951,-0.902390278881251,-0.0384634582648631,0.0,discrete conditional solution comparison
B6,exponential,T19,adjacent_context,1000000000000000000000000,2048,1000000000000000000000000,4096,feasible,feasible,both_feasible,False,0.053877681908598075,0.0,0.0,0.0,discrete conditional solution comparison
B6,exponential,T20,adjacent_context,1000000000000000000000000,4096,1000000000000000000000000,8192,feasible,feasible,both_feasible,False,0.09111870584268103,0.0,0.0,0.0,discrete conditional solution comparison
B6,exponential,T21,adjacent_context,1000000000000000000000000,8192,1000000000000000000000000,32768,feasible,feasible,both_feasible,False,0.30319522503559404,0.0,0.0,0.0,discrete conditional solution comparison
B6,exponential,T22,adjacent_context,1000000000000000000000000,32768,1000000000000000000000000,131072,feasible,feasible,both_feasible,False,0.2966788922084124,0.0,0.0,0.0,discrete conditional solution comparison
B6,power,T01,adjacent_budget,10000000000000000000,2048,10000000000000000000000,2048,feasible,feasible,both_feasible,True,0.044430720443673626,4.577406035614165,2.2823600037860046,0.4912950663793374,discrete conditional solution comparison
B6,power,T02,adjacent_budget,10000000000000000000000,2048,1000000000000000000000000,2048,feasible,feasible,both_feasible,True,0.03854870462998166,0.5561956363450279,0.3778775258725596,0.0005495092743552643,discrete conditional solution comparison
B6,power,T03,adjacent_budget,10000000000000000000,4096,10000000000000000000000,4096,feasible,feasible,both_feasible,True,0.0009533642839662793,4.577406035614165,2.3245835801726744,0.48289693283756774,discrete conditional solution comparison
B6,power,T04,adjacent_budget,10000000000000000000000,4096,1000000000000000000000000,4096,feasible,feasible,both_feasible,True,0.03676434701204193,0.5561956363450279,0.44105685059703503,0.0,discrete conditional solution comparison
B6,power,T05,adjacent_budget,10000000000000000000,8192,10000000000000000000000,8192,feasible,feasible,both_feasible,True,0.013847159197354783,4.577406035614165,2.3394141468904635,0.4798727755155624,discrete conditional solution comparison
B6,power,T06,adjacent_budget,10000000000000000000000,8192,1000000000000000000000000,8192,feasible,feasible,both_feasible,True,0.033339808051640316,0.5561956363450279,0.5440026966901239,0.0,discrete conditional solution comparison
B6,power,T07,adjacent_budget,10000000000000000000,32768,10000000000000000000000,32768,feasible,feasible,both_feasible,True,0.01975230136102382,4.577406035614165,2.3417837985400296,0.47605243534920827,discrete conditional solution comparison
B6,power,T08,adjacent_budget,10000000000000000000000,32768,1000000000000000000000000,32768,feasible,feasible,both_feasible,True,0.021368782803316902,0.5561956363450279,1.0116009116784797,0.0,discrete conditional solution comparison
B6,power,T09,adjacent_budget,10000000000000000000,131072,10000000000000000000000,131072,infeasible,feasible,feasibility_boundary,,nan,nan,nan,nan,feasible-domain entry/exit; no numeric configuration difference
B6,power,T10,adjacent_budget,10000000000000000000000,131072,1000000000000000000000000,131072,feasible,feasible,both_feasible,True,0.037704316808337676,1.4585859152262788,1.0508186904561374,0.0,discrete conditional solution comparison
B6,power,T11,adjacent_context,10000000000000000000,2048,10000000000000000000,4096,feasible,feasible,both_feasible,True,0.08879826959999965,0.0,-0.10540290111114517,0.008947642816124923,discrete conditional solution comparison
B6,power,T12,adjacent_context,10000000000000000000,4096,10000000000000000000,8192,feasible,feasible,both_feasible,True,0.08875594440000024,0.0,-0.11777641281087775,0.0030241573220053386,discrete conditional solution comparison
B6,power,T13,adjacent_context,10000000000000000000,8192,10000000000000000000,32768,feasible,feasible,both_feasible,True,0.29087015141375994,0.0,-0.46996786663792245,0.0038203401663541303,discrete conditional solution comparison
B6,power,T14,adjacent_context,10000000000000000000,32768,10000000000000000000,131072,feasible,infeasible,feasibility_boundary,,nan,nan,nan,nan,feasible-domain entry/exit; no numeric configuration difference
B6,power,T15,adjacent_context,10000000000000000000000,2048,10000000000000000000000,4096,feasible,feasible,both_feasible,True,0.051426415896141664,0.0,-0.06317932472447547,0.0005495092743552643,discrete conditional solution comparison
B6,power,T16,adjacent_context,10000000000000000000000,4096,10000000000000000000000,8192,feasible,feasible,both_feasible,True,0.08768841335055498,0.0,-0.10294584609308878,0.0,discrete conditional solution comparison
B6,power,T17,adjacent_context,10000000000000000000000,8192,10000000000000000000000,32768,feasible,feasible,both_feasible,True,0.2982116805785314,0.0,-0.46759821498835596,0.0,discrete conditional solution comparison
B6,power,T18,adjacent_context,10000000000000000000000,32768,10000000000000000000000,131072,feasible,feasible,both_feasible,True,0.2781979419451448,-0.902390278881251,-0.03921777877765775,0.0,discrete conditional solution comparison
B6,power,T19,adjacent_context,1000000000000000000000000,2048,1000000000000000000000000,4096,feasible,feasible,both_feasible,False,0.05337954617823131,0.0,0.0,0.0,discrete conditional solution comparison
B6,power,T20,adjacent_context,1000000000000000000000000,4096,1000000000000000000000000,8192,feasible,feasible,both_feasible,False,0.09042308930887864,0.0,0.0,0.0,discrete conditional solution comparison
B6,power,T21,adjacent_context,1000000000000000000000000,8192,1000000000000000000000000,32768,feasible,feasible,both_feasible,False,0.3022160137260553,0.0,0.0,0.0,discrete conditional solution comparison
B6,power,T22,adjacent_context,1000000000000000000000000,32768,1000000000000000000000000,131072,feasible,feasible,both_feasible,False,0.29772418880818785,0.0,0.0,0.0,discrete conditional solution comparison
B6,logarithmic,T01,adjacent_budget,10000000000000000000,2048,10000000000000000000000,2048,feasible,feasible,both_feasible,True,0.024823205775394146,4.577406035614165,2.3513525508940485,0.49409084746146825,discrete conditional solution comparison
B6,logarithmic,T02,adjacent_budget,10000000000000000000000,2048,1000000000000000000000000,2048,feasible,feasible,both_feasible,True,0.011311805294685694,0.5561956363450279,0.3088849787645157,0.0,discrete conditional solution comparison
B6,logarithmic,T03,adjacent_budget,10000000000000000000,4096,10000000000000000000000,4096,feasible,feasible,both_feasible,True,0.06672580717257208,4.577406035614165,2.3979145391362255,0.4867426703928073,discrete conditional solution comparison
B6,logarithmic,T04,adjacent_budget,10000000000000000000000,4096,1000000000000000000000000,4096,feasible,feasible,both_feasible,True,0.010659588146385514,0.5561956363450279,0.36772589163348385,0.0,discrete conditional solution comparison
