source,budget_flops,context_length_tokens,support_grid_points,feasible_at_Q0,status_at_Q0
B6,10000000000000000000,2048,1112,6,feasible
B6,10000000000000000000000,2048,1112,996,feasible
B6,1000000000000000000000000,2048,1112,1112,feasible
B6,10000000000000000000,4096,1112,5,feasible
B6,10000000000000000000000,4096,1112,985,feasible
B6,1000000000000000000000000,4096,1112,1112,feasible
B6,10000000000000000000,8192,1112,4,feasible
B6,10000000000000000000000,8192,1112,968,feasible
B6,1000000000000000000000000,8192,1112,1112,feasible
B6,10000000000000000000,32768,1112,1,feasible
B6,10000000000000000000000,32768,1112,905,feasible
B6,1000000000000000000000000,32768,1112,1112,feasible
B6,10000000000000000000,131072,1112,0,infeasible
B6,10000000000000000000000,131072,1112,729,feasible
B6,1000000000000000000000000,131072,1112,1112,feasible
B8_calibrated,10000000000000000000,2048,1128,10,feasible
B8_calibrated,10000000000000000000000,2048,1128,1012,feasible
B8_calibrated,1000000000000000000000000,2048,1128,1128,feasible
B8_calibrated,10000000000000000000,4096,1128,9,feasible
B8_calibrated,10000000000000000000000,4096,1128,1001,feasible
B8_calibrated,1000000000000000000000000,4096,1128,1128,feasible
B8_calibrated,10000000000000000000,8192,1128,7,feasible
B8_calibrated,10000000000000000000000,8192,1128,984,feasible
B8_calibrated,1000000000000000000000000,8192,1128,1128,feasible
B8_calibrated,10000000000000000000,32768,1128,3,feasible
B8_calibrated,10000000000000000000000,32768,1128,921,feasible
B8_calibrated,1000000000000000000000000,32768,1128,1128,feasible
B8_calibrated,10000000000000000000,131072,1128,0,infeasible
B8_calibrated,10000000000000000000000,131072,1128,745,feasible
B8_calibrated,1000000000000000000000000,131072,1128,1128,feasible
