scenario_id,budget_flops,context_length_tokens,m1_selected_grid_id,m1_selected_run_id,selected_N_B,selected_D_B,m0_predicted_val_loss,observed_val_loss,m3_search_allowed,budget_feasible,final_feasible,budget_feasible_candidate_count,m1_eligible_candidate_count,candidate_count,hit_N_min,hit_N_max,hit_D_min,hit_D_max,inside_convex_hull,interpolation_flag,extrapolation_flag,nearest_observed_distance_standardized_log,C_train_flops,C_Q_flops,C_attn_flops,C_total_flops,budget_utilization,budget_slack_flops
C10000000000000000000_L2048,10000000000000000000,2048,169,169,0.162405,8.389,3.030397627156985,3.0304,True,True,True,39,39,1176,False,False,False,False,True,False,False,0.0,8174493270000000000,0,5.58045407232e+17,8.732538677232e+18,0.8732538677232,1.267461322768e+18
C10000000000000000000000_L2048,10000000000000000000000,2048,1043,1043,6.86104,226.492,2.1456111666541906,2.1457,True,True,True,1060,1060,1176,False,False,False,False,True,False,False,0.0,9323824030080000000000,0,6.36506387120128e+20,9.960330417200127e+21,0.9960330417200128,3.9669582799872e+19
C1000000000000000000000000_L2048,1000000000000000000000000,2048,1232,1232,11.965825,299.893,2.093379471491827,2.0933,True,True,True,1176,1176,1176,False,True,False,True,True,False,False,0.0,21530802940350000000000,0,1.46983614739456e+21,2.300063908774456e+22,0.02300063908774456,9.769993609122555e+23
C10000000000000000000_L4096,10000000000000000000,4096,169,169,0.162405,8.389,3.030397627156985,3.0304,True,True,True,36,36,1176,False,False,False,False,True,False,False,0.0,8174493270000000000,0,1.116090814464e+18,9.290584084464e+18,0.9290584084464,7.09415915536e+17
C10000000000000000000000_L4096,10000000000000000000000,4096,1036,1036,6.86104,211.812,2.150758613533873,2.1509,True,True,True,1049,1049,1176,False,False,False,False,True,False,False,0.0,8719503626880000000000,0,1.190502895190016e+21,9.910006522070016e+21,0.9910006522070016,8.9993477929984e+19
C1000000000000000000000000_L4096,1000000000000000000000000,4096,1232,1232,11.965825,299.893,2.093379471491827,2.0933,True,True,True,1176,1176,1176,False,True,False,True,True,False,False,0.0,21530802940350000000000,0,2.93967229478912e+21,2.447047523513912e+22,0.02447047523513912,9.75529524764861e+23
C10000000000000000000_L8192,10000000000000000000,8192,168,168,0.162405,6.291,3.0877660039358146,3.0883,True,True,True,34,34,1176,False,False,False,False,True,False,False,0.0,6130139130000000000,0,1.673936658432e+18,7.804075788432e+18,0.7804075788432,2.195924211568e+18
C10000000000000000000000_L8192,10000000000000000000000,8192,1025,1025,6.86104,188.744,2.159845165552461,2.16,True,True,True,1032,1032,1176,False,False,False,False,True,False,False,0.0,7769880802560000000000,0,2.121695451152384e+21,9.891576253712385e+21,0.9891576253712384,1.08423746287616e+20
C1000000000000000000000000_L8192,1000000000000000000000000,8192,1232,1232,11.965825,299.893,2.093379471491827,2.0933,True,True,True,1176,1176,1176,False,True,False,True,True,False,False,0.0,21530802940350000000000,0,5.87934458957824e+21,2.741014752992824e+22,0.02741014752992824,9.725898524700717e+23
C10000000000000000000_L32768,10000000000000000000,32768,167,167,0.162405,4.194,3.1768463777891194,3.1771,True,True,True,27,27,1176,False,False,False,False,True,False,False,0.0,4086759420000000000,0,4.463831089152e+18,8.550590509152e+18,0.8550590509152,1.449409490848e+18
C10000000000000000000000_L32768,10000000000000000000000,32768,917,917,2.782831,285.213,2.194660077531802,2.1947,True,True,True,969,969,1176,False,False,False,False,True,False,False,0.0,4762197468018000000000,0,5.201589554400461e+21,9.96378702241846e+21,0.9963787022418461,3.62129775815392e+19
C1000000000000000000000000_L32768,1000000000000000000000000,32768,1232,1232,11.965825,299.893,2.093379471491827,2.0933,True,True,True,1176,1176,1176,False,True,False,True,True,False,False,0.0,21530802940350000000000,0,2.351737835831296e+22,4.504818129866296e+22,0.04504818129866296,9.54951818701337e+23
C10000000000000000000_L131072,10000000000000000000,131072,13,13,0.070542,4.194,3.392088334710602,3.3922,True,True,True,16,16,1176,True,False,False,False,True,False,False,0.0,1775118888000000000,0,7.7556127629312e+18,9.5307316509312e+18,0.95307316509312,4.692683490688e+17
C10000000000000000000000_L131072,10000000000000000000000,131072,834,834,2.782831,111.149,2.271590563800825,2.2715,True,True,True,793,793,1176,False,False,False,False,True,False,False,0.0,1855853296914000000000,0,8.108346777770394e+21,9.964200074684393e+21,0.9964200074684394,3.57999253156064e+19
C1000000000000000000000000_L131072,1000000000000000000000000,131072,1232,1232,11.965825,299.893,2.093379471491827,2.0933,True,True,True,1176,1176,1176,False,True,False,True,True,False,False,0.0,21530802940350000000000,0,9.406951343325183e+22,1.1560031637360184e+23,0.11560031637360184,8.843996836263981e+23
