grid_id,source_run_id,N_params_B,D_tokens_B,N_parameters,D_tokens,observed_exact,matched_run_id,observed_val_loss,m0_predicted_val_loss
8,8,0.070542,0.134,70542000,134000000,True,8,4.7388,4.738596534344956
9,9,0.070542,0.268,70542000,268000000,True,9,4.3541,4.35472814506313
10,10,0.070542,0.537,70542000,537000000,True,10,4.0384,4.037780658439814
11,11,0.070542,1.074,70542000,1074000000,True,11,3.7776,3.7774937251755762
12,12,0.070542,2.097,70542000,2097000000,True,12,3.5698,3.5698629338698034
13,13,0.070542,4.194,70542000,4194000000,True,13,3.3922,3.392088334710602
14,14,0.070542,6.291,70542000,6291000000,True,14,3.3024,3.3030079608572973
15,15,0.070542,8.389,70542000,8389000000,True,15,3.2452,3.245639584078467
16,16,0.070542,10.486,70542000,10486000000,True,16,3.2041,3.204237726070806
17,17,0.070542,12.583,70542000,12583000000,True,17,3.172,3.172276828465419
18,18,0.070542,14.68,70542000,14680000000,True,18,3.1466,3.146497507704912
19,19,0.070542,16.777,70542000,16777000000,True,19,3.1248,3.125047735324993
20,20,0.070542,18.874,70542000,18874000000,True,20,3.1064,3.1067815834917885
21,21,0.070542,20.972,70542000,20972000000,True,21,3.0913,3.090937259262238
22,22,0.070542,23.069,70542000,23069000000,True,22,3.077,3.0770082475890432
23,23,0.070542,25.166,70542000,25166000000,True,23,3.0646,3.0646123273897925
24,24,0.070542,27.263,70542000,27263000000,True,24,3.0531,3.0534726174847138
25,25,0.070542,29.36,70542000,29360000000,True,25,3.0432,3.0433789167666854
26,26,0.070542,31.457,70542000,31457000000,True,26,3.0342,3.034168177830083
27,27,0.070542,33.554,70542000,33554000000,True,27,3.0254,3.0257115845298816
28,28,0.070542,35.652,70542000,35652000000,True,28,3.018,3.0179021551616345
29,29,0.070542,37.749,70542000,37749000000,True,29,3.0105,3.010663146506209
30,30,0.070542,39.846,70542000,39846000000,True,30,3.0039,3.003921356223641
31,31,0.070542,41.943,70542000,41943000000,True,31,2.9975,2.997619038194978
32,32,0.070542,44.04,70542000,44040000000,True,32,2.9921,2.9917076280930033
33,33,0.070542,46.137,70542000,46137000000,True,33,2.9861,2.9861459261858094
34,34,0.070542,48.234,70542000,48234000000,True,34,2.9807,2.9808987042587125
35,35,0.070542,50.332,70542000,50332000000,True,35,2.9761,2.975933320595597
36,36,0.070542,52.429,70542000,52429000000,True,36,2.971,2.9712282006321384
37,37,0.070542,54.526,70542000,54526000000,True,37,2.9668,2.9667579805300357
38,38,0.070542,56.623,70542000,56623000000,True,38,2.9621,2.9625025528837536
39,39,0.070542,58.72,70542000,58720000000,True,39,2.9582,2.958444197011698
40,40,0.070542,60.817,70542000,60817000000,True,40,2.9546,2.9545672221648145
41,41,0.070542,62.915,70542000,62915000000,True,41,2.951,2.9508559432426593
42,42,0.070542,65.012,70542000,65012000000,True,42,2.9473,2.9473014335698133
43,43,0.070542,67.109,70542000,67109000000,True,43,2.9439,2.943890717824711
44,44,0.070542,69.206,70542000,69206000000,True,44,2.9406,2.9406137509063326
45,45,0.070542,71.303,70542000,71303000000,True,45,2.9372,2.9374614672707926
46,46,0.070542,73.4,70542000,73400000000,True,46,2.9343,2.934425659878045
47,47,0.070542,75.497,70542000,75497000000,True,47,2.9314,2.931498877076593
48,48,0.070542,77.595,70542000,77595000000,True,48,2.9289,2.928673010788564
49,49,0.070542,79.692,70542000,79692000000,True,49,2.926,2.925944559298974
50,50,0.070542,81.789,70542000,81789000000,True,50,2.923,2.923306484562613
51,51,0.070542,83.886,70542000,83886000000,True,51,2.9208,2.9207535882946094
52,52,0.070542,85.983,70542000,85983000000,True,52,2.9182,2.918281091780247
53,53,0.070542,88.08,70542000,88080000000,True,53,2.9158,2.9158845927449244
54,54,0.070542,90.178,70542000,90178000000,True,54,2.9137,2.91355893559667
55,55,0.070542,92.275,70542000,92275000000,True,55,2.9115,2.9113025777450074
56,56,0.070542,94.372,70542000,94372000000,True,56,2.9093,2.9091109119236296
57,57,0.070542,96.469,70542000,96469000000,True,57,2.9068,2.9069807064574262
58,58,0.070542,98.566,70542000,98566000000,True,58,2.9049,2.9049089569451625
59,59,0.070542,100.663,70542000,100663000000,True,59,2.903,2.9028928658400863
60,60,0.070542,102.76,70542000,102760000000,True,60,2.9011,2.900929824247286
61,61,0.070542,104.858,70542000,104858000000,True,61,2.8989,2.899016495379502
62,62,0.070542,106.955,70542000,106955000000,True,62,2.8971,2.8971524236274058
63,63,0.070542,109.052,70542000,109052000000,True,63,2.8951,2.8953345512396464
64,64,0.070542,111.149,70542000,111149000000,True,64,2.8933,2.8935608772842816
65,65,0.070542,113.246,70542000,113246000000,True,65,2.892,2.89182952318131
66,66,0.070542,115.343,70542000,115343000000,True,66,2.8904,2.890138723118608
67,67,0.070542,117.441,70542000,117441000000,True,67,2.8885,2.8884860366543688
68,68,0.070542,119.538,70542000,119538000000,True,68,2.8871,2.8868714731843936
69,69,0.070542,121.635,70542000,121635000000,True,69,2.8854,2.8852927594515196
70,70,0.070542,123.732,70542000,123732000000,True,70,2.8836,2.8837485016647135
71,71,0.070542,125.829,70542000,125829000000,True,71,2.8823,2.882237382684181
72,72,0.070542,127.926,70542000,127926000000,True,72,2.8811,2.8807581566113365
73,73,0.070542,130.023,70542000,130023000000,True,73,2.8793,2.879309643842188
74,74,0.070542,132.121,70542000,132121000000,True,74,2.8782,2.877890056785291
75,75,0.070542,134.218,70542000,134218000000,True,75,2.876,2.876499688080937
76,76,0.070542,136.315,70542000,136315000000,True,76,2.8753,2.8751368477142476
77,77,0.070542,138.412,70542000,138412000000,True,77,2.8738,2.873800579565911
