sample_id,run_id,N_params_B,D_tokens_B,observed_val_loss,m0_predicted_val_loss
8,8,0.070542,0.134,4.7388,4.738596534344956
9,9,0.070542,0.268,4.3541,4.35472814506313
10,10,0.070542,0.537,4.0384,4.037780658439814
11,11,0.070542,1.074,3.7776,3.7774937251755762
12,12,0.070542,2.097,3.5698,3.5698629338698034
13,13,0.070542,4.194,3.3922,3.392088334710602
14,14,0.070542,6.291,3.3024,3.3030079608572973
15,15,0.070542,8.389,3.2452,3.245639584078467
16,16,0.070542,10.486,3.2041,3.204237726070806
17,17,0.070542,12.583,3.172,3.172276828465419
18,18,0.070542,14.68,3.1466,3.146497507704912
19,19,0.070542,16.777,3.1248,3.125047735324993
20,20,0.070542,18.874,3.1064,3.1067815834917885
21,21,0.070542,20.972,3.0913,3.090937259262238
22,22,0.070542,23.069,3.077,3.0770082475890432
23,23,0.070542,25.166,3.0646,3.0646123273897925
24,24,0.070542,27.263,3.0531,3.0534726174847138
25,25,0.070542,29.36,3.0432,3.0433789167666854
26,26,0.070542,31.457,3.0342,3.034168177830083
27,27,0.070542,33.554,3.0254,3.0257115845298816
28,28,0.070542,35.652,3.018,3.0179021551616345
29,29,0.070542,37.749,3.0105,3.010663146506209
30,30,0.070542,39.846,3.0039,3.003921356223641
31,31,0.070542,41.943,2.9975,2.997619038194978
32,32,0.070542,44.04,2.9921,2.9917076280930033
33,33,0.070542,46.137,2.9861,2.9861459261858094
34,34,0.070542,48.234,2.9807,2.9808987042587125
35,35,0.070542,50.332,2.9761,2.975933320595597
36,36,0.070542,52.429,2.971,2.9712282006321384
37,37,0.070542,54.526,2.9668,2.9667579805300357
38,38,0.070542,56.623,2.9621,2.9625025528837536
39,39,0.070542,58.72,2.9582,2.958444197011698
40,40,0.070542,60.817,2.9546,2.9545672221648145
41,41,0.070542,62.915,2.951,2.9508559432426593
42,42,0.070542,65.012,2.9473,2.9473014335698133
43,43,0.070542,67.109,2.9439,2.943890717824711
44,44,0.070542,69.206,2.9406,2.9406137509063326
45,45,0.070542,71.303,2.9372,2.9374614672707926
46,46,0.070542,73.4,2.9343,2.934425659878045
47,47,0.070542,75.497,2.9314,2.931498877076593
48,48,0.070542,77.595,2.9289,2.928673010788564
49,49,0.070542,79.692,2.926,2.925944559298974
50,50,0.070542,81.789,2.923,2.923306484562613
51,51,0.070542,83.886,2.9208,2.9207535882946094
52,52,0.070542,85.983,2.9182,2.918281091780247
53,53,0.070542,88.08,2.9158,2.9158845927449244
54,54,0.070542,90.178,2.9137,2.91355893559667
55,55,0.070542,92.275,2.9115,2.9113025777450074
56,56,0.070542,94.372,2.9093,2.9091109119236296
57,57,0.070542,96.469,2.9068,2.9069807064574262
58,58,0.070542,98.566,2.9049,2.9049089569451625
59,59,0.070542,100.663,2.903,2.9028928658400863
60,60,0.070542,102.76,2.9011,2.900929824247286
61,61,0.070542,104.858,2.8989,2.899016495379502
62,62,0.070542,106.955,2.8971,2.8971524236274058
63,63,0.070542,109.052,2.8951,2.8953345512396464
64,64,0.070542,111.149,2.8933,2.8935608772842816
65,65,0.070542,113.246,2.892,2.89182952318131
