model_form,budget_flops,context_length_tokens,original_full_m0_run_id,same_form_full_fit_run_id,unique_loo_selected_points,modal_selected_run_id,modal_selection_frequency,match_current_full_m0_count,match_current_full_m0_rate,match_same_form_full_fit_count,match_same_form_full_fit_rate,excluded_track_selected_folds,selected_N_B_min,selected_N_B_max,selected_D_B_min,selected_D_B_max,selected_loss_min,selected_loss_max
m0_current,10000000000000000000,2048,169,169,1,169,1,8,1,8,1,1,0.162405,0.162405,8.389,8.389,3.03037764948,3.0304352716
m0_current,10000000000000000000,4096,169,169,1,169,1,8,1,8,1,1,0.162405,0.162405,8.389,8.389,3.03037764948,3.0304352716
m0_current,10000000000000000000,8192,168,168,1,168,1,8,1,8,1,1,0.162405,0.162405,6.291,6.291,3.08774467789,3.08780464423
m0_current,10000000000000000000,32768,167,167,1,167,1,8,1,8,1,1,0.162405,0.162405,4.194,4.194,3.17682305859,3.17688602757
m0_current,10000000000000000000,131072,13,13,1,13,1,8,1,8,1,1,0.070542,0.070542,4.194,4.194,3.39206588732,3.39217486059
m0_current,10000000000000000000000,2048,1043,1043,1,1043,1,8,1,8,1,1,6.86104,6.86104,226.492,226.492,2.14560593356,2.14561640932
m0_current,10000000000000000000000,4096,1036,1036,1,1036,1,8,1,8,1,1,6.86104,6.86104,211.812,211.812,2.15075327108,2.15076367841
m0_current,10000000000000000000000,8192,1025,1025,1,1025,1,8,1,8,1,1,6.86104,6.86104,188.744,188.744,2.15983963272,2.15984991926
m0_current,10000000000000000000000,32768,917,917,1,917,1,8,1,8,1,1,2.782831,2.782831,285.213,285.213,2.19464946176,2.19466503518
m0_current,10000000000000000000000,131072,834,834,1,834,1,8,1,8,1,1,2.782831,2.782831,111.149,111.149,2.27158551414,2.27159378802
m0_current,1000000000000000000000000,2048,1232,1232,1,1232,1,8,1,8,1,1,11.965825,11.965825,299.893,299.893,2.09337256926,2.09338769544
m0_current,1000000000000000000000000,4096,1232,1232,1,1232,1,8,1,8,1,1,11.965825,11.965825,299.893,299.893,2.09337256926,2.09338769544
m0_current,1000000000000000000000000,8192,1232,1232,1,1232,1,8,1,8,1,1,11.965825,11.965825,299.893,299.893,2.09337256926,2.09338769544
m0_current,1000000000000000000000000,32768,1232,1232,1,1232,1,8,1,8,1,1,11.965825,11.965825,299.893,299.893,2.09337256926,2.09338769544
m0_current,1000000000000000000000000,131072,1232,1232,1,1232,1,8,1,8,1,1,11.965825,11.965825,299.893,299.893,2.09337256926,2.09338769544
m0_no_floor,10000000000000000000,2048,169,21,1,21,1,0,0,8,1,1,0.070542,0.070542,20.972,20.972,2.94380900955,3.03913022488
m0_no_floor,10000000000000000000,4096,169,20,2,20,0.875,1,0.125,7,0.875,1,0.070542,0.162405,8.389,18.874,2.95971957257,3.05269789583
m0_no_floor,10000000000000000000,8192,168,19,1,19,1,0,0,8,1,1,0.070542,0.070542,16.777,16.777,2.97805747056,3.07354208521
m0_no_floor,10000000000000000000,32768,167,16,1,16,1,0,0,8,1,1,0.070542,0.070542,10.486,10.486,3.05750498203,3.15329331364
m0_no_floor,10000000000000000000,131072,13,13,1,13,1,8,1,8,1,1,0.070542,0.070542,4.194,4.194,3.24566604435,3.34181414862
m0_no_floor,10000000000000000000000,2048,1043,1151,1,1151,1,0,0,8,1,1,11.965825,11.965825,130.023,130.023,2.0616371315,2.12038954815
m0_no_floor,10000000000000000000000,4096,1036,1147,1,1147,1,0,0,8,1,1,11.965825,11.965825,121.635,121.635,2.06773024222,2.12642271039
m0_no_floor,10000000000000000000000,8192,1025,1141,1,1141,1,0,0,8,1,1,11.965825,11.965825,109.052,109.052,2.07795218689,2.13654648652
m0_no_floor,10000000000000000000000,32768,917,1120,1,1120,1,0,0,8,1,1,11.965825,11.965825,65.012,65.012,2.13076790128,2.18889995288
m0_no_floor,10000000000000000000000,131072,834,956,2,956,0.875,1,0.125,7,0.875,1,2.782831,6.86104,44.04,111.149,2.24566785208,2.29046586619
m0_no_floor,1000000000000000000000000,2048,1232,1232,1,1232,1,8,1,8,1,1,11.965825,11.965825,299.893,299.893,1.9940391742,2.05353508735
m0_no_floor,1000000000000000000000000,4096,1232,1232,1,1232,1,8,1,8,1,1,11.965825,11.965825,299.893,299.893,1.9940391742,2.05353508735
m0_no_floor,1000000000000000000000000,8192,1232,1232,1,1232,1,8,1,8,1,1,11.965825,11.965825,299.893,299.893,1.9940391742,2.05353508735
m0_no_floor,1000000000000000000000000,32768,1232,1232,1,1232,1,8,1,8,1,1,11.965825,11.965825,299.893,299.893,1.9940391742,2.05353508735
m0_no_floor,1000000000000000000000000,131072,1232,1232,1,1232,1,8,1,8,1,1,11.965825,11.965825,299.893,299.893,1.9940391742,2.05353508735
m0_shared_exponent,10000000000000000000,2048,169,169,1,169,1,8,1,8,1,1,0.162405,0.162405,8.389,8.389,3.0185840591,3.02776590559
m0_shared_exponent,10000000000000000000,4096,169,169,1,169,1,8,1,8,1,1,0.162405,0.162405,8.389,8.389,3.0185840591,3.02776590559
m0_shared_exponent,10000000000000000000,8192,168,168,1,168,1,8,1,8,1,1,0.162405,0.162405,6.291,6.291,3.07573034493,3.08475513153
m0_shared_exponent,10000000000000000000,32768,167,167,1,167,1,8,1,8,1,1,0.162405,0.162405,4.194,4.194,3.16465940848,3.17356868216
m0_shared_exponent,10000000000000000000,131072,13,13,1,13,1,8,1,8,1,1,0.070542,0.070542,4.194,4.194,3.35673569993,3.37521046346
m0_shared_exponent,10000000000000000000000,2048,1043,1043,1,1043,1,8,1,8,1,1,6.86104,6.86104,226.492,226.492,2.13709925513,2.14351681598
m0_shared_exponent,10000000000000000000000,4096,1036,1036,1,1036,1,8,1,8,1,1,6.86104,6.86104,211.812,211.812,2.14203432568,2.14853625744
m0_shared_exponent,10000000000000000000000,8192,1025,1025,1,1025,1,8,1,8,1,1,6.86104,6.86104,188.744,188.744,2.15075427536,2.15740190933
m0_shared_exponent,10000000000000000000000,32768,917,990,1,990,1,0,0,8,1,1,6.86104,6.86104,115.343,115.343,2.19146499959,2.19873954934
m0_shared_exponent,10000000000000000000000,131072,834,834,1,834,1,8,1,8,1,1,2.782831,2.782831,111.149,111.149,2.26914045193,2.27403670543
m0_shared_exponent,1000000000000000000000000,2048,1232,1232,1,1232,1,8,1,8,1,1,11.965825,11.965825,299.893,299.893,2.08041021039,2.08780014821
m0_shared_exponent,1000000000000000000000000,4096,1232,1232,1,1232,1,8,1,8,1,1,11.965825,11.965825,299.893,299.893,2.08041021039,2.08780014821
m0_shared_exponent,1000000000000000000000000,8192,1232,1232,1,1232,1,8,1,8,1,1,11.965825,11.965825,299.893,299.893,2.08041021039,2.08780014821
m0_shared_exponent,1000000000000000000000000,32768,1232,1232,1,1232,1,8,1,8,1,1,11.965825,11.965825,299.893,299.893,2.08041021039,2.08780014821
m0_shared_exponent,1000000000000000000000000,131072,1232,1232,1,1232,1,8,1,8,1,1,11.965825,11.965825,299.893,299.893,2.08041021039,2.08780014821
