scenario_id,budget_flops,context_length_tokens,grid_id,source_run_id,N_params_B,D_tokens_B,support_feasible,support_feasible_source_column,budget_feasible_recomputed,budget_feasible_existing,final_feasible_recomputed,cost_fields_match,mask_fields_match,C_train_flops,C_Q_flops,C_attn_flops,C_total_flops,budget_slack_flops
C10000000000000000000_L2048,10000000000000000000,2048,8,8,0.070542,0.134,True,m3_search_allowed,True,True,True,True,True,56715768000000000,0,3871796428800000,60587564428800000,9939412435571200000
C10000000000000000000_L2048,10000000000000000000,2048,9,9,0.070542,0.268,True,m3_search_allowed,True,True,True,True,True,113431536000000000,0,7743592857600000,121175128857600000,9878824871142400000
C10000000000000000000_L2048,10000000000000000000,2048,10,10,0.070542,0.537,True,m3_search_allowed,True,True,True,True,True,227286324000000000,0,15516079718400000,242802403718400000,9757197596281600000
C10000000000000000000_L2048,10000000000000000000,2048,11,11,0.070542,1.074,True,m3_search_allowed,True,True,True,True,True,454572648000000000,0,31032159436800000,485604807436800000,9514395192563200000
C10000000000000000000_L2048,10000000000000000000,2048,12,12,0.070542,2.097,True,m3_search_allowed,True,True,True,True,True,887559444000000000,0,60590724710400000,948150168710400000,9051849831289600000
C10000000000000000000_L2048,10000000000000000000,2048,13,13,0.070542,4.194,True,m3_search_allowed,True,True,True,True,True,1775118888000000000,0,121181449420800000,1896300337420800000,8103699662579200000
C10000000000000000000_L2048,10000000000000000000,2048,14,14,0.070542,6.291,True,m3_search_allowed,True,True,True,True,True,2662678332000000000,0,181772174131200000,2844450506131200000,7155549493868800000
C10000000000000000000_L2048,10000000000000000000,2048,15,15,0.070542,8.389,True,m3_search_allowed,True,True,True,True,True,3550661028000000000,0,242391792844800000,3793052820844800000,6206947179155200000
C10000000000000000000_L2048,10000000000000000000,2048,16,16,0.070542,10.486,True,m3_search_allowed,True,True,True,True,True,4438220472000000000,0,302982517555200000,4741202989555200000,5258797010444800000
C10000000000000000000_L2048,10000000000000000000,2048,17,17,0.070542,12.583,True,m3_search_allowed,True,True,True,True,True,5325779916000000000,0,363573242265600000,5689353158265600000,4310646841734400000
C10000000000000000000_L2048,10000000000000000000,2048,18,18,0.070542,14.68,True,m3_search_allowed,True,True,True,True,True,6213339360000000000,0,424163966976000000,6637503326976000000,3362496673024000000
C10000000000000000000_L2048,10000000000000000000,2048,19,19,0.070542,16.777,True,m3_search_allowed,True,True,True,True,True,7100898804000000000,0,484754691686400000,7585653495686400000,2414346504313600000
C10000000000000000000_L2048,10000000000000000000,2048,20,20,0.070542,18.874,True,m3_search_allowed,True,True,True,True,True,7988458248000000000,0,545345416396800000,8533803664396800000,1466196335603200000
C10000000000000000000_L2048,10000000000000000000,2048,21,21,0.070542,20.972,True,m3_search_allowed,True,True,True,True,True,8876440944000000000,0,605965035110400000,9482405979110400000,517594020889600000
C10000000000000000000_L2048,10000000000000000000,2048,22,22,0.070542,23.069,True,m3_search_allowed,False,False,False,True,True,9764000388000000000,0,666555759820800000,10430556147820800000,-430556147820800000
C10000000000000000000_L2048,10000000000000000000,2048,23,23,0.070542,25.166,True,m3_search_allowed,False,False,False,True,True,10651559832000000000,0,727146484531200000,11378706316531200000,-1378706316531200000
C10000000000000000000_L2048,10000000000000000000,2048,24,24,0.070542,27.263,True,m3_search_allowed,False,False,False,True,True,11539119276000000000,0,787737209241600000,12326856485241600000,-2326856485241600000
C10000000000000000000_L2048,10000000000000000000,2048,25,25,0.070542,29.36,True,m3_search_allowed,False,False,False,True,True,12426678720000000000,0,848327933952000000,13275006653952000000,-3275006653952000000
C10000000000000000000_L2048,10000000000000000000,2048,26,26,0.070542,31.457,True,m3_search_allowed,False,False,False,True,True,13314238164000000000,0,908918658662400000,14223156822662400000,-4223156822662400000
C10000000000000000000_L2048,10000000000000000000,2048,27,27,0.070542,33.554,True,m3_search_allowed,False,False,False,True,True,14201797608000000000,0,969509383372800000,15171306991372800000,-5171306991372800000
C10000000000000000000_L2048,10000000000000000000,2048,28,28,0.070542,35.652,True,m3_search_allowed,False,False,False,True,True,15089780304000000000,0,1030129002086400000,16119909306086400000,-6119909306086400000
C10000000000000000000_L2048,10000000000000000000,2048,29,29,0.070542,37.749,True,m3_search_allowed,False,False,False,True,True,15977339748000000000,0,1090719726796800000,17068059474796800000,-7068059474796800000
