budget_flops,context_length_tokens,candidate_count,support_allowed_count,budget_feasible_count,final_feasible_count,M0_feasible_count,M0_feasible_count_match,min_final_feasible_cost_flops,max_final_feasible_cost_flops,max_feasible_cost_budget_ratio
10000000000000000000,2048,1176,1176,39,39,39,True,6.05875644288e+16,9.7488837659136e+18,0.97488837659136
10000000000000000000000,2048,1176,1176,1060,1060,1060,True,6.05875644288e+16,9.97226376109416e+21,0.9972263761094159
1000000000000000000000000,2048,1176,1176,1176,1176,1176,True,6.05875644288e+16,2.300063908774456e+22,0.02300063908774456
10000000000000000000,4096,1176,1176,36,36,36,True,6.44593608576e+16,9.290584084464e+18,0.9290584084464001
10000000000000000000000,4096,1176,1176,1049,1049,1049,True,6.44593608576e+16,9.9250941343284e+21,0.9925094134328399
1000000000000000000000000,4096,1176,1176,1176,1176,1176,True,6.44593608576e+16,2.447047523513912e+22,0.02447047523513912
10000000000000000000,8192,1176,1176,34,34,34,True,7.22029537152e+16,9.0399175707456e+18,0.90399175707456
10000000000000000000000,8192,1176,1176,1032,1032,1032,True,7.22029537152e+16,9.96732637451936e+21,0.996732637451936
1000000000000000000000000,8192,1176,1176,1176,1176,1176,True,7.22029537152e+16,2.741014752992824e+22,0.02741014752992824
10000000000000000000,32768,1176,1176,27,27,27,True,1.186645108608e+17,9.5468974073088e+18,0.95468974073088
10000000000000000000000,32768,1176,1176,969,969,969,True,1.186645108608e+17,9.96378702241846e+21,0.996378702241846
1000000000000000000000000,32768,1176,1176,1176,1176,1176,True,1.186645108608e+17,4.504818129866296e+22,0.04504818129866296
10000000000000000000,131072,1176,1176,16,16,16,True,3.045107394432e+17,9.5307316509312e+18,0.95307316509312
10000000000000000000000,131072,1176,1176,793,793,793,True,3.045107394432e+17,9.985369648869902e+21,0.9985369648869902
1000000000000000000000000,131072,1176,1176,1176,1176,1176,True,3.045107394432e+17,1.1560031637360184e+23,0.11560031637360184
