grid_id,N_params_B,D_tokens_B,inside_N_range,inside_D_range,inside_range_box,observed_exact,inside_convex_hull,interpolation_candidate,extrapolation_flag,nearest_observed_distance_standardized_log,support_class,m3_search_allowed,support_policy
8,0.070542,0.134,True,True,True,True,True,False,False,0.0,observed_exact,True,exact_observed_only; hull and distance are diagnostics
9,0.070542,0.268,True,True,True,True,True,False,False,0.0,observed_exact,True,exact_observed_only; hull and distance are diagnostics
10,0.070542,0.537,True,True,True,True,True,False,False,0.0,observed_exact,True,exact_observed_only; hull and distance are diagnostics
11,0.070542,1.074,True,True,True,True,True,False,False,0.0,observed_exact,True,exact_observed_only; hull and distance are diagnostics
12,0.070542,2.097,True,True,True,True,True,False,False,0.0,observed_exact,True,exact_observed_only; hull and distance are diagnostics
13,0.070542,4.194,True,True,True,True,True,False,False,0.0,observed_exact,True,exact_observed_only; hull and distance are diagnostics
14,0.070542,6.291,True,True,True,True,True,False,False,0.0,observed_exact,True,exact_observed_only; hull and distance are diagnostics
15,0.070542,8.389,True,True,True,True,True,False,False,0.0,observed_exact,True,exact_observed_only; hull and distance are diagnostics
16,0.070542,10.486,True,True,True,True,True,False,False,0.0,observed_exact,True,exact_observed_only; hull and distance are diagnostics
17,0.070542,12.583,True,True,True,True,True,False,False,0.0,observed_exact,True,exact_observed_only; hull and distance are diagnostics
18,0.070542,14.68,True,True,True,True,True,False,False,0.0,observed_exact,True,exact_observed_only; hull and distance are diagnostics
19,0.070542,16.777,True,True,True,True,True,False,False,0.0,observed_exact,True,exact_observed_only; hull and distance are diagnostics
20,0.070542,18.874,True,True,True,True,True,False,False,0.0,observed_exact,True,exact_observed_only; hull and distance are diagnostics
21,0.070542,20.972,True,True,True,True,True,False,False,0.0,observed_exact,True,exact_observed_only; hull and distance are diagnostics
22,0.070542,23.069,True,True,True,True,True,False,False,0.0,observed_exact,True,exact_observed_only; hull and distance are diagnostics
23,0.070542,25.166,True,True,True,True,True,False,False,0.0,observed_exact,True,exact_observed_only; hull and distance are diagnostics
