context_length_tokens,transition,from_budget_flops,to_budget_flops,budget_increment_flops,budget_multiple,budget_increase_decades,from_grid_id,to_grid_id,from_N_params_B,from_D_tokens_B,to_N_params_B,to_D_tokens_B,from_m0_predicted_val_loss,to_m0_predicted_val_loss,loss_reduction,relative_loss_reduction,loss_reduction_per_budget_decade,from_actual_cost_flops,to_actual_cost_flops,actual_cost_increment_flops,loss_reduction_per_1e21_added_actual_flops,from_optimum_bootstrap_selection_frequency,to_optimum_bootstrap_selection_frequency,bootstrap_loss_reduction_p2_5,bootstrap_loss_reduction_median,bootstrap_loss_reduction_p97_5,bootstrap_positive_gain_fraction,bootstrap_replicates,from_at_b1_N_upper,from_at_b1_D_upper,to_at_b1_N_upper,to_at_b1_D_upper,interpretation
2048,low_to_mid,10000000000000000000,10000000000000000000000,9990000000000000000000,1000.0,3.0,169,1043,0.162405,8.389,6.86104,226.492,3.030397627156985,2.1456111666541906,0.8847864605027942,0.2919704175365497,0.2949288201675981,8.732538677232e+18,9.960330417200127e+21,9.951597878522895e+21,0.08890898439659643,1.0,1.0,0.8847009572022607,0.88479129899382,0.8848572003824716,1.0,1000,False,False,False,False,fixed-Q0 B1/M0 in-sample support-grid sensitivity; not causal or full Q3 Q/p optimum
2048,mid_to_high,10000000000000000000000,1000000000000000000000000,990000000000000000000000,100.0,2.0,1043,1232,6.86104,226.492,11.965825,299.893,2.1456111666541906,2.093379471491827,0.05223169516236359,0.024343504533401696,0.026115847581181795,9.960330417200127e+21,2.300063908774456e+22,1.3040308670544432e+22,0.004005403283155791,1.0,1.0,0.052222447675391095,0.05223006866764468,0.05224109900180602,1.0,1000,False,False,True,True,fixed-Q0 B1/M0 in-sample support-grid sensitivity; not causal or full Q3 Q/p optimum
4096,low_to_mid,10000000000000000000,10000000000000000000000,9990000000000000000000,1000.0,3.0,169,1036,0.162405,8.389,6.86104,211.812,3.030397627156985,2.150758613533873,0.8796390136231116,0.2902718130915245,0.2932130045410372,9.290584084464e+18,9.910006522070016e+21,9.900715937985552e+21,0.08884600054509666,1.0,1.0,0.8795549325964623,0.8796438702101717,0.8797089122179066,1.0,1000,False,False,False,False,fixed-Q0 B1/M0 in-sample support-grid sensitivity; not causal or full Q3 Q/p optimum
4096,mid_to_high,10000000000000000000000,1000000000000000000000000,990000000000000000000000,100.0,2.0,1036,1232,6.86104,211.812,11.965825,299.893,2.150758613533873,2.093379471491827,0.057379142042046194,0.026678559686327395,0.028689571021023097,9.910006522070016e+21,2.447047523513912e+22,1.4560468713069104e+22,0.003940748280345133,1.0,1.0,0.05736922211378594,0.057377496509899206,0.05738827686659052,1.0,1000,False,False,True,True,fixed-Q0 B1/M0 in-sample support-grid sensitivity; not causal or full Q3 Q/p optimum
8192,low_to_mid,10000000000000000000,10000000000000000000000,9990000000000000000000,1000.0,3.0,168,1025,0.162405,6.291,6.86104,188.744,3.0877660039358146,2.159845165552461,0.9279208383833537,0.3005152712998917,0.3093069461277846,7.804075788432e+18,9.891576253712385e+21,9.883772177923952e+21,0.09388326862247243,1.0,1.0,0.9278354425863794,0.9279266172055762,0.927992682235379,1.0,1000,False,False,False,False,fixed-Q0 B1/M0 in-sample support-grid sensitivity; not causal or full Q3 Q/p optimum
8192,mid_to_high,10000000000000000000000,1000000000000000000000000,990000000000000000000000,100.0,2.0,1025,1232,6.86104,188.744,11.965825,299.893,2.159845165552461,2.093379471491827,0.06646569406063385,0.030773360572646777,0.033232847030316925,9.891576253712385e+21,2.741014752992824e+22,1.7518571276215857e+22,0.003794013393710434,1.0,1.0,0.06645471119186779,0.06646430682026416,0.06647634584030458,1.0,1000,False,False,True,True,fixed-Q0 B1/M0 in-sample support-grid sensitivity; not causal or full Q3 Q/p optimum
32768,low_to_mid,10000000000000000000,10000000000000000000000,9990000000000000000000,1000.0,3.0,167,917,0.162405,4.194,2.782831,285.213,3.1768463777891194,2.194660077531802,0.9821863002573172,0.30917022211846945,0.32739543341910576,8.550590509152e+18,9.96378702241846e+21,9.95523643190931e+21,0.09866026859082283,1.0,1.0,0.9820959167085802,0.982191782967281,0.9822729374497893,1.0,1000,False,False,False,False,fixed-Q0 B1/M0 in-sample support-grid sensitivity; not causal or full Q3 Q/p optimum
32768,mid_to_high,10000000000000000000000,1000000000000000000000000,990000000000000000000000,100.0,2.0,917,1232,2.782831,285.213,11.965825,299.893,2.194660077531802,2.093379471491827,0.10128060603997513,0.04614865284918252,0.050640303019987565,9.96378702241846e+21,4.504818129866296e+22,3.50843942762445e+22,0.0028867708315703147,1.0,1.0,0.10125939289120961,0.10127770511026957,0.10130847360898729,1.0,1000,False,False,True,True,fixed-Q0 B1/M0 in-sample support-grid sensitivity; not causal or full Q3 Q/p optimum
131072,low_to_mid,10000000000000000000,10000000000000000000000,9990000000000000000000,1000.0,3.0,13,834,0.070542,4.194,2.782831,111.149,3.392088334710602,2.271590563800825,1.1204977709097772,0.33032682534942687,0.37349925696992575,9.5307316509312e+18,9.964200074684393e+21,9.954669343033463e+21,0.11256001905215773,1.0,1.0,1.1204128356755416,1.1205005091980198,1.1206283494573133,1.0,1000,False,False,False,False,fixed-Q0 B1/M0 in-sample support-grid sensitivity; not causal or full Q3 Q/p optimum
131072,mid_to_high,10000000000000000000000,1000000000000000000000000,990000000000000000000000,100.0,2.0,834,1232,2.782831,111.149,11.965825,299.893,2.271590563800825,2.093379471491827,0.1782110923089979,0.07845211859430122,0.08910554615449895,9.964200074684393e+21,1.1560031637360184e+23,1.0563611629891744e+23,0.0016870280596525888,1.0,1.0,0.17818529998067692,0.178207713873062,0.17823624027576865,1.0,1000,False,False,True,True,fixed-Q0 B1/M0 in-sample support-grid sensitivity; not causal or full Q3 Q/p optimum
