q0_branch,q0_basis,q0,budget_flops,context_length_tokens,g_function,beta_Q_units,beta_Q_first_ND_reallocation,first_reallocated_run_id,first_reallocated_N_B,first_reallocated_D_B,first_reallocated_Q,conditional_envelope_segments,baseline_run_id,claim_boundary
q_huber_point,frozen operational Q1 main interface,0.49847810484764643,10000000000000000000,2048,exponential,validation-loss units per one Q-score unit; beta_Q is unknown,0.45370075185340486,168,0.162405,6.291,0.7190585219032221,5,169,conditional linear Q-only response; not estimated from Q2; p excluded
q_huber_ci95_low,lower endpoint of A1 seven-domain macro 95% interval,0.496567443226065,10000000000000000000,2048,exponential,validation-loss units per one Q-score unit; beta_Q is unknown,0.4516399312070634,168,0.162405,6.291,0.7185520266512367,5,169,conditional linear Q-only response; not estimated from Q2; p excluded
q_huber_ci95_high,upper endpoint of A1 seven-domain macro 95% interval,0.5004265176398414,10000000000000000000,2048,exponential,validation-loss units per one Q-score unit; beta_Q is unknown,0.4558258307530683,168,0.162405,6.291,0.7195794310600276,5,169,conditional linear Q-only response; not estimated from Q2; p excluded
q_equal_sensitivity,frozen Q1 sensitivity interface; not an uncertainty endpoint,0.4962230100496153,10000000000000000000,2048,exponential,validation-loss units per one Q-score unit; beta_Q is unknown,0.45127084095490716,168,0.162405,6.291,0.7184611746320027,5,169,conditional linear Q-only response; not estimated from Q2; p excluded
q_huber_point,frozen operational Q1 main interface,0.49847810484764643,10000000000000000000,2048,power4,validation-loss units per one Q-score unit; beta_Q is unknown,0.5140038299743166,320,0.409009,2.097,0.8371586506036507,3,169,conditional linear Q-only response; not estimated from Q2; p excluded
q_huber_ci95_low,lower endpoint of A1 seven-domain macro 95% interval,0.496567443226065,10000000000000000000,2048,power4,validation-loss units per one Q-score unit; beta_Q is unknown,0.5121924305633759,320,0.409009,2.097,0.8367573098252894,3,169,conditional linear Q-only response; not estimated from Q2; p excluded
q_huber_ci95_high,upper endpoint of A1 seven-domain macro 95% interval,0.5004265176398414,10000000000000000000,2048,power4,validation-loss units per one Q-score unit; beta_Q is unknown,0.51586667932838,320,0.409009,2.097,0.8375720974509043,3,169,conditional linear Q-only response; not estimated from Q2; p excluded
q_equal_sensitivity,frozen Q1 sensitivity interface; not an uncertainty endpoint,0.4962230100496153,10000000000000000000,2048,power4,validation-loss units per one Q-score unit; beta_Q is unknown,0.511867504664003,320,0.409009,2.097,0.8366853905560613,3,169,conditional linear Q-only response; not estimated from Q2; p excluded
q_huber_point,frozen operational Q1 main interface,0.49847810484764643,10000000000000000000,2048,logarithmic,validation-loss units per one Q-score unit; beta_Q is unknown,0.32217727932277207,167,0.162405,4.194,1.0,2,169,conditional linear Q-only response; not estimated from Q2; p excluded
q_huber_ci95_low,lower endpoint of A1 seven-domain macro 95% interval,0.496567443226065,10000000000000000000,2048,logarithmic,validation-loss units per one Q-score unit; beta_Q is unknown,0.32072338921336524,167,0.162405,4.194,1.0,2,169,conditional linear Q-only response; not estimated from Q2; p excluded
q_huber_ci95_high,upper endpoint of A1 seven-domain macro 95% interval,0.5004265176398414,10000000000000000000,2048,logarithmic,validation-loss units per one Q-score unit; beta_Q is unknown,0.3236735333427856,167,0.162405,4.194,1.0,2,169,conditional linear Q-only response; not estimated from Q2; p excluded
q_equal_sensitivity,frozen Q1 sensitivity interface; not an uncertainty endpoint,0.4962230100496153,10000000000000000000,2048,logarithmic,validation-loss units per one Q-score unit; beta_Q is unknown,0.32046269262579524,167,0.162405,4.194,1.0,2,169,conditional linear Q-only response; not estimated from Q2; p excluded
q_huber_point,frozen operational Q1 main interface,0.49847810484764643,10000000000000000000000,2048,exponential,validation-loss units per one Q-score unit; beta_Q is unknown,0.005721811554441557,1042,6.86104,224.395,0.7275606954579451,10,1043,conditional linear Q-only response; not estimated from Q2; p excluded
