scenario_order,scenario_id,budget_flops,context_length_tokens,critical_context_length_tokens,q1_q_version,q0_reference,quality_setting,p_setting,candidate_domain,candidate_count,m3_support_candidate_count,m4_budget_feasible_candidate_count,m1_final_feasible_candidate_count,selected_grid_id,selected_run_id,selected_N_B,selected_D_B,m0_predicted_val_loss,b1_observed_val_loss,m3_support_policy,m3_search_allowed,m3_support_class,m3_inside_convex_hull_diagnostic,m3_interpolation_candidate,m3_extrapolation_flag,m4_budget_feasible,m1_final_feasible,C_train_flops,C_Q_flops,C_attn_flops,C_total_flops,budget_slack_flops,budget_utilization,train_cost_share,quality_cost_share,attention_cost_share,b1_feasible_grid_points,hit_N_min,hit_N_max,hit_D_min,hit_D_max,all_support_points_feasible,independent_choice_match,independent_m3_flag_match,independent_m4_flag_match,independent_final_flag_match,independent_cost_fields_match,independent_audit_pass,t2_support_domain_candidate_count,t2_feasible_candidate_count,t2_near_optimal_1pct_count,t2_near_optimal_3pct_count,t2_near_optimal_5pct_count,t2_pareto_points_at_context,t2_pareto_budget_feasible_points,t2_next_budget_flops,t2_loss_reduction_to_next_budget,t2_loss_reduction_per_budget_decade_to_next,t2_next_budget_bootstrap_p2_5,t2_next_budget_bootstrap_median,t2_next_budget_bootstrap_p97_5,t3_bootstrap_reselection_rate,t3_modal_configuration_rate,t3_unique_selected_grid_points,t4_conditional_gQ_scenario_count,t4_finite_betaQ_threshold_count,t4_betaQ_threshold_min,t4_betaQ_threshold_max
1,C10000000000000000000_L2048,10000000000000000000,2048,30000,Q1-q_huber-v1,0.49847810484764643,Q=Q0; quality uplift disabled; C_Q=0,not optimized; M0 has no p response,Q2 B1 exact observed N/D grid,1176,1176,39,39,169,169,0.162405,8.389,3.030397627156985,3.0304,exact_observed_only; hull and distance are diagnostics,True,observed_exact,True,False,False,True,True,8174493270000000000,0,5.58045407232e+17,8.732538677232e+18,1.267461322768e+18,0.8732538677232,0.9360958562156765,0.0,0.06390414378432352,39,False,False,False,False,False,True,True,True,True,True,True,1176,39,1,4,9,373,14,10000000000000000000000,0.8847864605027942,0.2949288201675981,0.8847009572022607,0.88479129899382,0.8848572003824716,1.0,1.0,1,3,3,0.32217727932277207,0.5140038299743166
2,C10000000000000000000000_L2048,10000000000000000000000,2048,30000,Q1-q_huber-v1,0.49847810484764643,Q=Q0; quality uplift disabled; C_Q=0,not optimized; M0 has no p response,Q2 B1 exact observed N/D grid,1176,1176,1060,1060,1043,1043,6.86104,226.492,2.1456111666541906,2.1457,exact_observed_only; hull and distance are diagnostics,True,observed_exact,True,False,False,True,True,9323824030080000000000,0,6.36506387120128e+20,9.960330417200127e+21,3.9669582799872e+19,0.9960330417200128,0.9360958562156765,0.0,0.06390414378432352,1060,False,False,False,False,False,True,True,True,True,True,True,1176,1060,31,117,192,373,288,1000000000000000000000000,0.05223169516236359,0.026115847581181795,0.052222447675391095,0.05223006866764468,0.05224109900180602,1.0,1.0,1,3,3,0.004225399461298301,0.007623748710178025
3,C1000000000000000000000000_L2048,1000000000000000000000000,2048,30000,Q1-q_huber-v1,0.49847810484764643,Q=Q0; quality uplift disabled; C_Q=0,not optimized; M0 has no p response,Q2 B1 exact observed N/D grid,1176,1176,1176,1176,1232,1232,11.965825,299.893,2.093379471491827,2.0933,exact_observed_only; hull and distance are diagnostics,True,observed_exact,True,False,False,True,True,21530802940350000000000,0,1.46983614739456e+21,2.300063908774456e+22,9.769993609122555e+23,0.02300063908774456,0.9360958562156765,0.0,0.06390414378432352,1176,False,True,False,True,True,True,True,True,True,True,True,1176,1176,36,128,202,0,0,,,,,,,1.0,1.0,1,3,0,,
4,C10000000000000000000_L4096,10000000000000000000,4096,30000,Q1-q_huber-v1,0.49847810484764643,Q=Q0; quality uplift disabled; C_Q=0,not optimized; M0 has no p response,Q2 B1 exact observed N/D grid,1176,1176,36,36,169,169,0.162405,8.389,3.030397627156985,3.0304,exact_observed_only; hull and distance are diagnostics,True,observed_exact,True,False,False,True,True,8174493270000000000,0,1.116090814464e+18,9.290584084464e+18,7.09415915536e+17,0.9290584084464,0.8798686062881277,0.0,0.12013139371187236,36,False,False,False,False,False,True,True,True,True,True,True,1176,36,1,3,8,373,14,10000000000000000000000,0.8796390136231116,0.2932130045410372,0.8795549325964623,0.8796438702101717,0.8797089122179066,1.0,1.0,1,3,3,0.30787621041925833,0.5027001886569791
5,C10000000000000000000000_L4096,10000000000000000000000,4096,30000,Q1-q_huber-v1,0.49847810484764643,Q=Q0; quality uplift disabled; C_Q=0,not optimized; M0 has no p response,Q2 B1 exact observed N/D grid,1176,1176,1049,1049,1036,1036,6.86104,211.812,2.150758613533873,2.1509,exact_observed_only; hull and distance are diagnostics,True,observed_exact,True,False,False,True,True,8719503626880000000000,0,1.190502895190016e+21,9.910006522070016e+21,8.9993477929984e+19,0.9910006522070016,0.8798686062881277,0.0,0.12013139371187236,1049,False,False,False,False,False,True,True,True,True,True,True,1176,1049,29,119,193,373,281,1000000000000000000000000,0.057379142042046194,0.028689571021023097,0.05736922211378594,0.057377496509899206,0.05738827686659052,1.0,1.0,1,3,3,0.0039207213312874335,0.009438309260899863
6,C1000000000000000000000000_L4096,1000000000000000000000000,4096,30000,Q1-q_huber-v1,0.49847810484764643,Q=Q0; quality uplift disabled; C_Q=0,not optimized; M0 has no p response,Q2 B1 exact observed N/D grid,1176,1176,1176,1176,1232,1232,11.965825,299.893,2.093379471491827,2.0933,exact_observed_only; hull and distance are diagnostics,True,observed_exact,True,False,False,True,True,21530802940350000000000,0,2.93967229478912e+21,2.447047523513912e+22,9.75529524764861e+23,0.02447047523513912,0.8798686062881277,0.0,0.12013139371187236,1176,False,True,False,True,True,True,True,True,True,True,True,1176,1176,36,128,202,0,0,,,,,,,1.0,1.0,1,3,0,,
7,C10000000000000000000_L8192,10000000000000000000,8192,30000,Q1-q_huber-v1,0.49847810484764643,Q=Q0; quality uplift disabled; C_Q=0,not optimized; M0 has no p response,Q2 B1 exact observed N/D grid,1176,1176,34,34,168,168,0.162405,6.291,3.0877660039358146,3.0883,exact_observed_only; hull and distance are diagnostics,True,observed_exact,True,False,False,True,True,6130139130000000000,0,1.673936658432e+18,7.804075788432e+18,2.195924211568e+18,0.7804075788432,0.7855048177628823,0.0,0.21449518223711772,34,False,False,False,False,False,True,True,True,True,True,True,1176,34,1,6,7,373,13,10000000000000000000000,0.9279208383833537,0.3093069461277846,0.9278354425863794,0.9279266172055762,0.927992682235379,1.0,1.0,1,3,3,0.23201458265564268,0.47725247360639783
8,C10000000000000000000000_L8192,10000000000000000000000,8192,30000,Q1-q_huber-v1,0.49847810484764643,Q=Q0; quality uplift disabled; C_Q=0,not optimized; M0 has no p response,Q2 B1 exact observed N/D grid,1176,1176,1032,1032,1025,1025,6.86104,188.744,2.159845165552461,2.16,exact_observed_only; hull and distance are diagnostics,True,observed_exact,True,False,False,True,True,7769880802560000000000,0,2.121695451152384e+21,9.891576253712385e+21,1.08423746287616e+20,0.9891576253712384,0.7855048177628823,0.0,0.21449518223711772,1032,False,False,False,False,False,True,True,True,True,True,True,1176,1032,25,120,204,373,270,1000000000000000000000000,0.06646569406063385,0.033232847030316925,0.06645471119186779,0.06646430682026416,0.06647634584030458,1.0,1.0,1,3,3,0.0032408981300743327,0.010055154805286678
9,C1000000000000000000000000_L8192,1000000000000000000000000,8192,30000,Q1-q_huber-v1,0.49847810484764643,Q=Q0; quality uplift disabled; C_Q=0,not optimized; M0 has no p response,Q2 B1 exact observed N/D grid,1176,1176,1176,1176,1232,1232,11.965825,299.893,2.093379471491827,2.0933,exact_observed_only; hull and distance are diagnostics,True,observed_exact,True,False,False,True,True,21530802940350000000000,0,5.87934458957824e+21,2.741014752992824e+22,9.725898524700717e+23,0.02741014752992824,0.7855048177628823,0.0,0.21449518223711772,1176,False,True,False,True,True,True,True,True,True,True,True,1176,1176,36,128,202,0,0,,,,,,,1.0,1.0,1,3,0,,
10,C10000000000000000000_L32768,10000000000000000000,32768,30000,Q1-q_huber-v1,0.49847810484764643,Q=Q0; quality uplift disabled; C_Q=0,not optimized; M0 has no p response,Q2 B1 exact observed N/D grid,1176,1176,27,27,167,167,0.162405,4.194,3.1768463777891194,3.1771,exact_observed_only; hull and distance are diagnostics,True,observed_exact,True,False,False,True,True,4086759420000000000,0,4.463831089152e+18,8.550590509152e+18,1.449409490848e+18,0.8550590509152,0.4779505480499618,0.0,0.5220494519500383,27,False,False,False,False,False,True,True,True,True,True,True,1176,27,2,3,4,373,11,10000000000000000000000,0.9821863002573172,0.32739543341910576,0.9820959167085802,0.982191782967281,0.9822729374497893,1.0,1.0,1,3,3,0.4574332226733317,0.6245200677543666
11,C10000000000000000000000_L32768,10000000000000000000000,32768,30000,Q1-q_huber-v1,0.49847810484764643,Q=Q0; quality uplift disabled; C_Q=0,not optimized; M0 has no p response,Q2 B1 exact observed N/D grid,1176,1176,969,969,917,917,2.782831,285.213,2.194660077531802,2.1947,exact_observed_only; hull and distance are diagnostics,True,observed_exact,True,False,False,True,True,4762197468018000000000,0,5.201589554400461e+21,9.96378702241846e+21,3.62129775815392e+19,0.9963787022418461,0.4779505480499618,0.0,0.5220494519500383,969,False,False,False,False,False,True,True,True,True,True,True,1176,969,43,120,243,373,235,1000000000000000000000000,0.10128060603997513,0.050640303019987565,0.10125939289120961,0.10127770511026957,0.10130847360898729,1.0,1.0,1,3,3,0.0047839817512227035,0.007823269921555544
