scenario_order,scenario_id,budget_flops,context_length_tokens,critical_context_length_tokens,q1_q_version,q0_reference,quality_setting,p_setting,candidate_domain,candidate_count,m3_support_candidate_count,m4_budget_feasible_candidate_count,m1_final_feasible_candidate_count,selected_grid_id,selected_run_id,selected_N_B,selected_D_B,m0_predicted_val_loss,b1_observed_val_loss,m3_support_policy,m3_search_allowed,m3_support_class,m3_inside_convex_hull_diagnostic,m3_interpolation_candidate,m3_extrapolation_flag,m4_budget_feasible,m1_final_feasible,C_train_flops,C_Q_flops,C_attn_flops,C_total_flops,budget_slack_flops,budget_utilization,train_cost_share,quality_cost_share,attention_cost_share,b1_feasible_grid_points,hit_N_min,hit_N_max,hit_D_min,hit_D_max,all_support_points_feasible,independent_choice_match,independent_m3_flag_match,independent_m4_flag_match,independent_final_flag_match,independent_cost_fields_match,independent_audit_pass
1,C10000000000000000000_L2048,10000000000000000000,2048,30000,Q1-q_huber-v1,0.49847810484764643,Q=Q0; quality uplift disabled; C_Q=0,not optimized; M0 has no p response,Q2 B1 exact observed N/D grid,1176,1176,39,39,169,169,0.162405,8.389,3.030397627156985,3.0304,exact_observed_only; hull and distance are diagnostics,True,observed_exact,True,False,False,True,True,8174493270000000000,0,5.58045407232e+17,8.732538677232e+18,1.267461322768e+18,0.8732538677232,0.9360958562156765,0.0,0.06390414378432352,39,False,False,False,False,False,True,True,True,True,True,True
2,C10000000000000000000000_L2048,10000000000000000000000,2048,30000,Q1-q_huber-v1,0.49847810484764643,Q=Q0; quality uplift disabled; C_Q=0,not optimized; M0 has no p response,Q2 B1 exact observed N/D grid,1176,1176,1060,1060,1043,1043,6.86104,226.492,2.1456111666541906,2.1457,exact_observed_only; hull and distance are diagnostics,True,observed_exact,True,False,False,True,True,9323824030080000000000,0,6.36506387120128e+20,9.960330417200127e+21,3.9669582799872e+19,0.9960330417200128,0.9360958562156765,0.0,0.06390414378432352,1060,False,False,False,False,False,True,True,True,True,True,True
3,C1000000000000000000000000_L2048,1000000000000000000000000,2048,30000,Q1-q_huber-v1,0.49847810484764643,Q=Q0; quality uplift disabled; C_Q=0,not optimized; M0 has no p response,Q2 B1 exact observed N/D grid,1176,1176,1176,1176,1232,1232,11.965825,299.893,2.093379471491827,2.0933,exact_observed_only; hull and distance are diagnostics,True,observed_exact,True,False,False,True,True,21530802940350000000000,0,1.46983614739456e+21,2.300063908774456e+22,9.769993609122555e+23,0.02300063908774456,0.9360958562156765,0.0,0.06390414378432352,1176,False,True,False,True,True,True,True,True,True,True,True
4,C10000000000000000000_L4096,10000000000000000000,4096,30000,Q1-q_huber-v1,0.49847810484764643,Q=Q0; quality uplift disabled; C_Q=0,not optimized; M0 has no p response,Q2 B1 exact observed N/D grid,1176,1176,36,36,169,169,0.162405,8.389,3.030397627156985,3.0304,exact_observed_only; hull and distance are diagnostics,True,observed_exact,True,False,False,True,True,8174493270000000000,0,1.116090814464e+18,9.290584084464e+18,7.09415915536e+17,0.9290584084464,0.8798686062881277,0.0,0.12013139371187236,36,False,False,False,False,False,True,True,True,True,True,True
5,C10000000000000000000000_L4096,10000000000000000000000,4096,30000,Q1-q_huber-v1,0.49847810484764643,Q=Q0; quality uplift disabled; C_Q=0,not optimized; M0 has no p response,Q2 B1 exact observed N/D grid,1176,1176,1049,1049,1036,1036,6.86104,211.812,2.150758613533873,2.1509,exact_observed_only; hull and distance are diagnostics,True,observed_exact,True,False,False,True,True,8719503626880000000000,0,1.190502895190016e+21,9.910006522070016e+21,8.9993477929984e+19,0.9910006522070016,0.8798686062881277,0.0,0.12013139371187236,1049,False,False,False,False,False,True,True,True,True,True,True
6,C1000000000000000000000000_L4096,1000000000000000000000000,4096,30000,Q1-q_huber-v1,0.49847810484764643,Q=Q0; quality uplift disabled; C_Q=0,not optimized; M0 has no p response,Q2 B1 exact observed N/D grid,1176,1176,1176,1176,1232,1232,11.965825,299.893,2.093379471491827,2.0933,exact_observed_only; hull and distance are diagnostics,True,observed_exact,True,False,False,True,True,21530802940350000000000,0,2.93967229478912e+21,2.447047523513912e+22,9.75529524764861e+23,0.02447047523513912,0.8798686062881277,0.0,0.12013139371187236,1176,False,True,False,True,True,True,True,True,True,True,True
7,C10000000000000000000_L8192,10000000000000000000,8192,30000,Q1-q_huber-v1,0.49847810484764643,Q=Q0; quality uplift disabled; C_Q=0,not optimized; M0 has no p response,Q2 B1 exact observed N/D grid,1176,1176,34,34,168,168,0.162405,6.291,3.0877660039358146,3.0883,exact_observed_only; hull and distance are diagnostics,True,observed_exact,True,False,False,True,True,6130139130000000000,0,1.673936658432e+18,7.804075788432e+18,2.195924211568e+18,0.7804075788432,0.7855048177628823,0.0,0.21449518223711772,34,False,False,False,False,False,True,True,True,True,True,True
8,C10000000000000000000000_L8192,10000000000000000000000,8192,30000,Q1-q_huber-v1,0.49847810484764643,Q=Q0; quality uplift disabled; C_Q=0,not optimized; M0 has no p response,Q2 B1 exact observed N/D grid,1176,1176,1032,1032,1025,1025,6.86104,188.744,2.159845165552461,2.16,exact_observed_only; hull and distance are diagnostics,True,observed_exact,True,False,False,True,True,7769880802560000000000,0,2.121695451152384e+21,9.891576253712385e+21,1.08423746287616e+20,0.9891576253712384,0.7855048177628823,0.0,0.21449518223711772,1032,False,False,False,False,False,True,True,True,True,True,True
9,C1000000000000000000000000_L8192,1000000000000000000000000,8192,30000,Q1-q_huber-v1,0.49847810484764643,Q=Q0; quality uplift disabled; C_Q=0,not optimized; M0 has no p response,Q2 B1 exact observed N/D grid,1176,1176,1176,1176,1232,1232,11.965825,299.893,2.093379471491827,2.0933,exact_observed_only; hull and distance are diagnostics,True,observed_exact,True,False,False,True,True,21530802940350000000000,0,5.87934458957824e+21,2.741014752992824e+22,9.725898524700717e+23,0.02741014752992824,0.7855048177628823,0.0,0.21449518223711772,1176,False,True,False,True,True,True,True,True,True,True,True
10,C10000000000000000000_L32768,10000000000000000000,32768,30000,Q1-q_huber-v1,0.49847810484764643,Q=Q0; quality uplift disabled; C_Q=0,not optimized; M0 has no p response,Q2 B1 exact observed N/D grid,1176,1176,27,27,167,167,0.162405,4.194,3.1768463777891194,3.1771,exact_observed_only; hull and distance are diagnostics,True,observed_exact,True,False,False,True,True,4086759420000000000,0,4.463831089152e+18,8.550590509152e+18,1.449409490848e+18,0.8550590509152,0.4779505480499618,0.0,0.5220494519500383,27,False,False,False,False,False,True,True,True,True,True,True
11,C10000000000000000000000_L32768,10000000000000000000000,32768,30000,Q1-q_huber-v1,0.49847810484764643,Q=Q0; quality uplift disabled; C_Q=0,not optimized; M0 has no p response,Q2 B1 exact observed N/D grid,1176,1176,969,969,917,917,2.782831,285.213,2.194660077531802,2.1947,exact_observed_only; hull and distance are diagnostics,True,observed_exact,True,False,False,True,True,4762197468018000000000,0,5.201589554400461e+21,9.96378702241846e+21,3.62129775815392e+19,0.9963787022418461,0.4779505480499618,0.0,0.5220494519500383,969,False,False,False,False,False,True,True,True,True,True,True
