scenario_id,budget_flops,context_length_tokens,bootstrap_replicates,baseline_selected_run_id,baseline_reselection_rate,modal_selected_run_id,modal_configuration_rate,n_unique_selected_grid_points,selected_N_B_p2_5,selected_N_B_median,selected_N_B_p97_5,selected_D_B_p2_5,selected_D_B_median,selected_D_B_p97_5,predicted_loss_p2_5,predicted_loss_median,predicted_loss_p97_5,feasible_grid_points,interpretation
B1e19_CTX2048,10000000000000000000,2048,1000,169,1.0,169,1.0,1,0.162405,0.162405,0.162405,8.389,8.389,8.389,3.030323625794492,3.030402337033763,3.030455899273149,39,trajectory-cluster bootstrap sensitivity; fixed-Q B1/M0 support grid only
B1e22_CTX2048,10000000000000000000000,2048,1000,1043,1.0,1043,1.0,1,6.86104,6.86104,6.86104,226.492,226.492,226.492,2.145586954571347,2.1456118017209453,2.145628413135771,1060,trajectory-cluster bootstrap sensitivity; fixed-Q B1/M0 support grid only
B1e24_CTX2048,1000000000000000000000000,2048,1000,1232,1.0,1232,1.0,1,11.965825,11.965825,11.965825,299.893,299.893,299.893,2.093347926800092,2.0933814161049544,2.0934052062222355,1176,trajectory-cluster bootstrap sensitivity; fixed-Q B1/M0 support grid only
B1e19_CTX4096,10000000000000000000,4096,1000,169,1.0,169,1.0,1,0.162405,0.162405,0.162405,8.389,8.389,8.389,3.030323625794492,3.030402337033763,3.030455899273149,36,trajectory-cluster bootstrap sensitivity; fixed-Q B1/M0 support grid only
B1e22_CTX4096,10000000000000000000000,4096,1000,1036,1.0,1036,1.0,1,6.86104,6.86104,6.86104,211.812,211.812,211.812,2.1507345989908626,2.150759237152105,2.1507755095445487,1049,trajectory-cluster bootstrap sensitivity; fixed-Q B1/M0 support grid only
B1e24_CTX4096,1000000000000000000000000,4096,1000,1232,1.0,1232,1.0,1,11.965825,11.965825,11.965825,299.893,299.893,299.893,2.093347926800092,2.0933814161049544,2.0934052062222355,1176,trajectory-cluster bootstrap sensitivity; fixed-Q B1/M0 support grid only
B1e19_CTX8192,10000000000000000000,8192,1000,168,1.0,168,1.0,1,0.162405,0.162405,0.162405,6.291,6.291,6.291,3.0876915414745896,3.0877713976257657,3.087827744292792,34,trajectory-cluster bootstrap sensitivity; fixed-Q B1/M0 support grid only
B1e22_CTX8192,10000000000000000000000,8192,1000,1025,1.0,1025,1.0,1,6.86104,6.86104,6.86104,188.744,188.744,188.744,2.159821480600767,2.159845708798909,2.159862111246585,1032,trajectory-cluster bootstrap sensitivity; fixed-Q B1/M0 support grid only
B1e24_CTX8192,1000000000000000000000000,8192,1000,1232,1.0,1232,1.0,1,11.965825,11.965825,11.965825,299.893,299.893,299.893,2.093347926800092,2.0933814161049544,2.0934052062222355,1176,trajectory-cluster bootstrap sensitivity; fixed-Q B1/M0 support grid only
B1e19_CTX32768,10000000000000000000,32768,1000,167,1.0,167,1.0,1,0.162405,0.162405,0.162405,4.194,4.194,4.194,3.176767995930553,3.176852703484394,3.176912650302793,27,trajectory-cluster bootstrap sensitivity; fixed-Q B1/M0 support grid only
B1e22_CTX32768,10000000000000000000000,32768,1000,917,1.0,917,1.0,1,2.782831,2.782831,2.782831,285.213,285.213,285.213,2.194636253646241,2.194659736317038,2.194677428935078,969,trajectory-cluster bootstrap sensitivity; fixed-Q B1/M0 support grid only
B1e24_CTX32768,1000000000000000000000000,32768,1000,1232,1.0,1232,1.0,1,11.965825,11.965825,11.965825,299.893,299.893,299.893,2.093347926800092,2.0933814161049544,2.0934052062222355,1176,trajectory-cluster bootstrap sensitivity; fixed-Q B1/M0 support grid only
B1e19_CTX131072,10000000000000000000,131072,1000,13,1.0,13,1.0,1,0.070542,0.070542,0.070542,4.194,4.194,4.194,3.392001064483206,3.392090200168088,3.392214900106015,16,trajectory-cluster bootstrap sensitivity; fixed-Q B1/M0 support grid only
B1e22_CTX131072,10000000000000000000000,131072,1000,834,1.0,834,1.0,1,2.782831,2.782831,2.782831,111.149,111.149,111.149,2.2715748673924314,2.2715889360396027,2.27160288492513,793,trajectory-cluster bootstrap sensitivity; fixed-Q B1/M0 support grid only
B1e24_CTX131072,1000000000000000000000000,131072,1000,1232,1.0,1232,1.0,1,11.965825,11.965825,11.965825,299.893,299.893,299.893,2.093347926800092,2.0933814161049544,2.0934052062222355,1176,trajectory-cluster bootstrap sensitivity; fixed-Q B1/M0 support grid only
