scenario_id,budget_flops,context_length_tokens,g_function,q0_reference,betaQ_identified,betaQ_status,betaQ_first_positive_Q,betaQcrit_first_ND_reallocation,betaQ_units,fixed_Q0_baseline_run_id,fixed_Q0_baseline_loss,first_positive_Q_run_id,first_positive_Q_N_B,first_positive_Q_D_B,first_positive_Q_level,first_reallocated_run_id,first_reallocated_N_B,first_reallocated_D_B,first_reallocated_Q,conditional_envelope_segments,positive_Q_segments_on_envelope,B1_feasible_ND_points,model_scope,conditional_assumption
B1e19_C2048_exponential,10000000000000000000,2048,exponential,0.49847810484764643,false,finite_first_ND_reallocation,0.0,0.45370075185340486,validation-loss units per one Q-score unit,169,3.030397627156985,169,0.162405,8.389,0.5926131136810068,168,0.162405,6.291,0.7190585219032221,5,5,39,conditional Q-only response; p excluded; B1/M0 support grid,"L_cond = L_M0(N,D) - beta_Q*(Q-Q0), beta_Q >= 0"
B1e19_C2048_power4,10000000000000000000,2048,power4,0.49847810484764643,false,finite_first_ND_reallocation,0.0,0.5140038299743166,validation-loss units per one Q-score unit,169,3.030397627156985,169,0.162405,8.389,0.5506801652624685,320,0.409009,2.097,0.8371586506036507,3,3,39,conditional Q-only response; p excluded; B1/M0 support grid,"L_cond = L_M0(N,D) - beta_Q*(Q-Q0), beta_Q >= 0"
B1e19_C2048_logarithmic,10000000000000000000,2048,logarithmic,0.49847810484764643,false,finite_first_ND_reallocation,0.0,0.32217727932277207,validation-loss units per one Q-score unit,169,3.030397627156985,169,0.162405,8.389,0.545440476311753,167,0.162405,4.194,1.0,2,2,39,conditional Q-only response; p excluded; B1/M0 support grid,"L_cond = L_M0(N,D) - beta_Q*(Q-Q0), beta_Q >= 0"
B1e19_C4096_exponential,10000000000000000000,4096,exponential,0.49847810484764643,false,finite_first_ND_reallocation,0.0,0.3928412331553885,validation-loss units per one Q-score unit,169,3.030397627156985,169,0.162405,8.389,0.5574934718391918,168,0.162405,6.291,0.7035279812974637,5,5,36,conditional Q-only response; p excluded; B1/M0 support grid,"L_cond = L_M0(N,D) - beta_Q*(Q-Q0), beta_Q >= 0"
B1e19_C4096_power4,10000000000000000000,4096,power4,0.49847810484764643,false,finite_first_ND_reallocation,0.0,0.5027001886569791,validation-loss units per one Q-score unit,169,3.030397627156985,169,0.162405,8.389,0.5295808903478467,320,0.409009,2.097,0.8225010880983323,3,3,36,conditional Q-only response; p excluded; B1/M0 support grid,"L_cond = L_M0(N,D) - beta_Q*(Q-Q0), beta_Q >= 0"
B1e19_C4096_logarithmic,10000000000000000000,4096,logarithmic,0.49847810484764643,false,finite_first_ND_reallocation,0.0,0.30787621041925833,validation-loss units per one Q-score unit,169,3.030397627156985,169,0.162405,8.389,0.5243258632009786,167,0.162405,4.194,1.0,2,2,36,conditional Q-only response; p excluded; B1/M0 support grid,"L_cond = L_M0(N,D) - beta_Q*(Q-Q0), beta_Q >= 0"
B1e19_C8192_exponential,10000000000000000000,8192,exponential,0.49847810484764643,false,finite_first_ND_reallocation,0.0,0.44458758510689467,validation-loss units per one Q-score unit,168,3.0877660039358146,168,0.162405,6.291,0.6673083652904627,320,0.409009,2.097,0.8694792420821931,4,4,34,conditional Q-only response; p excluded; B1/M0 support grid,"L_cond = L_M0(N,D) - beta_Q*(Q-Q0), beta_Q >= 0"
B1e19_C8192_power4,10000000000000000000,8192,power4,0.49847810484764643,false,finite_first_ND_reallocation,0.0,0.47725247360639783,validation-loss units per one Q-score unit,168,3.0877660039358146,168,0.162405,6.291,0.6022490476363296,320,0.409009,2.097,0.7905826171044419,3,3,34,conditional Q-only response; p excluded; B1/M0 support grid,"L_cond = L_M0(N,D) - beta_Q*(Q-Q0), beta_Q >= 0"
B1e19_C8192_logarithmic,10000000000000000000,8192,logarithmic,0.49847810484764643,false,finite_first_ND_reallocation,0.0,0.23201458265564268,validation-loss units per one Q-score unit,168,3.0877660039358146,168,0.162405,6.291,0.6125990838033517,320,0.409009,2.097,1.0,2,2,34,conditional Q-only response; p excluded; B1/M0 support grid,"L_cond = L_M0(N,D) - beta_Q*(Q-Q0), beta_Q >= 0"
B1e19_C32768_exponential,10000000000000000000,32768,exponential,0.49847810484764643,false,finite_first_ND_reallocation,0.0,0.6245200677543666,validation-loss units per one Q-score unit,167,3.1768463777891194,167,0.162405,4.194,0.6662507898365461,319,0.409009,1.074,1.0,2,2,27,conditional Q-only response; p excluded; B1/M0 support grid,"L_cond = L_M0(N,D) - beta_Q*(Q-Q0), beta_Q >= 0"
