pair_id,pair_type,transition_axis,left_scenario_id,right_scenario_id,left_budget_flops,right_budget_flops,left_context_length_tokens,right_context_length_tokens,left_selected_grid_id,right_selected_grid_id,left_selected_run_id,right_selected_run_id,left_selected_N_B,right_selected_N_B,delta_selected_N_B,left_selected_D_B,right_selected_D_B,delta_selected_D_B,point_delta_log_N,bootstrap_delta_log_N_p2_5,bootstrap_delta_log_N_median,bootstrap_delta_log_N_p97_5,point_delta_log_D,bootstrap_delta_log_D_p2_5,bootstrap_delta_log_D_median,bootstrap_delta_log_D_p97_5,left_m0_predicted_val_loss,right_m0_predicted_val_loss,delta_m0_predicted_val_loss,left_C_total_flops,right_C_total_flops,delta_C_total_flops,left_budget_utilization,right_budget_utilization,delta_budget_utilization,left_train_cost_share,right_train_cost_share,delta_train_cost_share,left_attention_cost_share,right_attention_cost_share,delta_attention_cost_share,left_feasible_candidate_count,right_feasible_candidate_count,delta_feasible_candidate_count,paired_bootstrap_replicates,configuration_change_frequency,cost_share_change_frequency,cost_share_TV_p05_exact,cost_share_TV_median,robust_ND_allocation_change,robust_cost_mix_change,interpretation
T01,adjacent_budget,budget_increase,C10000000000000000000_L2048,C10000000000000000000000_L2048,10000000000000000000,10000000000000000000000,2048,2048,169,1043,169,1043,0.162405,6.86104,6.698635,8.389,226.492,218.103,3.7435210973,3.7435210972968527,3.7435210972968527,3.7435210972968527,3.29578830035,3.295788300346862,3.295788300346862,3.295788300346862,3.030397627156985,2.1456111666541906,-0.8847864605027944,8.732538677232e+18,9.960330417200127e+21,9.951597878522895E+21,0.8732538677232,0.9960330417200128,0.1227791739968128,0.9360958562156765,0.9360958562156765,0,0.06390414378432352,0.06390414378432352,0,39,1060,1021,1000,1.0,0.0,0.0,0.0,True,False,Bootstrap稳健的N/D配置改变
T02,adjacent_budget,budget_increase,C10000000000000000000000_L2048,C1000000000000000000000000_L2048,10000000000000000000000,1000000000000000000000000,2048,2048,1043,1232,1043,1232,6.86104,11.965825,5.104785,226.492,299.893,73.401,0.556195636345,0.5561956363450279,0.5561956363450279,0.5561956363450279,0.280716120158,0.2807161201578312,0.2807161201578312,0.2807161201578312,2.1456111666541906,2.093379471491827,-0.0522316951623636,9.960330417200127e+21,2.300063908774456e+22,1.3040308670544433E+22,0.9960330417200128,0.02300063908774456,-0.97303240263226824,0.9360958562156765,0.9360958562156765,0,0.06390414378432352,0.06390414378432352,0,1060,1176,116,1000,1.0,0.0,0.0,0.0,True,False,Bootstrap稳健的N/D配置改变
T03,adjacent_budget,budget_increase,C10000000000000000000_L4096,C10000000000000000000000_L4096,10000000000000000000,10000000000000000000000,4096,4096,169,1036,169,1036,0.162405,6.86104,6.698635,8.389,211.812,203.423,3.7435210973,3.7435210972968527,3.7435210972968527,3.7435210972968527,3.22877776492,3.228777764921985,3.228777764921985,3.228777764921985,3.030397627156985,2.150758613533873,-0.879639013623112,9.290584084464e+18,9.910006522070016e+21,9.900715937985552E+21,0.9290584084464,0.9910006522070016,0.0619422437606016,0.8798686062881277,0.8798686062881277,0,0.12013139371187236,0.12013139371187236,0,36,1049,1013,1000,1.0,0.0,0.0,0.0,True,False,Bootstrap稳健的N/D配置改变
T04,adjacent_budget,budget_increase,C10000000000000000000000_L4096,C1000000000000000000000000_L4096,10000000000000000000000,1000000000000000000000000,4096,4096,1036,1232,1036,1232,6.86104,11.965825,5.104785,211.812,299.893,88.081,0.556195636345,0.5561956363450279,0.5561956363450279,0.5561956363450279,0.347726655583,0.3477266555827084,0.3477266555827084,0.3477266555827084,2.150758613533873,2.093379471491827,-0.057379142042046,9.910006522070016e+21,2.447047523513912e+22,1.4560468713069104E+22,0.9910006522070016,0.02447047523513912,-0.96653017697186248,0.8798686062881277,0.8798686062881277,0,0.12013139371187236,0.12013139371187236,0,1049,1176,127,1000,1.0,0.0,0.0,0.0,True,False,Bootstrap稳健的N/D配置改变
T05,adjacent_budget,budget_increase,C10000000000000000000_L8192,C10000000000000000000000_L8192,10000000000000000000,10000000000000000000000,8192,8192,168,1025,168,1025,0.162405,6.86104,6.698635,6.291,188.744,182.453,3.7435210973,3.7435210972968527,3.7435210972968527,3.7435210972968527,3.40127155896,3.4012715589565197,3.4012715589565197,3.4012715589565197,3.0877660039358146,2.159845165552461,-0.9279208383833536,7.804075788432e+18,9.891576253712385e+21,9.883772177923953E+21,0.7804075788432,0.9891576253712384,0.2087500465280384,0.7855048177628823,0.7855048177628823,0,0.21449518223711772,0.21449518223711772,0,34,1032,998,1000,1.0,0.0,0.0,0.0,True,False,Bootstrap稳健的N/D配置改变
T06,adjacent_budget,budget_increase,C10000000000000000000000_L8192,C1000000000000000000000000_L8192,10000000000000000000000,1000000000000000000000000,8192,8192,1025,1232,1025,1232,6.86104,11.965825,5.104785,188.744,299.893,111.149,0.556195636345,0.5561956363450279,0.5561956363450279,0.5561956363450279,0.463034144824,0.4630341448244385,0.4630341448244385,0.4630341448244385,2.159845165552461,2.093379471491827,-0.066465694060634,9.891576253712385e+21,2.741014752992824e+22,1.7518571276215855E+22,0.9891576253712384,0.02741014752992824,-0.96174747784131016,0.7855048177628823,0.7855048177628823,0,0.21449518223711772,0.21449518223711772,0,1032,1176,144,1000,1.0,0.0,0.0,0.0,True,False,Bootstrap稳健的N/D配置改变
T07,adjacent_budget,budget_increase,C10000000000000000000_L32768,C10000000000000000000000_L32768,10000000000000000000,10000000000000000000000,32768,32768,167,917,167,917,0.162405,2.782831,2.620426,4.194,285.213,281.019,2.84113081842,2.8411308184156017,2.8411308184156017,2.8411308184156017,4.21958133707,4.219581337069268,4.219581337069268,4.219581337069268,3.1768463777891194,2.194660077531802,-0.9821863002573174,8.550590509152e+18,9.96378702241846e+21,9.955236431909308E+21,0.8550590509152,0.9963787022418461,0.1413196513266461,0.4779505480499618,0.4779505480499618,0,0.5220494519500383,0.5220494519500383,0,27,969,942,1000,1.0,0.0,0.0,0.0,True,False,Bootstrap稳健的N/D配置改变
T08,adjacent_budget,budget_increase,C10000000000000000000000_L32768,C1000000000000000000000000_L32768,10000000000000000000000,1000000000000000000000000,32768,32768,917,1232,917,1232,2.782831,11.965825,9.182994,285.213,299.893,14.68,1.45858591523,1.4585859152262788,1.4585859152262788,1.4585859152262788,0.0501894748199,0.05018947481985382,0.05018947481985382,0.05018947481985382,2.194660077531802,2.093379471491827,-0.101280606039975,9.96378702241846e+21,4.504818129866296e+22,3.50843942762445E+22,0.9963787022418461,0.04504818129866296,-0.95133052094318314,0.4779505480499618,0.4779505480499618,0,0.5220494519500383,0.5220494519500383,0,969,1176,207,1000,1.0,0.0,0.0,0.0,True,False,Bootstrap稳健的N/D配置改变
T09,adjacent_budget,budget_increase,C10000000000000000000_L131072,C10000000000000000000000_L131072,10000000000000000000,10000000000000000000000,131072,131072,13,834,13,834,0.070542,2.782831,2.712289,4.194,111.149,106.955,3.67501575673,3.6750157567329143,3.6750157567329143,3.6750157567329143,3.27721671104,3.2772167110389034,3.2772167110389034,3.2772167110389034,3.392088334710602,2.271590563800825,-1.120497770909777,9.5307316509312e+18,9.964200074684393e+21,9.9546693430334618E+21,0.95307316509312,0.9964200074684394,0.0433468423753194,0.18625211085725638,0.18625211085725638,0,0.8137478891427437,0.8137478891427437,0,16,793,777,1000,1.0,0.0,0.0,0.0,True,False,Bootstrap稳健的N/D配置改变
T10,adjacent_budget,budget_increase,C10000000000000000000000_L131072,C1000000000000000000000000_L131072,10000000000000000000000,1000000000000000000000000,131072,131072,834,1232,834,1232,2.782831,11.965825,9.182994,111.149,299.893,188.744,1.45858591523,1.4585859152262788,1.4585859152262788,1.4585859152262788,0.99255410085,0.9925541008502192,0.9925541008502192,0.9925541008502192,2.271590563800825,2.093379471491827,-0.178211092308998,9.964200074684393e+21,1.1560031637360184e+23,1.05636116298917447E+23,0.9964200074684394,0.11560031637360184,-0.88081969109483756,0.18625211085725638,0.18625211085725638,0,0.8137478891427437,0.8137478891427437,0,793,1176,383,1000,1.0,0.0,0.0,0.0,True,False,Bootstrap稳健的N/D配置改变
