context_length_tokens,budget_tier,budget_flops,C_sat_support_grid_flops,budget_over_C_sat,candidate_count,budget_feasible_candidate_count,budget_feasible_share,remaining_candidates_to_saturation,support_saturated,status
2048,low,10000000000000000000,23000639087744560000000,0.000434770527978,1176,39,0.0331632653061,1137,False,budget_screening
2048,mid,10000000000000000000000,23000639087744560000000,0.434770527978,1176,1060,0.901360544218,116,False,budget_screening
2048,high,1000000000000000000000000,23000639087744560000000,43.4770527978,1176,1176,1,0,True,support_saturated
4096,low,10000000000000000000,24470475235139120000000,0.000408655733242,1176,36,0.030612244898,1140,False,budget_screening
4096,mid,10000000000000000000000,24470475235139120000000,0.408655733242,1176,1049,0.892006802721,127,False,budget_screening
4096,high,1000000000000000000000000,24470475235139120000000,40.8655733242,1176,1176,1,0,True,support_saturated
8192,low,10000000000000000000,27410147529928240000000,0.000364828390255,1176,34,0.0289115646259,1142,False,budget_screening
8192,mid,10000000000000000000000,27410147529928240000000,0.364828390255,1176,1032,0.877551020408,144,False,budget_screening
8192,high,1000000000000000000000000,27410147529928240000000,36.4828390255,1176,1176,1,0,True,support_saturated
32768,low,10000000000000000000,45048181298662960000000,0.000221984544364,1176,27,0.0229591836735,1149,False,budget_screening
32768,mid,10000000000000000000000,45048181298662960000000,0.221984544364,1176,969,0.823979591837,207,False,budget_screening
32768,high,1000000000000000000000000,45048181298662960000000,22.1984544364,1176,1176,1,0,True,support_saturated
131072,low,10000000000000000000,115600316373601840000000,0.0000865049535650,1176,16,0.0136054421769,1160,False,budget_screening
131072,mid,10000000000000000000000,115600316373601840000000,0.0865049535650,1176,793,0.674319727891,383,False,budget_screening
131072,high,1000000000000000000000000,115600316373601840000000,8.65049535650,1176,1176,1,0,True,support_saturated
