context_length_tokens,budget_interval,budget_before_flops,budget_after_flops,selected_before_grid_id,selected_before_run_id,selected_before_N_params_B,selected_before_D_tokens_B,selected_before_m0_predicted_val_loss,selected_after_grid_id,selected_after_run_id,selected_after_N_params_B,selected_after_D_tokens_B,selected_after_m0_predicted_val_loss,configuration_changed,number_of_envelope_switches_inside_interval,loss_improvement,support_boundary_hit_after,all_candidates_feasible_after,formal_frontier_parity
2048,low_to_mid,10000000000000000000,10000000000000000000000,169,169,0.162405,8.389,3.03039762716,1043,1043,6.86104,226.492,2.14561116665,True,274,0.884786460503,,False,True
2048,mid_to_high,10000000000000000000000,1000000000000000000000000,1043,1043,6.86104,226.492,2.14561116665,1232,1232,11.965825,299.893,2.09337947149,True,85,0.0522316951624,N_max;D_max,True,True
4096,low_to_mid,10000000000000000000,10000000000000000000000,169,169,0.162405,8.389,3.03039762716,1036,1036,6.86104,211.812,2.15075861353,True,267,0.879639013623,,False,True
4096,mid_to_high,10000000000000000000000,1000000000000000000000000,1036,1036,6.86104,211.812,2.15075861353,1232,1232,11.965825,299.893,2.09337947149,True,92,0.057379142042,N_max;D_max,True,True
8192,low_to_mid,10000000000000000000,10000000000000000000000,168,168,0.162405,6.291,3.08776600394,1025,1025,6.86104,188.744,2.15984516555,True,257,0.927920838383,,False,True
8192,mid_to_high,10000000000000000000000,1000000000000000000000000,1025,1025,6.86104,188.744,2.15984516555,1232,1232,11.965825,299.893,2.09337947149,True,103,0.0664656940606,N_max;D_max,True,True
32768,low_to_mid,10000000000000000000,10000000000000000000000,167,167,0.162405,4.194,3.17684637779,917,917,2.782831,285.213,2.19466007753,True,224,0.982186300257,,False,True
32768,mid_to_high,10000000000000000000000,1000000000000000000000000,917,917,2.782831,285.213,2.19466007753,1232,1232,11.965825,299.893,2.09337947149,True,138,0.10128060604,N_max;D_max,True,True
131072,low_to_mid,10000000000000000000,10000000000000000000000,13,13,0.070542,4.194,3.39208833471,834,834,2.782831,111.149,2.2715905638,True,145,1.12049777091,,False,True
131072,mid_to_high,10000000000000000000000,1000000000000000000000000,834,834,2.782831,111.149,2.2715905638,1232,1232,11.965825,299.893,2.09337947149,True,221,0.178211092309,N_max;D_max,True,True
