pair_id,pair_type,left_scenario_id,right_scenario_id,left_budget_flops,right_budget_flops,left_context_tokens,right_context_tokens,paired_bootstrap_replicates,cost_structure_switch_rate,cost_share_TV_p05_exact,cost_share_TV_median,delta_training_share_p2_5,delta_training_share_median,delta_training_share_p97_5,robust_cost_structure_switch,robust_switch_threshold,switch_definition
T01,adjacent_budget,B1e19_CTX2048,B1e22_CTX2048,10000000000000000000,10000000000000000000000,2048,2048,1000,0.000000,0.0,0.0,0.0,0.0,0.0,false,0.95,paired-bootstrap frequency of nonzero exact cost-share total variation >= 0.95
T02,adjacent_budget,B1e22_CTX2048,B1e24_CTX2048,10000000000000000000000,1000000000000000000000000,2048,2048,1000,0.000000,0.0,0.0,0.0,0.0,0.0,false,0.95,paired-bootstrap frequency of nonzero exact cost-share total variation >= 0.95
T03,adjacent_budget,B1e19_CTX4096,B1e22_CTX4096,10000000000000000000,10000000000000000000000,4096,4096,1000,0.000000,0.0,0.0,0.0,0.0,0.0,false,0.95,paired-bootstrap frequency of nonzero exact cost-share total variation >= 0.95
T04,adjacent_budget,B1e22_CTX4096,B1e24_CTX4096,10000000000000000000000,1000000000000000000000000,4096,4096,1000,0.000000,0.0,0.0,0.0,0.0,0.0,false,0.95,paired-bootstrap frequency of nonzero exact cost-share total variation >= 0.95
T05,adjacent_budget,B1e19_CTX8192,B1e22_CTX8192,10000000000000000000,10000000000000000000000,8192,8192,1000,0.000000,0.0,0.0,0.0,0.0,0.0,false,0.95,paired-bootstrap frequency of nonzero exact cost-share total variation >= 0.95
T06,adjacent_budget,B1e22_CTX8192,B1e24_CTX8192,10000000000000000000000,1000000000000000000000000,8192,8192,1000,0.000000,0.0,0.0,0.0,0.0,0.0,false,0.95,paired-bootstrap frequency of nonzero exact cost-share total variation >= 0.95
T07,adjacent_budget,B1e19_CTX32768,B1e22_CTX32768,10000000000000000000,10000000000000000000000,32768,32768,1000,0.000000,0.0,0.0,0.0,0.0,0.0,false,0.95,paired-bootstrap frequency of nonzero exact cost-share total variation >= 0.95
T08,adjacent_budget,B1e22_CTX32768,B1e24_CTX32768,10000000000000000000000,1000000000000000000000000,32768,32768,1000,0.000000,0.0,0.0,0.0,0.0,0.0,false,0.95,paired-bootstrap frequency of nonzero exact cost-share total variation >= 0.95
T09,adjacent_budget,B1e19_CTX131072,B1e22_CTX131072,10000000000000000000,10000000000000000000000,131072,131072,1000,0.000000,0.0,0.0,0.0,0.0,0.0,false,0.95,paired-bootstrap frequency of nonzero exact cost-share total variation >= 0.95
T10,adjacent_budget,B1e22_CTX131072,B1e24_CTX131072,10000000000000000000000,1000000000000000000000000,131072,131072,1000,0.000000,0.0,0.0,0.0,0.0,0.0,false,0.95,paired-bootstrap frequency of nonzero exact cost-share total variation >= 0.95
T11,adjacent_context,B1e19_CTX2048,B1e19_CTX4096,10000000000000000000,10000000000000000000,2048,4096,1000,1.000000,0.05622724992754884,0.05622724992754884,-0.05622724992754884,-0.05622724992754884,-0.05622724992754884,true,0.95,paired-bootstrap frequency of nonzero exact cost-share total variation >= 0.95
T12,adjacent_context,B1e19_CTX4096,B1e19_CTX8192,10000000000000000000,10000000000000000000,4096,8192,1000,1.000000,0.09436378852524537,0.09436378852524537,-0.09436378852524537,-0.09436378852524537,-0.09436378852524537,true,0.95,paired-bootstrap frequency of nonzero exact cost-share total variation >= 0.95
T13,adjacent_context,B1e19_CTX8192,B1e19_CTX32768,10000000000000000000,10000000000000000000,8192,32768,1000,1.000000,0.3075542697129205,0.3075542697129205,-0.3075542697129205,-0.3075542697129205,-0.3075542697129205,true,0.95,paired-bootstrap frequency of nonzero exact cost-share total variation >= 0.95
T14,adjacent_context,B1e19_CTX32768,B1e19_CTX131072,10000000000000000000,10000000000000000000,32768,131072,1000,1.000000,0.2916984371927054,0.2916984371927054,-0.2916984371927054,-0.2916984371927054,-0.2916984371927054,true,0.95,paired-bootstrap frequency of nonzero exact cost-share total variation >= 0.95
T15,adjacent_context,B1e22_CTX2048,B1e22_CTX4096,10000000000000000000000,10000000000000000000000,2048,4096,1000,1.000000,0.05622724992754884,0.05622724992754884,-0.05622724992754884,-0.05622724992754884,-0.05622724992754884,true,0.95,paired-bootstrap frequency of nonzero exact cost-share total variation >= 0.95
T16,adjacent_context,B1e22_CTX4096,B1e22_CTX8192,10000000000000000000000,10000000000000000000000,4096,8192,1000,1.000000,0.09436378852524537,0.09436378852524537,-0.09436378852524537,-0.09436378852524537,-0.09436378852524537,true,0.95,paired-bootstrap frequency of nonzero exact cost-share total variation >= 0.95
T17,adjacent_context,B1e22_CTX8192,B1e22_CTX32768,10000000000000000000000,10000000000000000000000,8192,32768,1000,1.000000,0.3075542697129205,0.3075542697129205,-0.3075542697129205,-0.3075542697129205,-0.3075542697129205,true,0.95,paired-bootstrap frequency of nonzero exact cost-share total variation >= 0.95
T18,adjacent_context,B1e22_CTX32768,B1e22_CTX131072,10000000000000000000000,10000000000000000000000,32768,131072,1000,1.000000,0.2916984371927054,0.2916984371927054,-0.2916984371927054,-0.2916984371927054,-0.2916984371927054,true,0.95,paired-bootstrap frequency of nonzero exact cost-share total variation >= 0.95
T19,adjacent_context,B1e24_CTX2048,B1e24_CTX4096,1000000000000000000000000,1000000000000000000000000,2048,4096,1000,1.000000,0.05622724992754884,0.05622724992754884,-0.05622724992754884,-0.05622724992754884,-0.05622724992754884,true,0.95,paired-bootstrap frequency of nonzero exact cost-share total variation >= 0.95
T20,adjacent_context,B1e24_CTX4096,B1e24_CTX8192,1000000000000000000000000,1000000000000000000000000,4096,8192,1000,1.000000,0.09436378852524537,0.09436378852524537,-0.09436378852524537,-0.09436378852524537,-0.09436378852524537,true,0.95,paired-bootstrap frequency of nonzero exact cost-share total variation >= 0.95
T21,adjacent_context,B1e24_CTX8192,B1e24_CTX32768,1000000000000000000000000,1000000000000000000000000,8192,32768,1000,1.000000,0.3075542697129205,0.3075542697129205,-0.3075542697129205,-0.3075542697129205,-0.3075542697129205,true,0.95,paired-bootstrap frequency of nonzero exact cost-share total variation >= 0.95
T22,adjacent_context,B1e24_CTX32768,B1e24_CTX131072,1000000000000000000000000,1000000000000000000000000,32768,131072,1000,1.000000,0.2916984371927054,0.2916984371927054,-0.2916984371927054,-0.2916984371927054,-0.2916984371927054,true,0.95,paired-bootstrap frequency of nonzero exact cost-share total variation >= 0.95
