grid_id,source_run_id,N_params_B,D_tokens_B,m3_N_params_B,m3_D_tokens_B,N_match,D_match,support_feasible_source_column,support_feasible,support_flag_recomputed,alignment_pass
8,8,0.070542,0.134,0.070542,0.134,True,True,m3_search_allowed,True,False,True
9,9,0.070542,0.268,0.070542,0.268,True,True,m3_search_allowed,True,False,True
10,10,0.070542,0.537,0.070542,0.537,True,True,m3_search_allowed,True,False,True
11,11,0.070542,1.074,0.070542,1.074,True,True,m3_search_allowed,True,False,True
12,12,0.070542,2.097,0.070542,2.097,True,True,m3_search_allowed,True,False,True
13,13,0.070542,4.194,0.070542,4.194,True,True,m3_search_allowed,True,False,True
14,14,0.070542,6.291,0.070542,6.291,True,True,m3_search_allowed,True,False,True
15,15,0.070542,8.389,0.070542,8.389,True,True,m3_search_allowed,True,False,True
16,16,0.070542,10.486,0.070542,10.486,True,True,m3_search_allowed,True,False,True
17,17,0.070542,12.583,0.070542,12.583,True,True,m3_search_allowed,True,False,True
18,18,0.070542,14.68,0.070542,14.68,True,True,m3_search_allowed,True,False,True
19,19,0.070542,16.777,0.070542,16.777,True,True,m3_search_allowed,True,False,True
20,20,0.070542,18.874,0.070542,18.874,True,True,m3_search_allowed,True,False,True
21,21,0.070542,20.972,0.070542,20.972,True,True,m3_search_allowed,True,False,True
22,22,0.070542,23.069,0.070542,23.069,True,True,m3_search_allowed,True,False,True
23,23,0.070542,25.166,0.070542,25.166,True,True,m3_search_allowed,True,False,True
24,24,0.070542,27.263,0.070542,27.263,True,True,m3_search_allowed,True,False,True
25,25,0.070542,29.36,0.070542,29.36,True,True,m3_search_allowed,True,False,True
26,26,0.070542,31.457,0.070542,31.457,True,True,m3_search_allowed,True,False,True
27,27,0.070542,33.554,0.070542,33.554,True,True,m3_search_allowed,True,False,True
28,28,0.070542,35.652,0.070542,35.652,True,True,m3_search_allowed,True,False,True
29,29,0.070542,37.749,0.070542,37.749,True,True,m3_search_allowed,True,False,True
30,30,0.070542,39.846,0.070542,39.846,True,True,m3_search_allowed,True,False,True
31,31,0.070542,41.943,0.070542,41.943,True,True,m3_search_allowed,True,False,True
32,32,0.070542,44.04,0.070542,44.04,True,True,m3_search_allowed,True,False,True
33,33,0.070542,46.137,0.070542,46.137,True,True,m3_search_allowed,True,False,True
34,34,0.070542,48.234,0.070542,48.234,True,True,m3_search_allowed,True,False,True
35,35,0.070542,50.332,0.070542,50.332,True,True,m3_search_allowed,True,False,True
36,36,0.070542,52.429,0.070542,52.429,True,True,m3_search_allowed,True,False,True
37,37,0.070542,54.526,0.070542,54.526,True,True,m3_search_allowed,True,False,True
38,38,0.070542,56.623,0.070542,56.623,True,True,m3_search_allowed,True,False,True
39,39,0.070542,58.72,0.070542,58.72,True,True,m3_search_allowed,True,False,True
40,40,0.070542,60.817,0.070542,60.817,True,True,m3_search_allowed,True,False,True
41,41,0.070542,62.915,0.070542,62.915,True,True,m3_search_allowed,True,False,True
42,42,0.070542,65.012,0.070542,65.012,True,True,m3_search_allowed,True,False,True
43,43,0.070542,67.109,0.070542,67.109,True,True,m3_search_allowed,True,False,True
44,44,0.070542,69.206,0.070542,69.206,True,True,m3_search_allowed,True,False,True
45,45,0.070542,71.303,0.070542,71.303,True,True,m3_search_allowed,True,False,True
46,46,0.070542,73.4,0.070542,73.4,True,True,m3_search_allowed,True,False,True
47,47,0.070542,75.497,0.070542,75.497,True,True,m3_search_allowed,True,False,True
48,48,0.070542,77.595,0.070542,77.595,True,True,m3_search_allowed,True,False,True
49,49,0.070542,79.692,0.070542,79.692,True,True,m3_search_allowed,True,False,True
50,50,0.070542,81.789,0.070542,81.789,True,True,m3_search_allowed,True,False,True
51,51,0.070542,83.886,0.070542,83.886,True,True,m3_search_allowed,True,False,True
52,52,0.070542,85.983,0.070542,85.983,True,True,m3_search_allowed,True,False,True
53,53,0.070542,88.08,0.070542,88.08,True,True,m3_search_allowed,True,False,True
54,54,0.070542,90.178,0.070542,90.178,True,True,m3_search_allowed,True,False,True
55,55,0.070542,92.275,0.070542,92.275,True,True,m3_search_allowed,True,False,True
56,56,0.070542,94.372,0.070542,94.372,True,True,m3_search_allowed,True,False,True
57,57,0.070542,96.469,0.070542,96.469,True,True,m3_search_allowed,True,False,True
58,58,0.070542,98.566,0.070542,98.566,True,True,m3_search_allowed,True,False,True
59,59,0.070542,100.663,0.070542,100.663,True,True,m3_search_allowed,True,False,True
60,60,0.070542,102.76,0.070542,102.76,True,True,m3_search_allowed,True,False,True
61,61,0.070542,104.858,0.070542,104.858,True,True,m3_search_allowed,True,False,True
62,62,0.070542,106.955,0.070542,106.955,True,True,m3_search_allowed,True,False,True
